[900, 612]
[folio, [263.0, 148.0, 67.0, 18.0], Nh_He5PRzW, 6459340]
[paragraph, [128.0, 195.0, 338.0, 18.0], shoonya_3sZVYJCIHZU8UW, 6459340]
[paragraph, [128.0, 213.0, 338.0, 18.0], shoonya_3sZVYJCIHZU8UW, 6459340]
[paragraph, [128.0, 231.0, 338.0, 18.0], shoonya_3sZVYJCIHZU8UW, 6459340]
[paragraph, [128.0, 249.0, 338.0, 18.0], shoonya_3sZVYJCIHZU8UW, 6459340]
[paragraph, [127.0, 270.0, 340.0, 18.0], shoonya_1sYG5P98A2BAOV, 6459340]
[paragraph, [127.0, 288.0, 340.0, 18.0], shoonya_1sYG5P98A2BAOV, 6459340]
[paragraph, [127.0, 306.0, 340.0, 18.0], shoonya_1sYG5P98A2BAOV, 6459340]
[paragraph, [127.0, 324.0, 340.0, 18.0], shoonya_1sYG5P98A2BAOV, 6459340]
[paragraph, [127.0, 342.0, 340.0, 18.0], shoonya_1sYG5P98A2BAOV, 6459340]
[paragraph, [127.0, 360.0, 340.0, 18.0], shoonya_1sYG5P98A2BAOV, 6459340]
[paragraph, [127.0, 378.0, 340.0, 18.0], shoonya_1sYG5P98A2BAOV, 6459340]
[paragraph, [127.0, 396.0, 340.0, 18.0], shoonya_1sYG5P98A2BAOV, 6459340]
[paragraph, [127.0, 414.0, 340.0, 18.0], shoonya_1sYG5P98A2BAOV, 6459340]
[paragraph, [127.0, 432.0, 340.0, 18.0], shoonya_1sYG5P98A2BAOV, 6459340]
[paragraph, [127.0, 450.0, 340.0, 18.0], shoonya_1sYG5P98A2BAOV, 6459340]
[paragraph, [127.0, 468.0, 340.0, 18.0], shoonya_1sYG5P98A2BAOV, 6459340]
[paragraph, [126.0, 506.0, 342.0, 18.0], shoonya_0sLZVGF4EO7EED, 6459340]
[paragraph, [126.0, 524.0, 342.0, 18.0], shoonya_0sLZVGF4EO7EED, 6459340]
[paragraph, [126.0, 542.0, 342.0, 18.0], shoonya_0sLZVGF4EO7EED, 6459340]
[paragraph, [126.0, 560.0, 342.0, 18.0], shoonya_0sLZVGF4EO7EED, 6459340]
[paragraph, [126.0, 578.0, 342.0, 18.0], shoonya_0sLZVGF4EO7EED, 6459340]
[paragraph, [126.0, 596.0, 342.0, 18.0], shoonya_0sLZVGF4EO7EED, 6459340]
[paragraph, [126.0, 614.0, 342.0, 18.0], shoonya_0sLZVGF4EO7EED, 6459340]
[paragraph, [126.0, 632.0, 342.0, 18.0], shoonya_0sLZVGF4EO7EED, 6459340]
[paragraph, [126.0, 650.0, 342.0, 18.0], shoonya_0sLZVGF4EO7EED, 6459340]
[paragraph, [123.0, 674.0, 344.0, 18.0], shoonya_2sERJPTU4JTOWF, 6459340]
[paragraph, [123.0, 692.0, 344.0, 18.0], shoonya_2sERJPTU4JTOWF, 6459340]
[paragraph, [123.0, 710.0, 344.0, 18.0], shoonya_2sERJPTU4JTOWF, 6459340]
[folio, [149.0, 746.0, 63.0, 18.0], u2W6S8X-HZ, 6459340]
