[2084, 1289]
[paragraph, [130.0, 267.0, 1031.0, 36.0], shoonya_3s21ZT5LAIGN2X, 5660366]
[paragraph, [130.0, 303.0, 1031.0, 36.0], shoonya_3s21ZT5LAIGN2X, 5660366]
[paragraph, [130.0, 339.0, 1031.0, 36.0], shoonya_3s21ZT5LAIGN2X, 5660366]
[paragraph, [133.0, 405.0, 1027.0, 36.0], shoonya_2sLUFUOBDA0F5F, 5660366]
[paragraph, [133.0, 441.0, 1027.0, 36.0], shoonya_2sLUFUOBDA0F5F, 5660366]
[paragraph, [133.0, 477.0, 1027.0, 36.0], shoonya_2sLUFUOBDA0F5F, 5660366]
[ordered-list, [130.0, 548.0, 1030.0, 36.0], shoonya_1sW0ESF6NM8MW0, 5660366]
[ordered-list, [130.0, 584.0, 1030.0, 36.0], shoonya_1sW0ESF6NM8MW0, 5660366]
[ordered-list, [130.0, 620.0, 1030.0, 36.0], shoonya_1sW0ESF6NM8MW0, 5660366]
[ordered-list, [130.0, 656.0, 1030.0, 36.0], shoonya_1sW0ESF6NM8MW0, 5660366]
[ordered-list, [130.0, 692.0, 1030.0, 36.0], shoonya_1sW0ESF6NM8MW0, 5660366]
[ordered-list, [130.0, 728.0, 1030.0, 36.0], shoonya_1sW0ESF6NM8MW0, 5660366]
[ordered-list, [130.0, 764.0, 1030.0, 36.0], shoonya_1sW0ESF6NM8MW0, 5660366]
[ordered-list, [130.0, 800.0, 1030.0, 36.0], shoonya_1sW0ESF6NM8MW0, 5660366]
[ordered-list, [130.0, 836.0, 1030.0, 36.0], shoonya_1sW0ESF6NM8MW0, 5660366]
[ordered-list, [130.0, 872.0, 1030.0, 36.0], shoonya_1sW0ESF6NM8MW0, 5660366]
[ordered-list, [130.0, 908.0, 1030.0, 36.0], shoonya_1sW0ESF6NM8MW0, 5660366]
[ordered-list, [130.0, 944.0, 1030.0, 36.0], shoonya_1sW0ESF6NM8MW0, 5660366]
[ordered-list, [130.0, 980.0, 1030.0, 36.0], shoonya_1sW0ESF6NM8MW0, 5660366]
[ordered-list, [130.0, 1016.0, 1030.0, 36.0], shoonya_1sW0ESF6NM8MW0, 5660366]
[ordered-list, [130.0, 1052.0, 1030.0, 36.0], shoonya_1sW0ESF6NM8MW0, 5660366]
[ordered-list, [130.0, 1088.0, 1030.0, 36.0], shoonya_1sW0ESF6NM8MW0, 5660366]
[ordered-list, [130.0, 1124.0, 1030.0, 36.0], shoonya_1sW0ESF6NM8MW0, 5660366]
[ordered-list, [130.0, 1160.0, 1030.0, 36.0], shoonya_1sW0ESF6NM8MW0, 5660366]
[ordered-list, [130.0, 1196.0, 1030.0, 36.0], shoonya_1sW0ESF6NM8MW0, 5660366]
[paragraph, [132.0, 1291.0, 1030.0, 36.0], shoonya_0sM107E45CKJH6, 5660366]
[paragraph, [132.0, 1327.0, 1030.0, 36.0], shoonya_0sM107E45CKJH6, 5660366]
[paragraph, [132.0, 1363.0, 1030.0, 36.0], shoonya_0sM107E45CKJH6, 5660366]
[paragraph, [132.0, 1399.0, 1030.0, 36.0], shoonya_0sM107E45CKJH6, 5660366]
[paragraph, [132.0, 1435.0, 1030.0, 36.0], shoonya_0sM107E45CKJH6, 5660366]
[paragraph, [132.0, 1471.0, 1030.0, 36.0], shoonya_0sM107E45CKJH6, 5660366]
[paragraph, [132.0, 1507.0, 1030.0, 36.0], shoonya_0sM107E45CKJH6, 5660366]
[paragraph, [132.0, 1543.0, 1030.0, 36.0], shoonya_0sM107E45CKJH6, 5660366]
[paragraph, [132.0, 1579.0, 1030.0, 36.0], shoonya_0sM107E45CKJH6, 5660366]
[paragraph, [132.0, 1615.0, 1030.0, 36.0], shoonya_0sM107E45CKJH6, 5660366]
[paragraph, [132.0, 1651.0, 1030.0, 36.0], shoonya_0sM107E45CKJH6, 5660366]
[paragraph, [132.0, 1687.0, 1030.0, 36.0], shoonya_0sM107E45CKJH6, 5660366]
[paragraph, [132.0, 1723.0, 1030.0, 36.0], shoonya_0sM107E45CKJH6, 5660366]
[paragraph, [132.0, 1759.0, 1030.0, 36.0], shoonya_0sM107E45CKJH6, 5660366]
[paragraph, [132.0, 1795.0, 1030.0, 36.0], shoonya_0sM107E45CKJH6, 5660366]
[paragraph, [132.0, 1831.0, 1030.0, 36.0], shoonya_0sM107E45CKJH6, 5660366]
[folio, [641.0, 1939.0, 647.0, 36.0], shoonya_5sO0FLDB1RI9OM, 5660366]
[folio, [641.0, 1975.0, 647.0, 36.0], shoonya_5sO0FLDB1RI9OM, 5660366]
