[1650, 1275]
[paragraph, [140.0, 140.0, 1069.0, 36.0], shoonya_0sEB6BOGSBUWMR, 5703470]
[paragraph, [140.0, 176.0, 1069.0, 36.0], shoonya_0sEB6BOGSBUWMR, 5703470]
[paragraph, [140.0, 212.0, 1069.0, 36.0], shoonya_0sEB6BOGSBUWMR, 5703470]
[paragraph, [140.0, 248.0, 1069.0, 36.0], shoonya_0sEB6BOGSBUWMR, 5703470]
[paragraph, [140.0, 284.0, 1069.0, 36.0], shoonya_0sEB6BOGSBUWMR, 5703470]
[paragraph, [140.0, 320.0, 1069.0, 36.0], shoonya_0sEB6BOGSBUWMR, 5703470]
[paragraph, [140.0, 356.0, 1069.0, 36.0], shoonya_0sEB6BOGSBUWMR, 5703470]
[paragraph, [140.0, 392.0, 1069.0, 36.0], shoonya_0sEB6BOGSBUWMR, 5703470]
[paragraph, [140.0, 428.0, 1069.0, 36.0], shoonya_0sEB6BOGSBUWMR, 5703470]
[paragraph, [140.0, 464.0, 1069.0, 36.0], shoonya_0sEB6BOGSBUWMR, 5703470]
[paragraph, [140.0, 500.0, 1069.0, 36.0], shoonya_0sEB6BOGSBUWMR, 5703470]
[paragraph, [140.0, 536.0, 1069.0, 36.0], shoonya_0sEB6BOGSBUWMR, 5703470]
[paragraph, [140.0, 572.0, 1069.0, 36.0], shoonya_0sEB6BOGSBUWMR, 5703470]
[paragraph, [140.0, 608.0, 1069.0, 36.0], shoonya_0sEB6BOGSBUWMR, 5703470]
[paragraph, [140.0, 644.0, 1069.0, 36.0], shoonya_0sEB6BOGSBUWMR, 5703470]
[paragraph, [140.0, 680.0, 1069.0, 36.0], shoonya_0sEB6BOGSBUWMR, 5703470]
[paragraph, [140.0, 716.0, 1069.0, 36.0], shoonya_0sEB6BOGSBUWMR, 5703470]
[paragraph, [140.0, 752.0, 1069.0, 36.0], shoonya_0sEB6BOGSBUWMR, 5703470]
[paragraph, [140.0, 788.0, 1069.0, 36.0], shoonya_0sEB6BOGSBUWMR, 5703470]
[paragraph, [140.0, 824.0, 1069.0, 36.0], shoonya_0sEB6BOGSBUWMR, 5703470]
[paragraph, [140.0, 860.0, 1069.0, 36.0], shoonya_0sEB6BOGSBUWMR, 5703470]
[paragraph, [140.0, 896.0, 1069.0, 36.0], shoonya_0sEB6BOGSBUWMR, 5703470]
[paragraph, [140.0, 932.0, 1069.0, 36.0], shoonya_0sEB6BOGSBUWMR, 5703470]
[paragraph, [140.0, 968.0, 1069.0, 36.0], shoonya_0sEB6BOGSBUWMR, 5703470]
[paragraph, [140.0, 1004.0, 1069.0, 36.0], shoonya_0sEB6BOGSBUWMR, 5703470]
[paragraph, [140.0, 1040.0, 1069.0, 36.0], shoonya_0sEB6BOGSBUWMR, 5703470]
[paragraph, [140.0, 1076.0, 1069.0, 36.0], shoonya_0sEB6BOGSBUWMR, 5703470]
[paragraph, [140.0, 1112.0, 1069.0, 36.0], shoonya_0sEB6BOGSBUWMR, 5703470]
[paragraph, [140.0, 1148.0, 1069.0, 36.0], shoonya_0sEB6BOGSBUWMR, 5703470]
[paragraph, [140.0, 1184.0, 1069.0, 36.0], shoonya_0sEB6BOGSBUWMR, 5703470]
[paragraph, [140.0, 1220.0, 1069.0, 36.0], shoonya_0sEB6BOGSBUWMR, 5703470]
[paragraph, [140.0, 1256.0, 1069.0, 36.0], shoonya_0sEB6BOGSBUWMR, 5703470]
[paragraph, [140.0, 1292.0, 1069.0, 36.0], shoonya_0sEB6BOGSBUWMR, 5703470]
[paragraph, [140.0, 1328.0, 1069.0, 36.0], shoonya_0sEB6BOGSBUWMR, 5703470]
[paragraph, [140.0, 1364.0, 1069.0, 36.0], shoonya_0sEB6BOGSBUWMR, 5703470]
[paragraph, [140.0, 1400.0, 1069.0, 36.0], shoonya_0sEB6BOGSBUWMR, 5703470]
