[1823, 1375]
[headline, [473.0, 146.0, 427.0, 37.5], shoonya_1sRZ585H1Q2P51, 5683501]
[paragraph, [696.0, 621.0, 568.0, 36.0], 3LUxb9Qie5, 5683501]
[paragraph, [696.0, 657.0, 568.0, 36.0], 3LUxb9Qie5, 5683501]
[paragraph, [696.0, 693.0, 568.0, 36.0], 3LUxb9Qie5, 5683501]
[paragraph, [696.0, 729.0, 568.0, 36.0], 3LUxb9Qie5, 5683501]
[paragraph, [696.0, 765.0, 568.0, 36.0], 3LUxb9Qie5, 5683501]
[paragraph, [139.0, 662.0, 495.0, 36.0], yw7EVP2ApU, 5683501]
[paragraph, [107.0, 744.0, 533.0, 36.0], jB2pPXNvV-, 5683501]
[paragraph, [107.0, 780.0, 533.0, 36.0], jB2pPXNvV-, 5683501]
[paragraph, [107.0, 816.0, 533.0, 36.0], jB2pPXNvV-, 5683501]
[paragraph, [107.0, 852.0, 533.0, 36.0], jB2pPXNvV-, 5683501]
[paragraph, [107.0, 888.0, 533.0, 36.0], jB2pPXNvV-, 5683501]
[paragraph, [107.0, 924.0, 533.0, 36.0], jB2pPXNvV-, 5683501]
[paragraph, [107.0, 960.0, 533.0, 36.0], jB2pPXNvV-, 5683501]
[paragraph, [690.0, 829.0, 582.0, 36.0], nXd4HSQbmL, 5683501]
[paragraph, [690.0, 865.0, 582.0, 36.0], nXd4HSQbmL, 5683501]
[paragraph, [690.0, 901.0, 582.0, 36.0], nXd4HSQbmL, 5683501]
[paragraph, [690.0, 937.0, 582.0, 36.0], nXd4HSQbmL, 5683501]
[section-title, [474.0, 1032.0, 424.0, 49.5], mW64PRpkl7, 5683501]
[paragraph, [101.0, 1109.0, 583.0, 36.0], Us2ATYcw-H, 5683501]
[paragraph, [101.0, 1145.0, 583.0, 36.0], Us2ATYcw-H, 5683501]
[paragraph, [101.0, 1181.0, 583.0, 36.0], Us2ATYcw-H, 5683501]
[paragraph, [101.0, 1217.0, 583.0, 36.0], Us2ATYcw-H, 5683501]
[paragraph, [101.0, 1253.0, 583.0, 36.0], Us2ATYcw-H, 5683501]
[paragraph, [101.0, 1289.0, 583.0, 36.0], Us2ATYcw-H, 5683501]
[paragraph, [101.0, 1325.0, 583.0, 36.0], Us2ATYcw-H, 5683501]
[paragraph, [101.0, 1361.0, 583.0, 36.0], Us2ATYcw-H, 5683501]
[paragraph, [101.0, 1397.0, 583.0, 36.0], Us2ATYcw-H, 5683501]
[paragraph, [101.0, 1433.0, 583.0, 36.0], Us2ATYcw-H, 5683501]
[paragraph, [101.0, 1469.0, 583.0, 36.0], Us2ATYcw-H, 5683501]
[paragraph, [101.0, 1505.0, 583.0, 36.0], Us2ATYcw-H, 5683501]
[paragraph, [101.0, 1541.0, 583.0, 36.0], Us2ATYcw-H, 5683501]
[paragraph, [101.0, 1577.0, 583.0, 36.0], Us2ATYcw-H, 5683501]
[paragraph, [101.0, 1613.0, 583.0, 36.0], Us2ATYcw-H, 5683501]
[paragraph, [101.0, 1649.0, 583.0, 36.0], Us2ATYcw-H, 5683501]
[paragraph, [101.0, 1685.0, 583.0, 36.0], Us2ATYcw-H, 5683501]
[paragraph, [696.0, 1113.0, 579.0, 36.0], autiMW4IZ0, 5683501]
[paragraph, [696.0, 1149.0, 579.0, 36.0], autiMW4IZ0, 5683501]
[paragraph, [696.0, 1185.0, 579.0, 36.0], autiMW4IZ0, 5683501]
[paragraph, [696.0, 1221.0, 579.0, 36.0], autiMW4IZ0, 5683501]
[paragraph, [696.0, 1257.0, 579.0, 36.0], autiMW4IZ0, 5683501]
[paragraph, [696.0, 1293.0, 579.0, 36.0], autiMW4IZ0, 5683501]
[paragraph, [696.0, 1329.0, 579.0, 36.0], autiMW4IZ0, 5683501]
[paragraph, [696.0, 1365.0, 579.0, 36.0], autiMW4IZ0, 5683501]
[paragraph, [696.0, 1401.0, 579.0, 36.0], autiMW4IZ0, 5683501]
[paragraph, [696.0, 1437.0, 579.0, 36.0], autiMW4IZ0, 5683501]
[paragraph, [696.0, 1473.0, 579.0, 36.0], autiMW4IZ0, 5683501]
[paragraph, [696.0, 1509.0, 579.0, 36.0], autiMW4IZ0, 5683501]
[paragraph, [696.0, 1545.0, 579.0, 36.0], autiMW4IZ0, 5683501]
[paragraph, [696.0, 1581.0, 579.0, 36.0], autiMW4IZ0, 5683501]
[paragraph, [696.0, 1617.0, 579.0, 36.0], autiMW4IZ0, 5683501]
[paragraph, [696.0, 1653.0, 579.0, 36.0], autiMW4IZ0, 5683501]
[paragraph, [696.0, 1689.0, 579.0, 36.0], autiMW4IZ0, 5683501]
