[1818, 1374]
[folio, [485.0, 200.0, 405.0, 36.0], VkoiPp94FF, 5682223]
[paragraph, [103.0, 269.0, 576.0, 36.0], shoonya_0sCLNYJKJ0QWTO, 5682223]
[paragraph, [103.0, 305.0, 576.0, 36.0], shoonya_0sCLNYJKJ0QWTO, 5682223]
[paragraph, [103.0, 341.0, 576.0, 36.0], shoonya_0sCLNYJKJ0QWTO, 5682223]
[paragraph, [103.0, 377.0, 576.0, 36.0], shoonya_0sCLNYJKJ0QWTO, 5682223]
[paragraph, [698.0, 270.0, 572.0, 36.0], shoonya_1sQ4DSL23SKK1R, 5682223]
[paragraph, [698.0, 306.0, 572.0, 36.0], shoonya_1sQ4DSL23SKK1R, 5682223]
[paragraph, [698.0, 342.0, 572.0, 36.0], shoonya_1sQ4DSL23SKK1R, 5682223]
[paragraph, [698.0, 378.0, 572.0, 36.0], shoonya_1sQ4DSL23SKK1R, 5682223]
[paragraph, [698.0, 414.0, 572.0, 36.0], shoonya_1sQ4DSL23SKK1R, 5682223]
[paragraph, [698.0, 450.0, 572.0, 36.0], shoonya_1sQ4DSL23SKK1R, 5682223]
[paragraph, [698.0, 486.0, 572.0, 36.0], shoonya_1sQ4DSL23SKK1R, 5682223]
[paragraph, [698.0, 522.0, 572.0, 36.0], shoonya_1sQ4DSL23SKK1R, 5682223]
[paragraph, [698.0, 558.0, 572.0, 36.0], shoonya_1sQ4DSL23SKK1R, 5682223]
[paragraph, [698.0, 594.0, 572.0, 36.0], shoonya_1sQ4DSL23SKK1R, 5682223]
[paragraph, [698.0, 630.0, 572.0, 36.0], shoonya_1sQ4DSL23SKK1R, 5682223]
[paragraph, [698.0, 666.0, 572.0, 36.0], shoonya_1sQ4DSL23SKK1R, 5682223]
[paragraph, [698.0, 702.0, 572.0, 36.0], shoonya_1sQ4DSL23SKK1R, 5682223]
[paragraph, [698.0, 738.0, 572.0, 36.0], shoonya_1sQ4DSL23SKK1R, 5682223]
[paragraph, [698.0, 774.0, 572.0, 36.0], shoonya_1sQ4DSL23SKK1R, 5682223]
[paragraph, [698.0, 810.0, 572.0, 36.0], shoonya_1sQ4DSL23SKK1R, 5682223]
[paragraph, [698.0, 846.0, 572.0, 36.0], shoonya_1sQ4DSL23SKK1R, 5682223]
[paragraph, [698.0, 882.0, 572.0, 36.0], shoonya_1sQ4DSL23SKK1R, 5682223]
[paragraph, [698.0, 918.0, 572.0, 36.0], shoonya_1sQ4DSL23SKK1R, 5682223]
[paragraph, [698.0, 954.0, 572.0, 36.0], shoonya_1sQ4DSL23SKK1R, 5682223]
[paragraph, [698.0, 990.0, 572.0, 36.0], shoonya_1sQ4DSL23SKK1R, 5682223]
[paragraph, [698.0, 1026.0, 572.0, 36.0], shoonya_1sQ4DSL23SKK1R, 5682223]
[paragraph, [698.0, 1062.0, 572.0, 36.0], shoonya_1sQ4DSL23SKK1R, 5682223]
[paragraph, [698.0, 1098.0, 572.0, 36.0], shoonya_1sQ4DSL23SKK1R, 5682223]
[paragraph, [698.0, 1134.0, 572.0, 36.0], shoonya_1sQ4DSL23SKK1R, 5682223]
[paragraph, [698.0, 1170.0, 572.0, 36.0], shoonya_1sQ4DSL23SKK1R, 5682223]
[paragraph, [698.0, 1206.0, 572.0, 36.0], shoonya_1sQ4DSL23SKK1R, 5682223]
[paragraph, [698.0, 1242.0, 572.0, 36.0], shoonya_1sQ4DSL23SKK1R, 5682223]
[paragraph, [104.0, 430.0, 571.0, 36.0], UKCI78vQrI, 5682223]
[paragraph, [104.0, 466.0, 571.0, 36.0], UKCI78vQrI, 5682223]
[paragraph, [105.0, 507.0, 572.0, 36.0], sP_yW-eYcw, 5682223]
[paragraph, [105.0, 543.0, 572.0, 36.0], sP_yW-eYcw, 5682223]
[paragraph, [105.0, 579.0, 572.0, 36.0], sP_yW-eYcw, 5682223]
[paragraph, [105.0, 615.0, 572.0, 36.0], sP_yW-eYcw, 5682223]
[paragraph, [105.0, 651.0, 572.0, 36.0], sP_yW-eYcw, 5682223]
[paragraph, [105.0, 687.0, 572.0, 36.0], sP_yW-eYcw, 5682223]
[paragraph, [105.0, 723.0, 572.0, 36.0], sP_yW-eYcw, 5682223]
[paragraph, [105.0, 759.0, 572.0, 36.0], sP_yW-eYcw, 5682223]
[paragraph, [105.0, 795.0, 572.0, 36.0], sP_yW-eYcw, 5682223]
[paragraph, [105.0, 831.0, 572.0, 36.0], sP_yW-eYcw, 5682223]
[paragraph, [105.0, 867.0, 572.0, 36.0], sP_yW-eYcw, 5682223]
[paragraph, [105.0, 903.0, 572.0, 36.0], sP_yW-eYcw, 5682223]
[paragraph, [105.0, 939.0, 572.0, 36.0], sP_yW-eYcw, 5682223]
[paragraph, [105.0, 975.0, 572.0, 36.0], sP_yW-eYcw, 5682223]
[paragraph, [105.0, 1011.0, 572.0, 36.0], sP_yW-eYcw, 5682223]
[paragraph, [105.0, 1047.0, 572.0, 36.0], sP_yW-eYcw, 5682223]
[paragraph, [694.0, 1306.0, 572.0, 36.0], shoonya_6s1S2ZSP9YLUAZ, 5682223]
[paragraph, [694.0, 1342.0, 572.0, 36.0], shoonya_6s1S2ZSP9YLUAZ, 5682223]
[paragraph, [694.0, 1378.0, 572.0, 36.0], shoonya_6s1S2ZSP9YLUAZ, 5682223]
[paragraph, [694.0, 1414.0, 572.0, 36.0], shoonya_6s1S2ZSP9YLUAZ, 5682223]
[paragraph, [694.0, 1450.0, 572.0, 36.0], shoonya_6s1S2ZSP9YLUAZ, 5682223]
[paragraph, [109.0, 1363.0, 563.0, 36.0], -qXAUcOZwr, 5682223]
[paragraph, [109.0, 1399.0, 563.0, 36.0], -qXAUcOZwr, 5682223]
[paragraph, [109.0, 1435.0, 563.0, 36.0], -qXAUcOZwr, 5682223]
