[792, 612]
[folio, [247.0, 44.0, 278.0, 18.0], EzAN5Vnick, 5743897]
[paragraph, [117.0, 70.0, 409.0, 18.0], shoonya_1sXKSYFD29BCDP, 5743897]
[paragraph, [117.0, 88.0, 409.0, 18.0], shoonya_1sXKSYFD29BCDP, 5743897]
[paragraph, [115.0, 119.0, 413.0, 18.0], pWg3rGtZ2D, 5743897]
[paragraph, [115.0, 137.0, 413.0, 18.0], pWg3rGtZ2D, 5743897]
[paragraph, [115.0, 155.0, 413.0, 18.0], pWg3rGtZ2D, 5743897]
[paragraph, [115.0, 173.0, 413.0, 18.0], pWg3rGtZ2D, 5743897]
[paragraph, [115.0, 191.0, 413.0, 18.0], pWg3rGtZ2D, 5743897]
[paragraph, [115.0, 209.0, 413.0, 18.0], pWg3rGtZ2D, 5743897]
[paragraph, [115.0, 227.0, 413.0, 18.0], pWg3rGtZ2D, 5743897]
[paragraph, [115.0, 245.0, 413.0, 18.0], pWg3rGtZ2D, 5743897]
[paragraph, [115.0, 263.0, 413.0, 18.0], pWg3rGtZ2D, 5743897]
[paragraph, [115.0, 281.0, 413.0, 18.0], pWg3rGtZ2D, 5743897]
[paragraph, [115.0, 299.0, 413.0, 18.0], pWg3rGtZ2D, 5743897]
[paragraph, [115.0, 317.0, 413.0, 18.0], pWg3rGtZ2D, 5743897]
[paragraph, [115.0, 335.0, 413.0, 18.0], pWg3rGtZ2D, 5743897]
[paragraph, [115.0, 353.0, 413.0, 18.0], pWg3rGtZ2D, 5743897]
[paragraph, [115.0, 371.0, 413.0, 18.0], pWg3rGtZ2D, 5743897]
[paragraph, [115.0, 389.0, 413.0, 18.0], pWg3rGtZ2D, 5743897]
[paragraph, [115.0, 407.0, 413.0, 18.0], pWg3rGtZ2D, 5743897]
[paragraph, [115.0, 425.0, 413.0, 18.0], pWg3rGtZ2D, 5743897]
[paragraph, [115.0, 443.0, 413.0, 18.0], pWg3rGtZ2D, 5743897]
[paragraph, [115.0, 461.0, 413.0, 18.0], pWg3rGtZ2D, 5743897]
[paragraph, [115.0, 479.0, 413.0, 18.0], pWg3rGtZ2D, 5743897]
[paragraph, [115.0, 497.0, 413.0, 18.0], pWg3rGtZ2D, 5743897]
[paragraph, [115.0, 515.0, 413.0, 18.0], pWg3rGtZ2D, 5743897]
[paragraph, [115.0, 533.0, 413.0, 18.0], pWg3rGtZ2D, 5743897]
[paragraph, [115.0, 551.0, 413.0, 18.0], pWg3rGtZ2D, 5743897]
[paragraph, [115.0, 569.0, 413.0, 18.0], pWg3rGtZ2D, 5743897]
[paragraph, [115.0, 587.0, 413.0, 18.0], pWg3rGtZ2D, 5743897]
[paragraph, [115.0, 605.0, 413.0, 18.0], pWg3rGtZ2D, 5743897]
[paragraph, [115.0, 623.0, 413.0, 18.0], pWg3rGtZ2D, 5743897]
[paragraph, [115.0, 641.0, 413.0, 18.0], pWg3rGtZ2D, 5743897]
[paragraph, [115.0, 659.0, 413.0, 18.0], pWg3rGtZ2D, 5743897]
[paragraph, [115.0, 677.0, 413.0, 18.0], pWg3rGtZ2D, 5743897]
