[1387, 987]
[paragraph, [45.0, 85.0, 872.0, 18.0], shoonya_0sX2XSQ4DTD3U7, 5652697]
[paragraph, [45.0, 103.0, 872.0, 18.0], shoonya_0sX2XSQ4DTD3U7, 5652697]
[paragraph, [45.0, 121.0, 872.0, 18.0], shoonya_0sX2XSQ4DTD3U7, 5652697]
[paragraph, [45.0, 139.0, 872.0, 18.0], shoonya_0sX2XSQ4DTD3U7, 5652697]
[paragraph, [45.0, 157.0, 872.0, 18.0], shoonya_0sX2XSQ4DTD3U7, 5652697]
[paragraph, [45.0, 175.0, 872.0, 18.0], shoonya_0sX2XSQ4DTD3U7, 5652697]
[paragraph, [45.0, 193.0, 872.0, 18.0], shoonya_0sX2XSQ4DTD3U7, 5652697]
[paragraph, [45.0, 211.0, 872.0, 18.0], shoonya_0sX2XSQ4DTD3U7, 5652697]
[paragraph, [45.0, 229.0, 872.0, 18.0], shoonya_0sX2XSQ4DTD3U7, 5652697]
[paragraph, [45.0, 247.0, 872.0, 18.0], shoonya_0sX2XSQ4DTD3U7, 5652697]
[paragraph, [67.0, 276.0, 851.0, 18.0], tONkrfoGj5, 5652697]
[paragraph, [67.0, 294.0, 851.0, 18.0], tONkrfoGj5, 5652697]
[paragraph, [67.0, 312.0, 851.0, 18.0], tONkrfoGj5, 5652697]
[paragraph, [43.0, 339.0, 903.0, 18.0], wYhAwNIFoR, 5652697]
[paragraph, [43.0, 357.0, 903.0, 18.0], wYhAwNIFoR, 5652697]
[paragraph, [43.0, 375.0, 903.0, 18.0], wYhAwNIFoR, 5652697]
[paragraph, [43.0, 393.0, 903.0, 18.0], wYhAwNIFoR, 5652697]
[paragraph, [43.0, 411.0, 903.0, 18.0], wYhAwNIFoR, 5652697]
[paragraph, [43.0, 429.0, 903.0, 18.0], wYhAwNIFoR, 5652697]
[paragraph, [43.0, 447.0, 903.0, 18.0], wYhAwNIFoR, 5652697]
[paragraph, [43.0, 465.0, 903.0, 18.0], wYhAwNIFoR, 5652697]
[paragraph, [43.0, 483.0, 903.0, 18.0], wYhAwNIFoR, 5652697]
[paragraph, [43.0, 501.0, 903.0, 18.0], wYhAwNIFoR, 5652697]
[paragraph, [66.0, 526.0, 751.0, 18.0], wLrRj0KD9J, 5652697]
[paragraph, [66.0, 544.0, 751.0, 18.0], wLrRj0KD9J, 5652697]
[paragraph, [66.0, 562.0, 751.0, 18.0], wLrRj0KD9J, 5652697]
[paragraph, [61.0, 588.0, 752.0, 18.0], rcGxI1l-5E, 5652697]
[paragraph, [61.0, 606.0, 752.0, 18.0], rcGxI1l-5E, 5652697]
[paragraph, [61.0, 624.0, 752.0, 18.0], rcGxI1l-5E, 5652697]
[paragraph, [61.0, 642.0, 752.0, 18.0], rcGxI1l-5E, 5652697]
[paragraph, [69.0, 657.0, 688.0, 18.0], 4qVR3qSIVJ, 5652697]
[paragraph, [69.0, 675.0, 688.0, 18.0], 4qVR3qSIVJ, 5652697]
[paragraph, [69.0, 693.0, 688.0, 18.0], 4qVR3qSIVJ, 5652697]
[paragraph, [55.0, 724.0, 888.0, 18.0], l-P_AjjqVV, 5652697]
[paragraph, [55.0, 742.0, 888.0, 18.0], l-P_AjjqVV, 5652697]
[paragraph, [55.0, 760.0, 888.0, 18.0], l-P_AjjqVV, 5652697]
[paragraph, [55.0, 778.0, 888.0, 18.0], l-P_AjjqVV, 5652697]
[paragraph, [55.0, 796.0, 888.0, 18.0], l-P_AjjqVV, 5652697]
[paragraph, [55.0, 814.0, 888.0, 18.0], l-P_AjjqVV, 5652697]
[paragraph, [55.0, 832.0, 888.0, 18.0], l-P_AjjqVV, 5652697]
[paragraph, [55.0, 850.0, 888.0, 18.0], l-P_AjjqVV, 5652697]
[paragraph, [55.0, 868.0, 888.0, 18.0], l-P_AjjqVV, 5652697]
[paragraph, [55.0, 886.0, 888.0, 18.0], l-P_AjjqVV, 5652697]
[paragraph, [61.0, 902.0, 868.0, 18.0], lkRwVODG4R, 5652697]
[paragraph, [61.0, 920.0, 868.0, 18.0], lkRwVODG4R, 5652697]
[paragraph, [61.0, 938.0, 868.0, 18.0], lkRwVODG4R, 5652697]
[paragraph, [61.0, 956.0, 868.0, 18.0], lkRwVODG4R, 5652697]
[paragraph, [61.0, 974.0, 868.0, 18.0], lkRwVODG4R, 5652697]
[paragraph, [61.0, 992.0, 868.0, 18.0], lkRwVODG4R, 5652697]
[paragraph, [61.0, 1010.0, 868.0, 18.0], lkRwVODG4R, 5652697]
[paragraph, [61.0, 1028.0, 868.0, 18.0], lkRwVODG4R, 5652697]
[paragraph, [61.0, 1046.0, 868.0, 18.0], lkRwVODG4R, 5652697]
[paragraph, [61.0, 1064.0, 868.0, 18.0], lkRwVODG4R, 5652697]
[paragraph, [61.0, 1082.0, 868.0, 18.0], lkRwVODG4R, 5652697]
[paragraph, [61.0, 1100.0, 868.0, 18.0], lkRwVODG4R, 5652697]
[paragraph, [61.0, 1118.0, 868.0, 18.0], lkRwVODG4R, 5652697]
[paragraph, [61.0, 1136.0, 868.0, 18.0], lkRwVODG4R, 5652697]
[paragraph, [61.0, 1154.0, 868.0, 18.0], lkRwVODG4R, 5652697]
[paragraph, [61.0, 1172.0, 868.0, 18.0], lkRwVODG4R, 5652697]
[paragraph, [61.0, 1190.0, 868.0, 18.0], lkRwVODG4R, 5652697]
[paragraph, [61.0, 1208.0, 868.0, 18.0], lkRwVODG4R, 5652697]
[paragraph, [61.0, 1226.0, 868.0, 18.0], lkRwVODG4R, 5652697]
[paragraph, [61.0, 1244.0, 868.0, 18.0], lkRwVODG4R, 5652697]
[paragraph, [61.0, 1262.0, 868.0, 18.0], lkRwVODG4R, 5652697]
[paragraph, [61.0, 1280.0, 868.0, 18.0], lkRwVODG4R, 5652697]
[paragraph, [61.0, 1298.0, 868.0, 18.0], lkRwVODG4R, 5652697]
