[1755, 1241]
[folio, [142.0, 170.0, 439.0, 36.0], fNlw85VZy1, 5705349]
[folio, [369.0, 1000.0, 703.0, 36.0], bvf_gMAuNZ, 5705349]
[folio, [369.0, 1036.0, 703.0, 36.0], bvf_gMAuNZ, 5705349]
[folio, [369.0, 1072.0, 703.0, 36.0], bvf_gMAuNZ, 5705349]
[contact-info, [354.0, 1122.0, 638.0, 36.0], ffw8D-ZeY9, 5705349]
[contact-info, [354.0, 1158.0, 638.0, 36.0], ffw8D-ZeY9, 5705349]
[contact-info, [354.0, 1194.0, 638.0, 36.0], ffw8D-ZeY9, 5705349]
[contact-info, [354.0, 1230.0, 638.0, 36.0], ffw8D-ZeY9, 5705349]
[contact-info, [354.0, 1266.0, 638.0, 36.0], ffw8D-ZeY9, 5705349]
[contact-info, [354.0, 1302.0, 638.0, 36.0], ffw8D-ZeY9, 5705349]
[contact-info, [354.0, 1338.0, 638.0, 36.0], ffw8D-ZeY9, 5705349]
[contact-info, [354.0, 1374.0, 638.0, 36.0], ffw8D-ZeY9, 5705349]
[contact-info, [354.0, 1410.0, 638.0, 36.0], ffw8D-ZeY9, 5705349]
[contact-info, [354.0, 1446.0, 638.0, 36.0], ffw8D-ZeY9, 5705349]
[website-link, [145.0, 1551.0, 296.0, 18.0], shoonya_0sO4R5SO3QO1P7, 5705349]
[website-link, [145.0, 1569.0, 296.0, 18.0], shoonya_0sO4R5SO3QO1P7, 5705349]
