[2339, 1653]
[folio, [196.0, 363.0, 142.0, 36.0], aS5bA7Ajzm, 5736234]
[folio, [1213.0, 365.0, 235.0, 36.0], 0z97uOX0Q2, 5736234]
[sidebar, [1459.0, 425.0, 152.0, 36.0], shoonya_11sAR6O5555W13, 5736234]
[paragraph, [202.0, 427.0, 614.0, 36.0], shoonya_8sMTUXLF0DAL4Z, 5736234]
[paragraph, [202.0, 463.0, 614.0, 36.0], shoonya_8sMTUXLF0DAL4Z, 5736234]
[paragraph, [202.0, 499.0, 614.0, 36.0], shoonya_8sMTUXLF0DAL4Z, 5736234]
[paragraph, [1106.0, 427.0, 339.0, 36.0], shoonya_12sEUN8P259YVY, 5736234]
[paragraph, [1106.0, 463.0, 339.0, 36.0], shoonya_12sEUN8P259YVY, 5736234]
[paragraph, [1106.0, 499.0, 339.0, 36.0], shoonya_12sEUN8P259YVY, 5736234]
[paragraph, [1106.0, 535.0, 339.0, 36.0], shoonya_12sEUN8P259YVY, 5736234]
[paragraph, [1106.0, 571.0, 339.0, 36.0], shoonya_12sEUN8P259YVY, 5736234]
[paragraph, [1106.0, 607.0, 339.0, 36.0], shoonya_12sEUN8P259YVY, 5736234]
[paragraph, [1106.0, 643.0, 339.0, 36.0], shoonya_12sEUN8P259YVY, 5736234]
[paragraph, [1106.0, 679.0, 339.0, 36.0], shoonya_12sEUN8P259YVY, 5736234]
[paragraph, [1106.0, 715.0, 339.0, 36.0], shoonya_12sEUN8P259YVY, 5736234]
[paragraph, [1106.0, 751.0, 339.0, 36.0], shoonya_12sEUN8P259YVY, 5736234]
[paragraph, [203.0, 561.0, 613.0, 36.0], shoonya_5s6H5QO1I2C4TQ, 5736234]
[paragraph, [203.0, 597.0, 613.0, 36.0], shoonya_5s6H5QO1I2C4TQ, 5736234]
[paragraph, [203.0, 633.0, 613.0, 36.0], shoonya_5s6H5QO1I2C4TQ, 5736234]
[paragraph, [203.0, 669.0, 613.0, 36.0], shoonya_5s6H5QO1I2C4TQ, 5736234]
[paragraph, [203.0, 705.0, 613.0, 36.0], shoonya_5s6H5QO1I2C4TQ, 5736234]
[paragraph, [203.0, 741.0, 613.0, 36.0], shoonya_5s6H5QO1I2C4TQ, 5736234]
[paragraph, [203.0, 777.0, 613.0, 36.0], shoonya_5s6H5QO1I2C4TQ, 5736234]
[paragraph, [839.0, 795.0, 613.0, 36.0], shoonya_15s1KZTFYGJEJ7, 5736234]
[paragraph, [839.0, 831.0, 613.0, 36.0], shoonya_15s1KZTFYGJEJ7, 5736234]
[paragraph, [839.0, 867.0, 613.0, 36.0], shoonya_15s1KZTFYGJEJ7, 5736234]
[paragraph, [839.0, 903.0, 613.0, 36.0], shoonya_15s1KZTFYGJEJ7, 5736234]
[paragraph, [839.0, 939.0, 613.0, 36.0], shoonya_15s1KZTFYGJEJ7, 5736234]
[paragraph, [839.0, 975.0, 613.0, 36.0], shoonya_15s1KZTFYGJEJ7, 5736234]
[paragraph, [839.0, 1011.0, 613.0, 36.0], shoonya_15s1KZTFYGJEJ7, 5736234]
[paragraph, [200.0, 846.0, 617.0, 36.0], shoonya_9sY5O2MBRDNG9G, 5736234]
[paragraph, [200.0, 882.0, 617.0, 36.0], shoonya_9sY5O2MBRDNG9G, 5736234]
[paragraph, [200.0, 918.0, 617.0, 36.0], shoonya_9sY5O2MBRDNG9G, 5736234]
[paragraph, [200.0, 954.0, 617.0, 36.0], shoonya_9sY5O2MBRDNG9G, 5736234]
[paragraph, [200.0, 990.0, 617.0, 36.0], shoonya_9sY5O2MBRDNG9G, 5736234]
[paragraph, [200.0, 1026.0, 617.0, 36.0], shoonya_9sY5O2MBRDNG9G, 5736234]
[paragraph, [205.0, 1075.0, 614.0, 36.0], shoonya_3s7EWTT04997OI, 5736234]
[paragraph, [205.0, 1111.0, 614.0, 36.0], shoonya_3s7EWTT04997OI, 5736234]
[paragraph, [205.0, 1147.0, 614.0, 36.0], shoonya_3s7EWTT04997OI, 5736234]
[paragraph, [205.0, 1183.0, 614.0, 36.0], shoonya_3s7EWTT04997OI, 5736234]
[paragraph, [205.0, 1219.0, 614.0, 36.0], shoonya_3s7EWTT04997OI, 5736234]
[paragraph, [205.0, 1255.0, 614.0, 36.0], shoonya_3s7EWTT04997OI, 5736234]
[paragraph, [205.0, 1291.0, 614.0, 36.0], shoonya_3s7EWTT04997OI, 5736234]
[paragraph, [205.0, 1327.0, 614.0, 36.0], shoonya_3s7EWTT04997OI, 5736234]
[paragraph, [205.0, 1363.0, 614.0, 36.0], shoonya_3s7EWTT04997OI, 5736234]
