[1795, 1184]
[chapter-title, [486.0, 270.0, 190.0, 58.5], T1vKwCs0Dk, 5749429]
[paragraph, [144.0, 377.0, 869.0, 36.0], shoonya_3s13AHHZVB9RVM, 5749429]
[paragraph, [144.0, 413.0, 869.0, 36.0], shoonya_3s13AHHZVB9RVM, 5749429]
[paragraph, [144.0, 449.0, 869.0, 36.0], shoonya_3s13AHHZVB9RVM, 5749429]
[paragraph, [144.0, 485.0, 869.0, 36.0], shoonya_3s13AHHZVB9RVM, 5749429]
[paragraph, [144.0, 521.0, 869.0, 36.0], shoonya_3s13AHHZVB9RVM, 5749429]
[paragraph, [144.0, 557.0, 869.0, 36.0], shoonya_3s13AHHZVB9RVM, 5749429]
[paragraph, [251.0, 609.0, 765.0, 36.0], shoonya_1sN2U5UERM39Q1, 5749429]
[paragraph, [251.0, 645.0, 765.0, 36.0], shoonya_1sN2U5UERM39Q1, 5749429]
[paragraph, [251.0, 681.0, 765.0, 36.0], shoonya_1sN2U5UERM39Q1, 5749429]
[paragraph, [251.0, 717.0, 765.0, 36.0], shoonya_1sN2U5UERM39Q1, 5749429]
[paragraph, [251.0, 753.0, 765.0, 36.0], shoonya_1sN2U5UERM39Q1, 5749429]
[paragraph, [251.0, 789.0, 765.0, 36.0], shoonya_1sN2U5UERM39Q1, 5749429]
[paragraph, [251.0, 825.0, 765.0, 36.0], shoonya_1sN2U5UERM39Q1, 5749429]
[paragraph, [251.0, 861.0, 765.0, 36.0], shoonya_1sN2U5UERM39Q1, 5749429]
[paragraph, [251.0, 897.0, 765.0, 36.0], shoonya_1sN2U5UERM39Q1, 5749429]
[paragraph, [251.0, 933.0, 765.0, 36.0], shoonya_1sN2U5UERM39Q1, 5749429]
[paragraph, [251.0, 969.0, 765.0, 36.0], shoonya_1sN2U5UERM39Q1, 5749429]
[paragraph, [251.0, 1005.0, 765.0, 36.0], shoonya_1sN2U5UERM39Q1, 5749429]
[paragraph, [251.0, 1041.0, 765.0, 36.0], shoonya_1sN2U5UERM39Q1, 5749429]
[paragraph, [251.0, 1077.0, 765.0, 36.0], shoonya_1sN2U5UERM39Q1, 5749429]
[paragraph, [251.0, 1113.0, 765.0, 36.0], shoonya_1sN2U5UERM39Q1, 5749429]
[paragraph, [251.0, 1149.0, 765.0, 36.0], shoonya_1sN2U5UERM39Q1, 5749429]
[paragraph, [251.0, 1185.0, 765.0, 36.0], shoonya_1sN2U5UERM39Q1, 5749429]
[paragraph, [251.0, 1221.0, 765.0, 36.0], shoonya_1sN2U5UERM39Q1, 5749429]
[paragraph, [147.0, 1281.0, 870.0, 36.0], YOSqEmJnf0, 5749429]
[paragraph, [147.0, 1317.0, 870.0, 36.0], YOSqEmJnf0, 5749429]
[paragraph, [147.0, 1353.0, 870.0, 36.0], YOSqEmJnf0, 5749429]
[paragraph, [150.0, 1419.0, 864.0, 36.0], shoonya_2sU1PRB88X2UQS, 5749429]
[paragraph, [150.0, 1455.0, 864.0, 36.0], shoonya_2sU1PRB88X2UQS, 5749429]
