[792, 612]
[section-title, [231.0, 143.0, 171.0, 30.0], shoonya_0sRXVXMSEE7VRL, 5719947]
[ordered-list, [211.0, 195.0, 191.0, 18.0], wkfAQgxVMM, 5719947]
[ordered-list, [211.0, 213.0, 191.0, 18.0], wkfAQgxVMM, 5719947]
[ordered-list, [211.0, 231.0, 191.0, 18.0], wkfAQgxVMM, 5719947]
[ordered-list, [211.0, 249.0, 191.0, 18.0], wkfAQgxVMM, 5719947]
[ordered-list, [211.0, 267.0, 191.0, 18.0], wkfAQgxVMM, 5719947]
[ordered-list, [211.0, 285.0, 191.0, 18.0], wkfAQgxVMM, 5719947]
[ordered-list, [211.0, 303.0, 191.0, 18.0], wkfAQgxVMM, 5719947]
[ordered-list, [211.0, 321.0, 191.0, 18.0], wkfAQgxVMM, 5719947]
[ordered-list, [211.0, 339.0, 191.0, 18.0], wkfAQgxVMM, 5719947]
[ordered-list, [211.0, 357.0, 191.0, 18.0], wkfAQgxVMM, 5719947]
[ordered-list, [211.0, 375.0, 191.0, 18.0], wkfAQgxVMM, 5719947]
[ordered-list, [211.0, 393.0, 191.0, 18.0], wkfAQgxVMM, 5719947]
[ordered-list, [211.0, 411.0, 191.0, 18.0], wkfAQgxVMM, 5719947]
[ordered-list, [211.0, 429.0, 191.0, 18.0], wkfAQgxVMM, 5719947]
[contact-info, [177.0, 499.0, 264.0, 18.0], zdoDGwJIQI, 5719947]
[contact-info, [177.0, 517.0, 264.0, 18.0], zdoDGwJIQI, 5719947]
[contact-info, [177.0, 535.0, 264.0, 18.0], zdoDGwJIQI, 5719947]
[contact-info, [177.0, 553.0, 264.0, 18.0], zdoDGwJIQI, 5719947]
[contact-info, [177.0, 571.0, 264.0, 18.0], zdoDGwJIQI, 5719947]
[contact-info, [214.0, 607.0, 191.0, 18.0], gOdwMwh8UL, 5719947]
[contact-info, [214.0, 625.0, 191.0, 18.0], gOdwMwh8UL, 5719947]
