[828, 612]
[headline, [195.0, 106.0, 214.0, 25.5], -yOzqgLKQ9, 6460225]
[jumpline, [238.0, 162.0, 113.0, 18.0], YgkHN_td3O, 6460225]
[paragraph, [131.0, 220.0, 283.0, 18.0], YVgy6Dl48h, 6460225]
[paragraph, [131.0, 238.0, 283.0, 18.0], YVgy6Dl48h, 6460225]
[paragraph, [131.0, 256.0, 283.0, 18.0], YVgy6Dl48h, 6460225]
[paragraph, [131.0, 274.0, 283.0, 18.0], YVgy6Dl48h, 6460225]
[paragraph, [131.0, 292.0, 283.0, 18.0], YVgy6Dl48h, 6460225]
[paragraph, [131.0, 310.0, 283.0, 18.0], YVgy6Dl48h, 6460225]
[paragraph, [131.0, 328.0, 283.0, 18.0], YVgy6Dl48h, 6460225]
[paragraph, [127.0, 365.0, 295.0, 18.0], shoonya_1s8DVYZAYOFV9D, 6460225]
[paragraph, [127.0, 383.0, 295.0, 18.0], shoonya_1s8DVYZAYOFV9D, 6460225]
[paragraph, [127.0, 401.0, 295.0, 18.0], shoonya_1s8DVYZAYOFV9D, 6460225]
[paragraph, [127.0, 419.0, 295.0, 18.0], shoonya_1s8DVYZAYOFV9D, 6460225]
[paragraph, [127.0, 437.0, 295.0, 18.0], shoonya_1s8DVYZAYOFV9D, 6460225]
[paragraph, [127.0, 455.0, 295.0, 18.0], shoonya_1s8DVYZAYOFV9D, 6460225]
[paragraph, [127.0, 473.0, 295.0, 18.0], shoonya_1s8DVYZAYOFV9D, 6460225]
[paragraph, [135.0, 505.0, 308.0, 18.0], shoonya_2sEN1L38TQ2KTR, 6460225]
[paragraph, [135.0, 523.0, 308.0, 18.0], shoonya_2sEN1L38TQ2KTR, 6460225]
[paragraph, [135.0, 541.0, 308.0, 18.0], shoonya_2sEN1L38TQ2KTR, 6460225]
[paragraph, [135.0, 559.0, 308.0, 18.0], shoonya_2sEN1L38TQ2KTR, 6460225]
[paragraph, [135.0, 577.0, 308.0, 18.0], shoonya_2sEN1L38TQ2KTR, 6460225]
[paragraph, [135.0, 595.0, 308.0, 18.0], shoonya_2sEN1L38TQ2KTR, 6460225]
[paragraph, [135.0, 613.0, 308.0, 18.0], shoonya_2sEN1L38TQ2KTR, 6460225]
[paragraph, [135.0, 658.0, 310.0, 18.0], shoonya_3sM823N88H7H3H, 6460225]
[paragraph, [135.0, 676.0, 310.0, 18.0], shoonya_3sM823N88H7H3H, 6460225]
[paragraph, [135.0, 694.0, 310.0, 18.0], shoonya_3sM823N88H7H3H, 6460225]
[paragraph, [135.0, 712.0, 310.0, 18.0], shoonya_3sM823N88H7H3H, 6460225]
[paragraph, [135.0, 730.0, 310.0, 18.0], shoonya_3sM823N88H7H3H, 6460225]
[paragraph, [135.0, 748.0, 310.0, 18.0], shoonya_3sM823N88H7H3H, 6460225]
[folio, [130.0, 784.0, 73.0, 18.0], XL25aBrsxM, 6460225]
