[1650, 1275]
[paragraph, [141.0, 149.0, 992.0, 36.0], shoonya_0sQ9ER0SGPSSUY, 5703331]
[paragraph, [141.0, 185.0, 992.0, 36.0], shoonya_0sQ9ER0SGPSSUY, 5703331]
[paragraph, [141.0, 221.0, 992.0, 36.0], shoonya_0sQ9ER0SGPSSUY, 5703331]
[paragraph, [141.0, 257.0, 992.0, 36.0], shoonya_0sQ9ER0SGPSSUY, 5703331]
[paragraph, [141.0, 293.0, 992.0, 36.0], shoonya_0sQ9ER0SGPSSUY, 5703331]
[paragraph, [141.0, 329.0, 992.0, 36.0], shoonya_0sQ9ER0SGPSSUY, 5703331]
[paragraph, [140.0, 387.0, 1004.0, 36.0], shoonya_2sI5HJ6U5F9SPR, 5703331]
[paragraph, [140.0, 423.0, 1004.0, 36.0], shoonya_2sI5HJ6U5F9SPR, 5703331]
[paragraph, [140.0, 459.0, 1004.0, 36.0], shoonya_2sI5HJ6U5F9SPR, 5703331]
[paragraph, [140.0, 495.0, 1004.0, 36.0], shoonya_2sI5HJ6U5F9SPR, 5703331]
[paragraph, [140.0, 531.0, 1004.0, 36.0], shoonya_2sI5HJ6U5F9SPR, 5703331]
[paragraph, [140.0, 567.0, 1004.0, 36.0], shoonya_2sI5HJ6U5F9SPR, 5703331]
[paragraph, [140.0, 603.0, 1004.0, 36.0], shoonya_2sI5HJ6U5F9SPR, 5703331]
[paragraph, [140.0, 639.0, 1004.0, 36.0], shoonya_2sI5HJ6U5F9SPR, 5703331]
[paragraph, [140.0, 675.0, 1004.0, 36.0], shoonya_2sI5HJ6U5F9SPR, 5703331]
[paragraph, [140.0, 711.0, 1004.0, 36.0], shoonya_2sI5HJ6U5F9SPR, 5703331]
[paragraph, [140.0, 747.0, 1004.0, 36.0], shoonya_2sI5HJ6U5F9SPR, 5703331]
[paragraph, [140.0, 783.0, 1004.0, 36.0], shoonya_2sI5HJ6U5F9SPR, 5703331]
[paragraph, [140.0, 819.0, 1004.0, 36.0], shoonya_2sI5HJ6U5F9SPR, 5703331]
[paragraph, [140.0, 855.0, 1004.0, 36.0], shoonya_2sI5HJ6U5F9SPR, 5703331]
[paragraph, [140.0, 891.0, 1004.0, 36.0], shoonya_2sI5HJ6U5F9SPR, 5703331]
[paragraph, [140.0, 927.0, 1004.0, 36.0], shoonya_2sI5HJ6U5F9SPR, 5703331]
[paragraph, [140.0, 963.0, 1004.0, 36.0], shoonya_2sI5HJ6U5F9SPR, 5703331]
[paragraph, [140.0, 999.0, 1004.0, 36.0], shoonya_2sI5HJ6U5F9SPR, 5703331]
[paragraph, [140.0, 1035.0, 1004.0, 36.0], shoonya_2sI5HJ6U5F9SPR, 5703331]
[paragraph, [140.0, 1071.0, 1004.0, 36.0], shoonya_2sI5HJ6U5F9SPR, 5703331]
[paragraph, [140.0, 1107.0, 1004.0, 36.0], shoonya_2sI5HJ6U5F9SPR, 5703331]
[paragraph, [140.0, 1143.0, 1004.0, 36.0], shoonya_2sI5HJ6U5F9SPR, 5703331]
[paragraph, [140.0, 1179.0, 1004.0, 36.0], shoonya_2sI5HJ6U5F9SPR, 5703331]
[paragraph, [140.0, 1215.0, 1004.0, 36.0], shoonya_2sI5HJ6U5F9SPR, 5703331]
[paragraph, [140.0, 1251.0, 1004.0, 36.0], shoonya_2sI5HJ6U5F9SPR, 5703331]
[paragraph, [140.0, 1287.0, 1004.0, 36.0], shoonya_2sI5HJ6U5F9SPR, 5703331]
[paragraph, [140.0, 1323.0, 1004.0, 36.0], shoonya_2sI5HJ6U5F9SPR, 5703331]
[paragraph, [140.0, 1359.0, 1004.0, 36.0], shoonya_2sI5HJ6U5F9SPR, 5703331]
[paragraph, [140.0, 1395.0, 1004.0, 36.0], shoonya_2sI5HJ6U5F9SPR, 5703331]
[paragraph, [140.0, 1431.0, 1004.0, 36.0], shoonya_2sI5HJ6U5F9SPR, 5703331]
