[1388, 886]
[folio, [393.0, 59.0, 82.0, 18.0], eOVfLfC_X6, 5742905]
[paragraph, [440.0, 117.0, 412.0, 18.0], pQNV1qhC1x, 5742905]
[paragraph, [440.0, 135.0, 412.0, 18.0], pQNV1qhC1x, 5742905]
[paragraph, [440.0, 153.0, 412.0, 18.0], pQNV1qhC1x, 5742905]
[paragraph, [440.0, 171.0, 412.0, 18.0], pQNV1qhC1x, 5742905]
[paragraph, [440.0, 189.0, 412.0, 18.0], pQNV1qhC1x, 5742905]
[paragraph, [440.0, 207.0, 412.0, 18.0], pQNV1qhC1x, 5742905]
[paragraph, [440.0, 225.0, 412.0, 18.0], pQNV1qhC1x, 5742905]
[paragraph, [440.0, 243.0, 412.0, 18.0], pQNV1qhC1x, 5742905]
[paragraph, [440.0, 261.0, 412.0, 18.0], pQNV1qhC1x, 5742905]
[paragraph, [440.0, 279.0, 412.0, 18.0], pQNV1qhC1x, 5742905]
[paragraph, [34.0, 128.0, 391.0, 18.0], shoonya_0sSIGFQKHB4ZVE, 5742905]
[paragraph, [34.0, 146.0, 391.0, 18.0], shoonya_0sSIGFQKHB4ZVE, 5742905]
[paragraph, [34.0, 164.0, 391.0, 18.0], shoonya_0sSIGFQKHB4ZVE, 5742905]
[paragraph, [34.0, 182.0, 391.0, 18.0], shoonya_0sSIGFQKHB4ZVE, 5742905]
[paragraph, [34.0, 200.0, 391.0, 18.0], shoonya_0sSIGFQKHB4ZVE, 5742905]
[paragraph, [34.0, 218.0, 391.0, 18.0], shoonya_0sSIGFQKHB4ZVE, 5742905]
[paragraph, [34.0, 236.0, 391.0, 18.0], shoonya_0sSIGFQKHB4ZVE, 5742905]
[paragraph, [34.0, 254.0, 391.0, 18.0], shoonya_0sSIGFQKHB4ZVE, 5742905]
[paragraph, [34.0, 272.0, 391.0, 18.0], shoonya_0sSIGFQKHB4ZVE, 5742905]
[paragraph, [34.0, 290.0, 391.0, 18.0], shoonya_0sSIGFQKHB4ZVE, 5742905]
[paragraph, [34.0, 308.0, 391.0, 18.0], shoonya_0sSIGFQKHB4ZVE, 5742905]
[paragraph, [34.0, 326.0, 391.0, 18.0], shoonya_0sSIGFQKHB4ZVE, 5742905]
[paragraph, [34.0, 344.0, 391.0, 18.0], shoonya_0sSIGFQKHB4ZVE, 5742905]
[paragraph, [34.0, 362.0, 391.0, 18.0], shoonya_0sSIGFQKHB4ZVE, 5742905]
[paragraph, [34.0, 380.0, 391.0, 18.0], shoonya_0sSIGFQKHB4ZVE, 5742905]
[paragraph, [34.0, 398.0, 391.0, 18.0], shoonya_0sSIGFQKHB4ZVE, 5742905]
[paragraph, [34.0, 416.0, 391.0, 18.0], shoonya_0sSIGFQKHB4ZVE, 5742905]
[paragraph, [34.0, 434.0, 391.0, 18.0], shoonya_0sSIGFQKHB4ZVE, 5742905]
[paragraph, [34.0, 452.0, 391.0, 18.0], shoonya_0sSIGFQKHB4ZVE, 5742905]
