[595, 454]
[chapter-title, [32.0, 54.0, 272.0, 30.0], 1EksT4Bl3I, 6460000]
[paragraph, [35.0, 122.0, 387.0, 18.0], shoonya_0s2GSFL19YCSCE, 6460000]
[paragraph, [35.0, 140.0, 387.0, 18.0], shoonya_0s2GSFL19YCSCE, 6460000]
[paragraph, [35.0, 158.0, 387.0, 18.0], shoonya_0s2GSFL19YCSCE, 6460000]
[paragraph, [36.0, 189.0, 390.0, 18.0], shoonya_3sCY4BVD28TWV5, 6460000]
[paragraph, [36.0, 207.0, 390.0, 18.0], shoonya_3sCY4BVD28TWV5, 6460000]
[paragraph, [37.0, 237.0, 386.0, 18.0], shoonya_2sXA6CWW518D46, 6460000]
[paragraph, [37.0, 255.0, 386.0, 18.0], shoonya_2sXA6CWW518D46, 6460000]
[paragraph, [37.0, 273.0, 386.0, 18.0], shoonya_2sXA6CWW518D46, 6460000]
[paragraph, [37.0, 291.0, 386.0, 18.0], shoonya_2sXA6CWW518D46, 6460000]
[paragraph, [37.0, 315.0, 164.0, 18.0], shoonya_1sJ33K9PINYT1F, 6460000]
[paragraph, [37.0, 333.0, 164.0, 18.0], shoonya_1sJ33K9PINYT1F, 6460000]
[paragraph, [37.0, 351.0, 164.0, 18.0], shoonya_1sJ33K9PINYT1F, 6460000]
[paragraph, [37.0, 369.0, 164.0, 18.0], shoonya_1sJ33K9PINYT1F, 6460000]
[paragraph, [37.0, 387.0, 164.0, 18.0], shoonya_1sJ33K9PINYT1F, 6460000]
