[2200, 1700]
[folio, [785.0, 398.0, 144.0, 36.0], Ol4Dw-Naqb, 5732144]
[paragraph, [468.0, 487.0, 784.0, 36.0], shoonya_2s17EOGS0I467M, 5732144]
[paragraph, [468.0, 523.0, 784.0, 36.0], shoonya_2s17EOGS0I467M, 5732144]
[paragraph, [468.0, 559.0, 784.0, 36.0], shoonya_2s17EOGS0I467M, 5732144]
[paragraph, [468.0, 595.0, 784.0, 36.0], shoonya_2s17EOGS0I467M, 5732144]
[paragraph, [468.0, 631.0, 784.0, 36.0], shoonya_2s17EOGS0I467M, 5732144]
[paragraph, [468.0, 667.0, 784.0, 36.0], shoonya_2s17EOGS0I467M, 5732144]
[paragraph, [468.0, 703.0, 784.0, 36.0], shoonya_2s17EOGS0I467M, 5732144]
[paragraph, [468.0, 739.0, 784.0, 36.0], shoonya_2s17EOGS0I467M, 5732144]
[paragraph, [468.0, 775.0, 784.0, 36.0], shoonya_2s17EOGS0I467M, 5732144]
[paragraph, [468.0, 811.0, 784.0, 36.0], shoonya_2s17EOGS0I467M, 5732144]
[section-title, [777.0, 1031.0, 170.0, 52.5], shoonya_3s423CRXE8OW3D, 5732144]
[paragraph, [476.0, 1158.0, 776.0, 36.0], shoonya_0sF9CQBEQKEE10, 5732144]
[paragraph, [476.0, 1194.0, 776.0, 36.0], shoonya_0sF9CQBEQKEE10, 5732144]
[paragraph, [476.0, 1230.0, 776.0, 36.0], shoonya_0sF9CQBEQKEE10, 5732144]
[paragraph, [476.0, 1266.0, 776.0, 36.0], shoonya_0sF9CQBEQKEE10, 5732144]
[paragraph, [476.0, 1302.0, 776.0, 36.0], shoonya_0sF9CQBEQKEE10, 5732144]
[paragraph, [476.0, 1338.0, 776.0, 36.0], shoonya_0sF9CQBEQKEE10, 5732144]
[paragraph, [476.0, 1374.0, 776.0, 36.0], shoonya_0sF9CQBEQKEE10, 5732144]
[paragraph, [476.0, 1410.0, 776.0, 36.0], shoonya_0sF9CQBEQKEE10, 5732144]
[paragraph, [476.0, 1446.0, 776.0, 36.0], shoonya_0sF9CQBEQKEE10, 5732144]
[paragraph, [476.0, 1482.0, 776.0, 36.0], shoonya_0sF9CQBEQKEE10, 5732144]
[paragraph, [476.0, 1518.0, 776.0, 36.0], shoonya_0sF9CQBEQKEE10, 5732144]
[paragraph, [476.0, 1554.0, 776.0, 36.0], shoonya_0sF9CQBEQKEE10, 5732144]
[paragraph, [476.0, 1590.0, 776.0, 36.0], shoonya_0sF9CQBEQKEE10, 5732144]
[paragraph, [482.0, 1640.0, 766.0, 36.0], shoonya_1s3AEB0MKJS6NL, 5732144]
[paragraph, [482.0, 1676.0, 766.0, 36.0], shoonya_1s3AEB0MKJS6NL, 5732144]
[paragraph, [482.0, 1712.0, 766.0, 36.0], shoonya_1s3AEB0MKJS6NL, 5732144]
[footnote, [1305.0, 2038.0, 220.0, 36.0], nWBWDxyOXF, 5732144]
[footnote, [1305.0, 2074.0, 220.0, 36.0], nWBWDxyOXF, 5732144]
[folio, [802.0, 2096.0, 188.0, 36.0], 2Rjxy-r7zJ, 5732144]
