[1447, 1063]
[folio, [422.0, 49.0, 241.0, 18.0], lEcpj-gkZa, 5762496]
[folio, [422.0, 67.0, 241.0, 18.0], lEcpj-gkZa, 5762496]
[headline, [155.0, 96.0, 751.0, 25.5], shoonya_1sIAN5H0MBXJIX, 5762496]
[headline, [155.0, 121.5, 751.0, 25.5], shoonya_1sIAN5H0MBXJIX, 5762496]
[headline, [155.0, 147.0, 751.0, 25.5], shoonya_1sIAN5H0MBXJIX, 5762496]
[headline, [155.0, 172.5, 751.0, 25.5], shoonya_1sIAN5H0MBXJIX, 5762496]
[headline, [155.0, 198.0, 751.0, 25.5], shoonya_1sIAN5H0MBXJIX, 5762496]
[paragraph, [528.0, 248.0, 446.0, 18.0], shoonya_5sWEXO0XY518I8, 5762496]
[paragraph, [528.0, 266.0, 446.0, 18.0], shoonya_5sWEXO0XY518I8, 5762496]
[paragraph, [528.0, 284.0, 446.0, 18.0], shoonya_5sWEXO0XY518I8, 5762496]
[paragraph, [528.0, 302.0, 446.0, 18.0], shoonya_5sWEXO0XY518I8, 5762496]
[paragraph, [528.0, 320.0, 446.0, 18.0], shoonya_5sWEXO0XY518I8, 5762496]
[paragraph, [528.0, 338.0, 446.0, 18.0], shoonya_5sWEXO0XY518I8, 5762496]
[paragraph, [528.0, 356.0, 446.0, 18.0], shoonya_5sWEXO0XY518I8, 5762496]
[paragraph, [528.0, 374.0, 446.0, 18.0], shoonya_5sWEXO0XY518I8, 5762496]
[paragraph, [528.0, 392.0, 446.0, 18.0], shoonya_5sWEXO0XY518I8, 5762496]
[paragraph, [528.0, 410.0, 446.0, 18.0], shoonya_5sWEXO0XY518I8, 5762496]
[paragraph, [528.0, 428.0, 446.0, 18.0], shoonya_5sWEXO0XY518I8, 5762496]
[paragraph, [528.0, 446.0, 446.0, 18.0], shoonya_5sWEXO0XY518I8, 5762496]
[paragraph, [528.0, 464.0, 446.0, 18.0], shoonya_5sWEXO0XY518I8, 5762496]
[paragraph, [92.0, 250.0, 434.0, 18.0], zlmfQOupch, 5762496]
[paragraph, [92.0, 268.0, 434.0, 18.0], zlmfQOupch, 5762496]
[paragraph, [92.0, 286.0, 434.0, 18.0], zlmfQOupch, 5762496]
[paragraph, [92.0, 304.0, 434.0, 18.0], zlmfQOupch, 5762496]
[paragraph, [92.0, 322.0, 434.0, 18.0], zlmfQOupch, 5762496]
[paragraph, [92.0, 340.0, 434.0, 18.0], zlmfQOupch, 5762496]
[paragraph, [93.0, 370.0, 432.0, 18.0], shoonya_4sW6ASWJW70581, 5762496]
[paragraph, [93.0, 388.0, 432.0, 18.0], shoonya_4sW6ASWJW70581, 5762496]
[paragraph, [93.0, 406.0, 432.0, 18.0], shoonya_4sW6ASWJW70581, 5762496]
[paragraph, [93.0, 424.0, 432.0, 18.0], shoonya_4sW6ASWJW70581, 5762496]
[paragraph, [93.0, 442.0, 432.0, 18.0], shoonya_4sW6ASWJW70581, 5762496]
[paragraph, [93.0, 460.0, 432.0, 18.0], shoonya_4sW6ASWJW70581, 5762496]
[paragraph, [93.0, 478.0, 432.0, 18.0], shoonya_4sW6ASWJW70581, 5762496]
