[3300, 2550]
[paragraph, [290.0, 291.0, 276.0, 52.5], shoonya_1s94ZZ1ZVVJ7CC, 5720247]
[paragraph, [280.0, 395.0, 2008.0, 52.5], eC2eou0CIP, 5720247]
[paragraph, [280.0, 447.5, 2008.0, 52.5], eC2eou0CIP, 5720247]
[paragraph, [280.0, 500.0, 2008.0, 52.5], eC2eou0CIP, 5720247]
[paragraph, [280.0, 552.5, 2008.0, 52.5], eC2eou0CIP, 5720247]
[paragraph, [280.0, 605.0, 2008.0, 52.5], eC2eou0CIP, 5720247]
[paragraph, [280.0, 657.5, 2008.0, 52.5], eC2eou0CIP, 5720247]
[paragraph, [280.0, 710.0, 2008.0, 52.5], eC2eou0CIP, 5720247]
[paragraph, [280.0, 762.5, 2008.0, 52.5], eC2eou0CIP, 5720247]
[paragraph, [280.0, 815.0, 2008.0, 52.5], eC2eou0CIP, 5720247]
[paragraph, [280.0, 867.5, 2008.0, 52.5], eC2eou0CIP, 5720247]
[paragraph, [280.0, 920.0, 2008.0, 52.5], eC2eou0CIP, 5720247]
[paragraph, [280.0, 972.5, 2008.0, 52.5], eC2eou0CIP, 5720247]
[paragraph, [280.0, 1025.0, 2008.0, 52.5], eC2eou0CIP, 5720247]
[paragraph, [280.0, 1077.5, 2008.0, 52.5], eC2eou0CIP, 5720247]
[paragraph, [280.0, 1130.0, 2008.0, 52.5], eC2eou0CIP, 5720247]
[paragraph, [280.0, 1182.5, 2008.0, 52.5], eC2eou0CIP, 5720247]
[paragraph, [280.0, 1235.0, 2008.0, 52.5], eC2eou0CIP, 5720247]
[paragraph, [280.0, 1287.5, 2008.0, 52.5], eC2eou0CIP, 5720247]
[paragraph, [280.0, 1340.0, 2008.0, 52.5], eC2eou0CIP, 5720247]
[paragraph, [280.0, 1392.5, 2008.0, 52.5], eC2eou0CIP, 5720247]
[paragraph, [280.0, 1445.0, 2008.0, 52.5], eC2eou0CIP, 5720247]
[paragraph, [280.0, 1497.5, 2008.0, 52.5], eC2eou0CIP, 5720247]
[paragraph, [280.0, 1550.0, 2008.0, 52.5], eC2eou0CIP, 5720247]
[paragraph, [280.0, 1602.5, 2008.0, 52.5], eC2eou0CIP, 5720247]
[paragraph, [280.0, 1655.0, 2008.0, 52.5], eC2eou0CIP, 5720247]
[paragraph, [280.0, 1707.5, 2008.0, 52.5], eC2eou0CIP, 5720247]
[paragraph, [280.0, 1760.0, 2008.0, 52.5], eC2eou0CIP, 5720247]
[paragraph, [280.0, 1812.5, 2008.0, 52.5], eC2eou0CIP, 5720247]
[paragraph, [280.0, 1865.0, 2008.0, 52.5], eC2eou0CIP, 5720247]
[paragraph, [280.0, 1917.5, 2008.0, 52.5], eC2eou0CIP, 5720247]
[paragraph, [270.0, 2011.0, 2004.0, 52.5], OF3ktutRQi, 5720247]
[paragraph, [270.0, 2063.5, 2004.0, 52.5], OF3ktutRQi, 5720247]
[paragraph, [270.0, 2116.0, 2004.0, 52.5], OF3ktutRQi, 5720247]
[paragraph, [270.0, 2168.5, 2004.0, 52.5], OF3ktutRQi, 5720247]
[paragraph, [270.0, 2221.0, 2004.0, 52.5], OF3ktutRQi, 5720247]
[paragraph, [270.0, 2273.5, 2004.0, 52.5], OF3ktutRQi, 5720247]
[paragraph, [270.0, 2326.0, 2004.0, 52.5], OF3ktutRQi, 5720247]
[paragraph, [270.0, 2378.5, 2004.0, 52.5], OF3ktutRQi, 5720247]
[paragraph, [270.0, 2431.0, 2004.0, 52.5], OF3ktutRQi, 5720247]
[paragraph, [270.0, 2483.5, 2004.0, 52.5], OF3ktutRQi, 5720247]
[paragraph, [270.0, 2536.0, 2004.0, 52.5], OF3ktutRQi, 5720247]
[paragraph, [270.0, 2588.5, 2004.0, 52.5], OF3ktutRQi, 5720247]
[paragraph, [270.0, 2641.0, 2004.0, 52.5], OF3ktutRQi, 5720247]
[paragraph, [270.0, 2693.5, 2004.0, 52.5], OF3ktutRQi, 5720247]
[paragraph, [270.0, 2746.0, 2004.0, 52.5], OF3ktutRQi, 5720247]
[paragraph, [270.0, 2798.5, 2004.0, 52.5], OF3ktutRQi, 5720247]
[paragraph, [270.0, 2851.0, 2004.0, 52.5], OF3ktutRQi, 5720247]
