[2428, 1814]
[paragraph, [126.0, 162.0, 710.0, 36.0], shoonya_16sQCR7YHVVO04, 5694498]
[paragraph, [126.0, 198.0, 710.0, 36.0], shoonya_16sQCR7YHVVO04, 5694498]
[paragraph, [126.0, 234.0, 710.0, 36.0], shoonya_16sQCR7YHVVO04, 5694498]
[paragraph, [864.0, 162.0, 707.0, 36.0], shoonya_9sJOCZMCNNTVN2, 5694498]
[paragraph, [864.0, 198.0, 707.0, 36.0], shoonya_9sJOCZMCNNTVN2, 5694498]
[paragraph, [864.0, 234.0, 707.0, 36.0], shoonya_9sJOCZMCNNTVN2, 5694498]
[paragraph, [864.0, 270.0, 707.0, 36.0], shoonya_9sJOCZMCNNTVN2, 5694498]
[paragraph, [131.0, 281.0, 702.0, 36.0], shoonya_24sN3S4W5JLLOD, 5694498]
[paragraph, [131.0, 317.0, 702.0, 36.0], shoonya_24sN3S4W5JLLOD, 5694498]
[paragraph, [867.0, 319.0, 705.0, 36.0], shoonya_11s1E41OG8W3YY, 5694498]
[paragraph, [867.0, 355.0, 705.0, 36.0], shoonya_11s1E41OG8W3YY, 5694498]
[paragraph, [867.0, 391.0, 705.0, 36.0], shoonya_11s1E41OG8W3YY, 5694498]
[paragraph, [867.0, 427.0, 705.0, 36.0], shoonya_11s1E41OG8W3YY, 5694498]
[paragraph, [867.0, 463.0, 705.0, 36.0], shoonya_11s1E41OG8W3YY, 5694498]
[paragraph, [130.0, 356.0, 704.0, 36.0], shoonya_21sQUEVANQNUHN, 5694498]
[paragraph, [130.0, 392.0, 704.0, 36.0], shoonya_21sQUEVANQNUHN, 5694498]
[paragraph, [130.0, 428.0, 704.0, 36.0], shoonya_21sQUEVANQNUHN, 5694498]
[paragraph, [130.0, 464.0, 704.0, 36.0], shoonya_21sQUEVANQNUHN, 5694498]
[paragraph, [862.0, 509.0, 708.0, 36.0], shoonya_7s5GTS8C0JH6YV, 5694498]
[paragraph, [862.0, 545.0, 708.0, 36.0], shoonya_7s5GTS8C0JH6YV, 5694498]
[paragraph, [862.0, 581.0, 708.0, 36.0], shoonya_7s5GTS8C0JH6YV, 5694498]
[paragraph, [862.0, 617.0, 708.0, 36.0], shoonya_7s5GTS8C0JH6YV, 5694498]
[paragraph, [862.0, 653.0, 708.0, 36.0], shoonya_7s5GTS8C0JH6YV, 5694498]
[paragraph, [862.0, 689.0, 708.0, 36.0], shoonya_7s5GTS8C0JH6YV, 5694498]
[paragraph, [862.0, 725.0, 708.0, 36.0], shoonya_7s5GTS8C0JH6YV, 5694498]
[paragraph, [130.0, 511.0, 705.0, 36.0], shoonya_17s9CLNOWH7QXQ, 5694498]
[paragraph, [130.0, 547.0, 705.0, 36.0], shoonya_17s9CLNOWH7QXQ, 5694498]
[paragraph, [130.0, 583.0, 705.0, 36.0], shoonya_17s9CLNOWH7QXQ, 5694498]
[paragraph, [132.0, 626.0, 703.0, 36.0], shoonya_23sWXJ4WXKOOS1, 5694498]
[paragraph, [132.0, 662.0, 703.0, 36.0], shoonya_23sWXJ4WXKOOS1, 5694498]
[paragraph, [129.0, 704.0, 705.0, 36.0], shoonya_20sY1TZF7KCRLC, 5694498]
[paragraph, [129.0, 740.0, 705.0, 36.0], shoonya_20sY1TZF7KCRLC, 5694498]
[paragraph, [863.0, 778.0, 708.0, 36.0], shoonya_1s9SJ0NQ8V28FO, 5694498]
[paragraph, [863.0, 814.0, 708.0, 36.0], shoonya_1s9SJ0NQ8V28FO, 5694498]
[paragraph, [863.0, 850.0, 708.0, 36.0], shoonya_1s9SJ0NQ8V28FO, 5694498]
[paragraph, [863.0, 886.0, 708.0, 36.0], shoonya_1s9SJ0NQ8V28FO, 5694498]
[paragraph, [863.0, 922.0, 708.0, 36.0], shoonya_1s9SJ0NQ8V28FO, 5694498]
[paragraph, [863.0, 958.0, 708.0, 36.0], shoonya_1s9SJ0NQ8V28FO, 5694498]
[paragraph, [863.0, 994.0, 708.0, 36.0], shoonya_1s9SJ0NQ8V28FO, 5694498]
[paragraph, [863.0, 1030.0, 708.0, 36.0], shoonya_1s9SJ0NQ8V28FO, 5694498]
[paragraph, [129.0, 779.0, 704.0, 36.0], shoonya_14sNNNYPC6XB25, 5694498]
[paragraph, [129.0, 815.0, 704.0, 36.0], shoonya_14sNNNYPC6XB25, 5694498]
[paragraph, [129.0, 851.0, 704.0, 36.0], shoonya_14sNNNYPC6XB25, 5694498]
[paragraph, [128.0, 891.0, 707.0, 36.0], shoonya_10sQIZOQI7U3G1, 5694498]
[paragraph, [128.0, 927.0, 707.0, 36.0], shoonya_10sQIZOQI7U3G1, 5694498]
[paragraph, [128.0, 963.0, 707.0, 36.0], shoonya_10sQIZOQI7U3G1, 5694498]
[paragraph, [128.0, 999.0, 707.0, 36.0], shoonya_10sQIZOQI7U3G1, 5694498]
[paragraph, [130.0, 1047.0, 705.0, 36.0], shoonya_12sUDDN478VEI5, 5694498]
[paragraph, [130.0, 1083.0, 705.0, 36.0], shoonya_12sUDDN478VEI5, 5694498]
[paragraph, [863.0, 1085.0, 704.0, 36.0], shoonya_5s08RXQQJ40ZVV, 5694498]
[paragraph, [863.0, 1121.0, 704.0, 36.0], shoonya_5s08RXQQJ40ZVV, 5694498]
[paragraph, [863.0, 1157.0, 704.0, 36.0], shoonya_5s08RXQQJ40ZVV, 5694498]
[paragraph, [863.0, 1193.0, 704.0, 36.0], shoonya_5s08RXQQJ40ZVV, 5694498]
[paragraph, [863.0, 1229.0, 704.0, 36.0], shoonya_5s08RXQQJ40ZVV, 5694498]
[paragraph, [863.0, 1265.0, 704.0, 36.0], shoonya_5s08RXQQJ40ZVV, 5694498]
[paragraph, [863.0, 1301.0, 704.0, 36.0], shoonya_5s08RXQQJ40ZVV, 5694498]
[paragraph, [863.0, 1337.0, 704.0, 36.0], shoonya_5s08RXQQJ40ZVV, 5694498]
[paragraph, [126.0, 1127.0, 708.0, 36.0], shoonya_6sFUN6JD4E13KP, 5694498]
[paragraph, [126.0, 1163.0, 708.0, 36.0], shoonya_6sFUN6JD4E13KP, 5694498]
[paragraph, [126.0, 1199.0, 708.0, 36.0], shoonya_6sFUN6JD4E13KP, 5694498]
[paragraph, [126.0, 1235.0, 708.0, 36.0], shoonya_6sFUN6JD4E13KP, 5694498]
[paragraph, [126.0, 1271.0, 708.0, 36.0], shoonya_6sFUN6JD4E13KP, 5694498]
[paragraph, [126.0, 1307.0, 708.0, 36.0], shoonya_6sFUN6JD4E13KP, 5694498]
[paragraph, [126.0, 1343.0, 708.0, 36.0], shoonya_6sFUN6JD4E13KP, 5694498]
[paragraph, [864.0, 1392.0, 707.0, 36.0], shoonya_2s701LBIVXJP35, 5694498]
[paragraph, [864.0, 1428.0, 707.0, 36.0], shoonya_2s701LBIVXJP35, 5694498]
[paragraph, [864.0, 1464.0, 707.0, 36.0], shoonya_2s701LBIVXJP35, 5694498]
[paragraph, [864.0, 1500.0, 707.0, 36.0], shoonya_2s701LBIVXJP35, 5694498]
[paragraph, [864.0, 1536.0, 707.0, 36.0], shoonya_2s701LBIVXJP35, 5694498]
[paragraph, [864.0, 1572.0, 707.0, 36.0], shoonya_2s701LBIVXJP35, 5694498]
[paragraph, [129.0, 1393.0, 704.0, 36.0], shoonya_19sS7VA2AHR0E1, 5694498]
[paragraph, [129.0, 1429.0, 704.0, 36.0], shoonya_19sS7VA2AHR0E1, 5694498]
[paragraph, [129.0, 1465.0, 704.0, 36.0], shoonya_19sS7VA2AHR0E1, 5694498]
