[1755, 1240]
[paragraph, [173.0, 194.0, 434.0, 36.0], shoonya_2sHUOAWNUL32XC, 6473833]
[paragraph, [173.0, 230.0, 434.0, 36.0], shoonya_2sHUOAWNUL32XC, 6473833]
[paragraph, [173.0, 266.0, 434.0, 36.0], shoonya_2sHUOAWNUL32XC, 6473833]
[paragraph, [173.0, 302.0, 434.0, 36.0], shoonya_2sHUOAWNUL32XC, 6473833]
[paragraph, [173.0, 338.0, 434.0, 36.0], shoonya_2sHUOAWNUL32XC, 6473833]
[paragraph, [173.0, 374.0, 434.0, 36.0], shoonya_2sHUOAWNUL32XC, 6473833]
[paragraph, [173.0, 410.0, 434.0, 36.0], shoonya_2sHUOAWNUL32XC, 6473833]
[paragraph, [173.0, 446.0, 434.0, 36.0], shoonya_2sHUOAWNUL32XC, 6473833]
[paragraph, [173.0, 482.0, 434.0, 36.0], shoonya_2sHUOAWNUL32XC, 6473833]
[paragraph, [635.0, 457.0, 440.0, 36.0], shoonya_4sBOW4610Z9B3K, 6473833]
[paragraph, [635.0, 493.0, 440.0, 36.0], shoonya_4sBOW4610Z9B3K, 6473833]
[paragraph, [635.0, 529.0, 440.0, 36.0], shoonya_4sBOW4610Z9B3K, 6473833]
[paragraph, [635.0, 565.0, 440.0, 36.0], shoonya_4sBOW4610Z9B3K, 6473833]
[paragraph, [635.0, 601.0, 440.0, 36.0], shoonya_4sBOW4610Z9B3K, 6473833]
[section-title, [174.0, 553.0, 434.0, 49.5], shoonya_7sYEYGE053JQUX, 6473833]
[paragraph, [172.0, 640.0, 436.0, 36.0], shoonya_1s70GWQ54V0047, 6473833]
[paragraph, [172.0, 676.0, 436.0, 36.0], shoonya_1s70GWQ54V0047, 6473833]
[paragraph, [172.0, 712.0, 436.0, 36.0], shoonya_1s70GWQ54V0047, 6473833]
[paragraph, [172.0, 748.0, 436.0, 36.0], shoonya_1s70GWQ54V0047, 6473833]
[paragraph, [172.0, 784.0, 436.0, 36.0], shoonya_1s70GWQ54V0047, 6473833]
[paragraph, [172.0, 820.0, 436.0, 36.0], shoonya_1s70GWQ54V0047, 6473833]
[paragraph, [172.0, 856.0, 436.0, 36.0], shoonya_1s70GWQ54V0047, 6473833]
[paragraph, [172.0, 892.0, 436.0, 36.0], shoonya_1s70GWQ54V0047, 6473833]
[paragraph, [172.0, 928.0, 436.0, 36.0], shoonya_1s70GWQ54V0047, 6473833]
[paragraph, [172.0, 964.0, 436.0, 36.0], shoonya_1s70GWQ54V0047, 6473833]
[paragraph, [172.0, 1000.0, 436.0, 36.0], shoonya_1s70GWQ54V0047, 6473833]
[paragraph, [172.0, 1036.0, 436.0, 36.0], shoonya_1s70GWQ54V0047, 6473833]
[paragraph, [172.0, 1072.0, 436.0, 36.0], shoonya_1s70GWQ54V0047, 6473833]
[paragraph, [172.0, 1108.0, 436.0, 36.0], shoonya_1s70GWQ54V0047, 6473833]
[paragraph, [635.0, 657.0, 437.0, 36.0], shoonya_6sN2YCFF27VIHX, 6473833]
[paragraph, [635.0, 693.0, 437.0, 36.0], shoonya_6sN2YCFF27VIHX, 6473833]
[paragraph, [635.0, 729.0, 437.0, 36.0], shoonya_6sN2YCFF27VIHX, 6473833]
[paragraph, [635.0, 765.0, 437.0, 36.0], shoonya_6sN2YCFF27VIHX, 6473833]
[paragraph, [635.0, 801.0, 437.0, 36.0], shoonya_6sN2YCFF27VIHX, 6473833]
[paragraph, [635.0, 837.0, 437.0, 36.0], shoonya_6sN2YCFF27VIHX, 6473833]
[section-title, [630.0, 887.0, 438.0, 49.5], SNcceXWoZX, 6473833]
[paragraph, [630.0, 979.0, 441.0, 36.0], shoonya_5sD7LAN6H9P0T3, 6473833]
[paragraph, [630.0, 1015.0, 441.0, 36.0], shoonya_5sD7LAN6H9P0T3, 6473833]
[paragraph, [630.0, 1051.0, 441.0, 36.0], shoonya_5sD7LAN6H9P0T3, 6473833]
[paragraph, [630.0, 1087.0, 441.0, 36.0], shoonya_5sD7LAN6H9P0T3, 6473833]
[paragraph, [630.0, 1123.0, 441.0, 36.0], shoonya_5sD7LAN6H9P0T3, 6473833]
