[2143, 1435]
[paragraph, [127.0, 213.0, 999.0, 36.0], -e4KjVMz1q, 5684020]
[paragraph, [229.0, 275.0, 729.0, 36.0], jJdwB5OCaD, 5684020]
[paragraph, [392.0, 320.0, 487.0, 36.0], NtmdAAKQUx, 5684020]
[paragraph, [392.0, 356.0, 487.0, 36.0], NtmdAAKQUx, 5684020]
[paragraph, [392.0, 392.0, 487.0, 36.0], NtmdAAKQUx, 5684020]
[paragraph, [392.0, 428.0, 487.0, 36.0], NtmdAAKQUx, 5684020]
[paragraph, [392.0, 464.0, 487.0, 36.0], NtmdAAKQUx, 5684020]
[paragraph, [240.0, 517.0, 795.0, 36.0], XPr2rDovs-, 5684020]
[paragraph, [386.0, 573.0, 496.0, 36.0], V0kNygGu9Q, 5684020]
[paragraph, [386.0, 609.0, 496.0, 36.0], V0kNygGu9Q, 5684020]
[paragraph, [125.0, 673.0, 1191.0, 36.0], shoonya_3s16F1HSTTHQH4, 5684020]
[paragraph, [125.0, 709.0, 1191.0, 36.0], shoonya_3s16F1HSTTHQH4, 5684020]
[paragraph, [125.0, 777.0, 1190.0, 36.0], shoonya_0sLGUW4WUK80V7, 5684020]
[paragraph, [125.0, 813.0, 1190.0, 36.0], shoonya_0sLGUW4WUK80V7, 5684020]
[paragraph, [125.0, 849.0, 1190.0, 36.0], shoonya_0sLGUW4WUK80V7, 5684020]
[paragraph, [125.0, 885.0, 1190.0, 36.0], shoonya_0sLGUW4WUK80V7, 5684020]
[paragraph, [125.0, 921.0, 1190.0, 36.0], shoonya_0sLGUW4WUK80V7, 5684020]
[paragraph, [126.0, 975.0, 1193.0, 36.0], shoonya_1s93G4KF99K7HE, 5684020]
[paragraph, [126.0, 1011.0, 1193.0, 36.0], shoonya_1s93G4KF99K7HE, 5684020]
[paragraph, [126.0, 1047.0, 1193.0, 36.0], shoonya_1s93G4KF99K7HE, 5684020]
[paragraph, [126.0, 1083.0, 1193.0, 36.0], shoonya_1s93G4KF99K7HE, 5684020]
[paragraph, [126.0, 1119.0, 1193.0, 36.0], shoonya_1s93G4KF99K7HE, 5684020]
[paragraph, [126.0, 1155.0, 1193.0, 36.0], shoonya_1s93G4KF99K7HE, 5684020]
[paragraph, [126.0, 1191.0, 1193.0, 36.0], shoonya_1s93G4KF99K7HE, 5684020]
[paragraph, [126.0, 1227.0, 1193.0, 36.0], shoonya_1s93G4KF99K7HE, 5684020]
[paragraph, [126.0, 1263.0, 1193.0, 36.0], shoonya_1s93G4KF99K7HE, 5684020]
[paragraph, [126.0, 1299.0, 1193.0, 36.0], shoonya_1s93G4KF99K7HE, 5684020]
[paragraph, [126.0, 1335.0, 1193.0, 36.0], shoonya_1s93G4KF99K7HE, 5684020]
[paragraph, [126.0, 1371.0, 1193.0, 36.0], shoonya_1s93G4KF99K7HE, 5684020]
[paragraph, [126.0, 1407.0, 1193.0, 36.0], shoonya_1s93G4KF99K7HE, 5684020]
[paragraph, [126.0, 1443.0, 1193.0, 36.0], shoonya_1s93G4KF99K7HE, 5684020]
[paragraph, [118.0, 1487.0, 1198.0, 36.0], KugWlEbo9c, 5684020]
[paragraph, [118.0, 1523.0, 1198.0, 36.0], KugWlEbo9c, 5684020]
[paragraph, [118.0, 1559.0, 1198.0, 36.0], KugWlEbo9c, 5684020]
[paragraph, [118.0, 1595.0, 1198.0, 36.0], KugWlEbo9c, 5684020]
[paragraph, [118.0, 1631.0, 1198.0, 36.0], KugWlEbo9c, 5684020]
[paragraph, [118.0, 1667.0, 1198.0, 36.0], KugWlEbo9c, 5684020]
[paragraph, [118.0, 1703.0, 1198.0, 36.0], KugWlEbo9c, 5684020]
[paragraph, [118.0, 1739.0, 1198.0, 36.0], KugWlEbo9c, 5684020]
[paragraph, [118.0, 1775.0, 1198.0, 36.0], KugWlEbo9c, 5684020]
[paragraph, [118.0, 1811.0, 1198.0, 36.0], KugWlEbo9c, 5684020]
[paragraph, [118.0, 1847.0, 1198.0, 36.0], KugWlEbo9c, 5684020]
[paragraph, [234.0, 1883.0, 1082.0, 36.0], rL3kS1C8wD, 5684020]
[folio, [892.0, 2053.0, 462.0, 36.0], RPHEzKOQOO, 5684020]
