[1200, 825]
[paragraph, [143.0, 108.0, 539.0, 18.0], shoonya_2sHYZQ0KIW5PX0, 5691224]
[paragraph, [143.0, 126.0, 539.0, 18.0], shoonya_2sHYZQ0KIW5PX0, 5691224]
[paragraph, [143.0, 144.0, 539.0, 18.0], shoonya_2sHYZQ0KIW5PX0, 5691224]
[paragraph, [143.0, 162.0, 539.0, 18.0], shoonya_2sHYZQ0KIW5PX0, 5691224]
[paragraph, [143.0, 180.0, 539.0, 18.0], shoonya_2sHYZQ0KIW5PX0, 5691224]
[paragraph, [143.0, 198.0, 539.0, 18.0], shoonya_2sHYZQ0KIW5PX0, 5691224]
[paragraph, [143.0, 216.0, 539.0, 18.0], shoonya_2sHYZQ0KIW5PX0, 5691224]
[paragraph, [143.0, 234.0, 539.0, 18.0], shoonya_2sHYZQ0KIW5PX0, 5691224]
[paragraph, [143.0, 252.0, 539.0, 18.0], shoonya_2sHYZQ0KIW5PX0, 5691224]
[paragraph, [143.0, 270.0, 539.0, 18.0], shoonya_2sHYZQ0KIW5PX0, 5691224]
[paragraph, [143.0, 288.0, 539.0, 18.0], shoonya_2sHYZQ0KIW5PX0, 5691224]
[paragraph, [145.0, 319.0, 538.0, 18.0], shoonya_0s8KBD531QJVCE, 5691224]
[paragraph, [145.0, 337.0, 538.0, 18.0], shoonya_0s8KBD531QJVCE, 5691224]
[paragraph, [145.0, 355.0, 538.0, 18.0], shoonya_0s8KBD531QJVCE, 5691224]
[paragraph, [145.0, 373.0, 538.0, 18.0], shoonya_0s8KBD531QJVCE, 5691224]
[paragraph, [145.0, 391.0, 538.0, 18.0], shoonya_0s8KBD531QJVCE, 5691224]
[paragraph, [145.0, 409.0, 538.0, 18.0], shoonya_0s8KBD531QJVCE, 5691224]
[paragraph, [145.0, 427.0, 538.0, 18.0], shoonya_0s8KBD531QJVCE, 5691224]
[paragraph, [145.0, 445.0, 538.0, 18.0], shoonya_0s8KBD531QJVCE, 5691224]
[paragraph, [145.0, 463.0, 538.0, 18.0], shoonya_0s8KBD531QJVCE, 5691224]
[paragraph, [145.0, 481.0, 538.0, 18.0], shoonya_0s8KBD531QJVCE, 5691224]
[paragraph, [145.0, 499.0, 538.0, 18.0], shoonya_0s8KBD531QJVCE, 5691224]
[paragraph, [145.0, 517.0, 538.0, 18.0], shoonya_0s8KBD531QJVCE, 5691224]
[paragraph, [145.0, 535.0, 538.0, 18.0], shoonya_0s8KBD531QJVCE, 5691224]
[paragraph, [145.0, 553.0, 538.0, 18.0], shoonya_0s8KBD531QJVCE, 5691224]
[paragraph, [145.0, 571.0, 538.0, 18.0], shoonya_0s8KBD531QJVCE, 5691224]
[paragraph, [145.0, 589.0, 538.0, 18.0], shoonya_0s8KBD531QJVCE, 5691224]
[paragraph, [145.0, 607.0, 538.0, 18.0], shoonya_0s8KBD531QJVCE, 5691224]
[paragraph, [145.0, 625.0, 538.0, 18.0], shoonya_0s8KBD531QJVCE, 5691224]
[paragraph, [145.0, 643.0, 538.0, 18.0], shoonya_0s8KBD531QJVCE, 5691224]
[paragraph, [145.0, 661.0, 538.0, 18.0], shoonya_0s8KBD531QJVCE, 5691224]
[paragraph, [145.0, 679.0, 538.0, 18.0], shoonya_0s8KBD531QJVCE, 5691224]
[paragraph, [145.0, 697.0, 538.0, 18.0], shoonya_0s8KBD531QJVCE, 5691224]
[paragraph, [145.0, 717.0, 535.0, 18.0], shoonya_1sD5LYXFX225BJ, 5691224]
[paragraph, [145.0, 735.0, 535.0, 18.0], shoonya_1sD5LYXFX225BJ, 5691224]
[paragraph, [145.0, 753.0, 535.0, 18.0], shoonya_1sD5LYXFX225BJ, 5691224]
[paragraph, [145.0, 771.0, 535.0, 18.0], shoonya_1sD5LYXFX225BJ, 5691224]
[paragraph, [145.0, 789.0, 535.0, 18.0], shoonya_1sD5LYXFX225BJ, 5691224]
[paragraph, [145.0, 807.0, 535.0, 18.0], shoonya_1sD5LYXFX225BJ, 5691224]
[paragraph, [145.0, 825.0, 535.0, 18.0], shoonya_1sD5LYXFX225BJ, 5691224]
[paragraph, [145.0, 843.0, 535.0, 18.0], shoonya_1sD5LYXFX225BJ, 5691224]
[paragraph, [145.0, 861.0, 535.0, 18.0], shoonya_1sD5LYXFX225BJ, 5691224]
[paragraph, [145.0, 879.0, 535.0, 18.0], shoonya_1sD5LYXFX225BJ, 5691224]
[paragraph, [145.0, 897.0, 535.0, 18.0], shoonya_1sD5LYXFX225BJ, 5691224]
[paragraph, [145.0, 915.0, 535.0, 18.0], shoonya_1sD5LYXFX225BJ, 5691224]
[paragraph, [145.0, 933.0, 535.0, 18.0], shoonya_1sD5LYXFX225BJ, 5691224]
