[792, 612]
[section-title, [295.0, 288.0, 199.0, 30.0], 3VIeQnyf1e, 6515686]
[paragraph, [232.0, 382.0, 311.0, 18.0], 753Bl3ZXre, 6515686]
[paragraph, [232.0, 400.0, 311.0, 18.0], 753Bl3ZXre, 6515686]
[paragraph, [232.0, 418.0, 311.0, 18.0], 753Bl3ZXre, 6515686]
[paragraph, [232.0, 436.0, 311.0, 18.0], 753Bl3ZXre, 6515686]
[paragraph, [389.0, 474.0, 148.0, 18.0], td6r0rpsyz, 6515686]
[paragraph, [389.0, 492.0, 148.0, 18.0], td6r0rpsyz, 6515686]
[paragraph, [389.0, 510.0, 148.0, 18.0], td6r0rpsyz, 6515686]
[paragraph, [229.0, 490.0, 148.0, 18.0], EL09hcMRUt, 6515686]
[paragraph, [229.0, 508.0, 148.0, 18.0], EL09hcMRUt, 6515686]
[paragraph, [229.0, 526.0, 148.0, 18.0], EL09hcMRUt, 6515686]
[paragraph, [229.0, 544.0, 148.0, 18.0], EL09hcMRUt, 6515686]
[paragraph, [388.0, 533.0, 146.0, 18.0], br5I0n6AAq, 6515686]
[paragraph, [388.0, 551.0, 146.0, 18.0], br5I0n6AAq, 6515686]
[paragraph, [388.0, 569.0, 146.0, 18.0], br5I0n6AAq, 6515686]
[paragraph, [388.0, 587.0, 146.0, 18.0], br5I0n6AAq, 6515686]
[paragraph, [232.0, 578.0, 146.0, 18.0], u1PjT0h3Cs, 6515686]
[paragraph, [232.0, 596.0, 146.0, 18.0], u1PjT0h3Cs, 6515686]
[paragraph, [232.0, 614.0, 146.0, 18.0], u1PjT0h3Cs, 6515686]
