[1290, 921]
[chapter-title, [248.0, 39.0, 293.0, 30.0], shoonya_0s7SGTSZ5JBPO1, 5776238]
[paragraph, [87.0, 86.0, 641.0, 18.0], bZhlMatSxw, 5776238]
[paragraph, [87.0, 104.0, 641.0, 18.0], bZhlMatSxw, 5776238]
[paragraph, [87.0, 122.0, 641.0, 18.0], bZhlMatSxw, 5776238]
[paragraph, [85.0, 144.0, 644.0, 18.0], _jfooNHY5J, 5776238]
[paragraph, [85.0, 162.0, 644.0, 18.0], _jfooNHY5J, 5776238]
[paragraph, [85.0, 180.0, 644.0, 18.0], _jfooNHY5J, 5776238]
[paragraph, [84.0, 214.0, 645.0, 18.0], i2vmGgnNn4, 5776238]
[paragraph, [84.0, 232.0, 645.0, 18.0], i2vmGgnNn4, 5776238]
[paragraph, [84.0, 250.0, 645.0, 18.0], i2vmGgnNn4, 5776238]
[paragraph, [82.0, 269.0, 648.0, 18.0], hVmuSzvz8C, 5776238]
[paragraph, [82.0, 287.0, 648.0, 18.0], hVmuSzvz8C, 5776238]
[paragraph, [82.0, 305.0, 648.0, 18.0], hVmuSzvz8C, 5776238]
[paragraph, [82.0, 323.0, 648.0, 18.0], hVmuSzvz8C, 5776238]
[paragraph, [81.0, 344.0, 651.0, 18.0], Le81HdFIVn, 5776238]
[paragraph, [81.0, 362.0, 651.0, 18.0], Le81HdFIVn, 5776238]
[paragraph, [81.0, 380.0, 651.0, 18.0], Le81HdFIVn, 5776238]
[paragraph, [82.0, 399.0, 652.0, 18.0], LU_np1G9e9, 5776238]
[paragraph, [82.0, 417.0, 652.0, 18.0], LU_np1G9e9, 5776238]
[paragraph, [82.0, 441.0, 653.0, 18.0], lAme5lCJEj, 5776238]
[paragraph, [82.0, 459.0, 653.0, 18.0], lAme5lCJEj, 5776238]
[paragraph, [82.0, 477.0, 653.0, 18.0], lAme5lCJEj, 5776238]
[paragraph, [82.0, 496.0, 536.0, 18.0], ihhU_hyIzI, 5776238]
[paragraph, [82.0, 521.0, 540.0, 18.0], I5dnH3kaY1, 5776238]
[paragraph, [82.0, 546.0, 229.0, 18.0], aV8Qx6TTiN, 5776238]
[paragraph, [82.0, 568.0, 500.0, 18.0], -5urZDxX5G, 5776238]
[paragraph, [80.0, 593.0, 646.0, 18.0], s0m4TbcjNZ, 5776238]
[paragraph, [78.0, 618.0, 315.0, 18.0], 9FX9-O9HgM, 5776238]
[paragraph, [76.0, 645.0, 656.0, 18.0], msGDMkMPwH, 5776238]
[paragraph, [76.0, 663.0, 656.0, 18.0], msGDMkMPwH, 5776238]
[paragraph, [74.0, 698.0, 384.0, 18.0], HqZumQXrvq, 5776238]
[paragraph, [75.0, 720.0, 395.0, 18.0], x9ay5psA0U, 5776238]
[paragraph, [74.0, 744.0, 622.0, 18.0], YQvii271hc, 5776238]
[paragraph, [74.0, 772.0, 659.0, 18.0], bg6DQ5-RXI, 5776238]
[paragraph, [74.0, 790.0, 659.0, 18.0], bg6DQ5-RXI, 5776238]
[paragraph, [74.0, 808.0, 659.0, 18.0], bg6DQ5-RXI, 5776238]
[paragraph, [74.0, 845.0, 398.0, 18.0], veyPNUIrLt, 5776238]
[paragraph, [74.0, 870.0, 666.0, 18.0], bBIxEnsuK3, 5776238]
[paragraph, [74.0, 888.0, 666.0, 18.0], bBIxEnsuK3, 5776238]
[paragraph, [73.0, 921.0, 664.0, 18.0], TT_8lJmcuP, 5776238]
[paragraph, [73.0, 939.0, 664.0, 18.0], TT_8lJmcuP, 5776238]
[paragraph, [73.0, 957.0, 664.0, 18.0], TT_8lJmcuP, 5776238]
[paragraph, [73.0, 975.0, 664.0, 18.0], TT_8lJmcuP, 5776238]
[paragraph, [73.0, 993.0, 664.0, 18.0], TT_8lJmcuP, 5776238]
[paragraph, [71.0, 1020.0, 669.0, 18.0], Lo_y3F8qjI, 5776238]
[paragraph, [71.0, 1038.0, 669.0, 18.0], Lo_y3F8qjI, 5776238]
[paragraph, [74.0, 1070.0, 663.0, 18.0], Y0bCrBxzaC, 5776238]
[paragraph, [74.0, 1088.0, 663.0, 18.0], Y0bCrBxzaC, 5776238]
