[1200, 825]
[paragraph, [143.0, 104.0, 543.0, 18.0], shoonya_0sXWQ7WSC018FN, 5690755]
[paragraph, [143.0, 122.0, 543.0, 18.0], shoonya_0sXWQ7WSC018FN, 5690755]
[paragraph, [143.0, 140.0, 543.0, 18.0], shoonya_0sXWQ7WSC018FN, 5690755]
[paragraph, [143.0, 158.0, 543.0, 18.0], shoonya_0sXWQ7WSC018FN, 5690755]
[paragraph, [143.0, 176.0, 543.0, 18.0], shoonya_0sXWQ7WSC018FN, 5690755]
[paragraph, [143.0, 194.0, 543.0, 18.0], shoonya_0sXWQ7WSC018FN, 5690755]
[paragraph, [143.0, 212.0, 543.0, 18.0], shoonya_0sXWQ7WSC018FN, 5690755]
[paragraph, [143.0, 230.0, 543.0, 18.0], shoonya_0sXWQ7WSC018FN, 5690755]
[paragraph, [143.0, 248.0, 543.0, 18.0], shoonya_0sXWQ7WSC018FN, 5690755]
[paragraph, [143.0, 266.0, 543.0, 18.0], shoonya_0sXWQ7WSC018FN, 5690755]
[paragraph, [141.0, 295.0, 545.0, 18.0], z01e6OVUyR, 5690755]
[paragraph, [141.0, 313.0, 545.0, 18.0], z01e6OVUyR, 5690755]
[paragraph, [141.0, 331.0, 545.0, 18.0], z01e6OVUyR, 5690755]
[paragraph, [141.0, 349.0, 545.0, 18.0], z01e6OVUyR, 5690755]
[paragraph, [141.0, 367.0, 545.0, 18.0], z01e6OVUyR, 5690755]
[paragraph, [141.0, 385.0, 545.0, 18.0], z01e6OVUyR, 5690755]
[paragraph, [141.0, 403.0, 545.0, 18.0], z01e6OVUyR, 5690755]
[paragraph, [141.0, 421.0, 545.0, 18.0], z01e6OVUyR, 5690755]
[paragraph, [141.0, 439.0, 545.0, 18.0], z01e6OVUyR, 5690755]
[paragraph, [141.0, 457.0, 545.0, 18.0], z01e6OVUyR, 5690755]
[paragraph, [141.0, 475.0, 545.0, 18.0], z01e6OVUyR, 5690755]
[paragraph, [141.0, 493.0, 545.0, 18.0], z01e6OVUyR, 5690755]
[paragraph, [141.0, 511.0, 545.0, 18.0], z01e6OVUyR, 5690755]
[paragraph, [141.0, 529.0, 545.0, 18.0], z01e6OVUyR, 5690755]
[paragraph, [141.0, 547.0, 545.0, 18.0], z01e6OVUyR, 5690755]
[paragraph, [141.0, 565.0, 545.0, 18.0], z01e6OVUyR, 5690755]
[paragraph, [141.0, 583.0, 545.0, 18.0], z01e6OVUyR, 5690755]
[paragraph, [141.0, 601.0, 545.0, 18.0], z01e6OVUyR, 5690755]
[paragraph, [141.0, 619.0, 545.0, 18.0], z01e6OVUyR, 5690755]
[paragraph, [141.0, 637.0, 545.0, 18.0], z01e6OVUyR, 5690755]
[paragraph, [141.0, 655.0, 545.0, 18.0], z01e6OVUyR, 5690755]
[paragraph, [141.0, 673.0, 545.0, 18.0], z01e6OVUyR, 5690755]
[paragraph, [141.0, 691.0, 545.0, 18.0], z01e6OVUyR, 5690755]
[paragraph, [141.0, 709.0, 545.0, 18.0], z01e6OVUyR, 5690755]
[paragraph, [141.0, 727.0, 545.0, 18.0], z01e6OVUyR, 5690755]
[paragraph, [140.0, 754.0, 546.0, 18.0], uZtkKKLqkS, 5690755]
[paragraph, [140.0, 772.0, 546.0, 18.0], uZtkKKLqkS, 5690755]
[paragraph, [140.0, 790.0, 546.0, 18.0], uZtkKKLqkS, 5690755]
[paragraph, [140.0, 808.0, 546.0, 18.0], uZtkKKLqkS, 5690755]
[paragraph, [140.0, 826.0, 546.0, 18.0], uZtkKKLqkS, 5690755]
[paragraph, [140.0, 844.0, 546.0, 18.0], uZtkKKLqkS, 5690755]
[paragraph, [140.0, 862.0, 546.0, 18.0], uZtkKKLqkS, 5690755]
[paragraph, [140.0, 880.0, 546.0, 18.0], uZtkKKLqkS, 5690755]
[paragraph, [140.0, 898.0, 546.0, 18.0], uZtkKKLqkS, 5690755]
[paragraph, [140.0, 916.0, 546.0, 18.0], uZtkKKLqkS, 5690755]
[paragraph, [140.0, 934.0, 546.0, 18.0], uZtkKKLqkS, 5690755]
[paragraph, [140.0, 952.0, 546.0, 18.0], uZtkKKLqkS, 5690755]
[paragraph, [140.0, 970.0, 546.0, 18.0], uZtkKKLqkS, 5690755]
[paragraph, [140.0, 988.0, 546.0, 18.0], uZtkKKLqkS, 5690755]
[paragraph, [140.0, 1006.0, 546.0, 18.0], uZtkKKLqkS, 5690755]
[paragraph, [140.0, 1024.0, 546.0, 18.0], uZtkKKLqkS, 5690755]
[paragraph, [140.0, 1042.0, 546.0, 18.0], uZtkKKLqkS, 5690755]
