[842, 596]
[headline, [124.0, 63.0, 347.0, 25.5], bSqgY0qlWR, 5766862]
[headline, [124.0, 88.5, 347.0, 25.5], bSqgY0qlWR, 5766862]
[paragraph, [65.0, 140.0, 468.0, 18.0], syTdA4wvYg, 5766862]
[paragraph, [65.0, 158.0, 468.0, 18.0], syTdA4wvYg, 5766862]
[paragraph, [65.0, 176.0, 468.0, 18.0], syTdA4wvYg, 5766862]
[paragraph, [65.0, 194.0, 468.0, 18.0], syTdA4wvYg, 5766862]
[paragraph, [65.0, 212.0, 468.0, 18.0], syTdA4wvYg, 5766862]
[paragraph, [65.0, 230.0, 468.0, 18.0], syTdA4wvYg, 5766862]
[paragraph, [65.0, 248.0, 468.0, 18.0], syTdA4wvYg, 5766862]
[paragraph, [65.0, 266.0, 468.0, 18.0], syTdA4wvYg, 5766862]
[paragraph, [65.0, 284.0, 468.0, 18.0], syTdA4wvYg, 5766862]
[paragraph, [65.0, 302.0, 468.0, 18.0], syTdA4wvYg, 5766862]
[paragraph, [65.0, 320.0, 468.0, 18.0], syTdA4wvYg, 5766862]
[paragraph, [65.0, 338.0, 468.0, 18.0], syTdA4wvYg, 5766862]
[paragraph, [67.0, 397.0, 471.0, 18.0], le-YgzrIJh, 5766862]
[paragraph, [67.0, 415.0, 471.0, 18.0], le-YgzrIJh, 5766862]
[paragraph, [67.0, 433.0, 471.0, 18.0], le-YgzrIJh, 5766862]
[paragraph, [67.0, 451.0, 471.0, 18.0], le-YgzrIJh, 5766862]
[section-title, [64.0, 484.0, 379.0, 30.0], U876l7oLbA, 5766862]
[paragraph, [63.0, 516.0, 472.0, 18.0], snSqlA4wjq, 5766862]
[paragraph, [63.0, 534.0, 472.0, 18.0], snSqlA4wjq, 5766862]
[paragraph, [63.0, 552.0, 472.0, 18.0], snSqlA4wjq, 5766862]
[paragraph, [63.0, 570.0, 472.0, 18.0], snSqlA4wjq, 5766862]
[paragraph, [63.0, 588.0, 472.0, 18.0], snSqlA4wjq, 5766862]
[paragraph, [63.0, 606.0, 472.0, 18.0], snSqlA4wjq, 5766862]
[paragraph, [63.0, 624.0, 472.0, 18.0], snSqlA4wjq, 5766862]
[section-title, [61.0, 649.0, 298.0, 30.0], fDiNNL6Cuu, 5766862]
[paragraph, [64.0, 680.0, 472.0, 18.0], ySa2id8cKS, 5766862]
[paragraph, [64.0, 698.0, 472.0, 18.0], ySa2id8cKS, 5766862]
[paragraph, [64.0, 716.0, 472.0, 18.0], ySa2id8cKS, 5766862]
[paragraph, [64.0, 734.0, 472.0, 18.0], ySa2id8cKS, 5766862]
