[1987, 1270]
[folio, [584.0, 115.0, 113.0, 36.0], Uyg-YTg1zb, 5682048]
[paragraph, [131.0, 192.0, 1019.0, 36.0], shoonya_3s4OHOGVHLEUMK, 5682048]
[paragraph, [131.0, 246.0, 720.0, 36.0], Qson0afE-J, 5682048]
[paragraph, [134.0, 300.0, 1013.0, 36.0], oaeSX1Anyp, 5682048]
[paragraph, [134.0, 336.0, 1013.0, 36.0], oaeSX1Anyp, 5682048]
[paragraph, [133.0, 405.0, 1014.0, 36.0], T20fsfIOBD, 5682048]
[paragraph, [133.0, 441.0, 1014.0, 36.0], T20fsfIOBD, 5682048]
[paragraph, [133.0, 477.0, 1014.0, 36.0], T20fsfIOBD, 5682048]
[paragraph, [133.0, 513.0, 1014.0, 36.0], T20fsfIOBD, 5682048]
[paragraph, [130.0, 563.0, 1015.0, 36.0], shoonya_2s74CKN1PXY7EN, 5682048]
[paragraph, [130.0, 599.0, 1015.0, 36.0], shoonya_2s74CKN1PXY7EN, 5682048]
[paragraph, [130.0, 635.0, 1015.0, 36.0], shoonya_2s74CKN1PXY7EN, 5682048]
[paragraph, [130.0, 671.0, 1015.0, 36.0], shoonya_2s74CKN1PXY7EN, 5682048]
[paragraph, [130.0, 707.0, 1015.0, 36.0], shoonya_2s74CKN1PXY7EN, 5682048]
[paragraph, [130.0, 743.0, 1015.0, 36.0], shoonya_2s74CKN1PXY7EN, 5682048]
[paragraph, [130.0, 779.0, 1015.0, 36.0], shoonya_2s74CKN1PXY7EN, 5682048]
[paragraph, [130.0, 815.0, 1015.0, 36.0], shoonya_2s74CKN1PXY7EN, 5682048]
[paragraph, [130.0, 851.0, 1015.0, 36.0], shoonya_2s74CKN1PXY7EN, 5682048]
[paragraph, [130.0, 887.0, 1015.0, 36.0], shoonya_2s74CKN1PXY7EN, 5682048]
[paragraph, [130.0, 923.0, 1015.0, 36.0], shoonya_2s74CKN1PXY7EN, 5682048]
[paragraph, [131.0, 980.0, 1010.0, 36.0], shoonya_1sLGI89L169FVL, 5682048]
[paragraph, [131.0, 1016.0, 1010.0, 36.0], shoonya_1sLGI89L169FVL, 5682048]
[paragraph, [131.0, 1052.0, 1010.0, 36.0], shoonya_1sLGI89L169FVL, 5682048]
[paragraph, [131.0, 1088.0, 1010.0, 36.0], shoonya_1sLGI89L169FVL, 5682048]
[paragraph, [131.0, 1124.0, 1010.0, 36.0], shoonya_1sLGI89L169FVL, 5682048]
[paragraph, [131.0, 1160.0, 1010.0, 36.0], shoonya_1sLGI89L169FVL, 5682048]
[paragraph, [131.0, 1196.0, 1010.0, 36.0], shoonya_1sLGI89L169FVL, 5682048]
[paragraph, [131.0, 1232.0, 1010.0, 36.0], shoonya_1sLGI89L169FVL, 5682048]
[paragraph, [124.0, 1297.0, 1015.0, 36.0], shoonya_0sEX4PTZGKCTXT, 5682048]
[paragraph, [124.0, 1333.0, 1015.0, 36.0], shoonya_0sEX4PTZGKCTXT, 5682048]
[paragraph, [124.0, 1369.0, 1015.0, 36.0], shoonya_0sEX4PTZGKCTXT, 5682048]
[paragraph, [124.0, 1405.0, 1015.0, 36.0], shoonya_0sEX4PTZGKCTXT, 5682048]
[paragraph, [124.0, 1441.0, 1015.0, 36.0], shoonya_0sEX4PTZGKCTXT, 5682048]
[paragraph, [124.0, 1477.0, 1015.0, 36.0], shoonya_0sEX4PTZGKCTXT, 5682048]
[paragraph, [124.0, 1513.0, 1015.0, 36.0], shoonya_0sEX4PTZGKCTXT, 5682048]
[paragraph, [124.0, 1549.0, 1015.0, 36.0], shoonya_0sEX4PTZGKCTXT, 5682048]
[paragraph, [124.0, 1585.0, 1015.0, 36.0], shoonya_0sEX4PTZGKCTXT, 5682048]
[paragraph, [124.0, 1621.0, 1015.0, 36.0], shoonya_0sEX4PTZGKCTXT, 5682048]
[paragraph, [124.0, 1657.0, 1015.0, 36.0], shoonya_0sEX4PTZGKCTXT, 5682048]
[paragraph, [123.0, 1712.0, 1017.0, 36.0], u8OmqfMNX1, 5682048]
[paragraph, [123.0, 1748.0, 1017.0, 36.0], u8OmqfMNX1, 5682048]
[paragraph, [122.0, 1815.0, 1019.0, 36.0], cVgviu3fE2, 5682048]
