[1300, 900]
[folio, [394.0, 39.0, 122.0, 18.0], -qs-GWkS-E, 5732548]
[paragraph, [105.0, 106.0, 700.0, 18.0], shoonya_7sHWYV2IJ15L9B, 5732548]
[paragraph, [105.0, 124.0, 700.0, 18.0], shoonya_7sHWYV2IJ15L9B, 5732548]
[paragraph, [105.0, 142.0, 700.0, 18.0], shoonya_7sHWYV2IJ15L9B, 5732548]
[paragraph, [105.0, 160.0, 700.0, 18.0], shoonya_7sHWYV2IJ15L9B, 5732548]
[paragraph, [105.0, 178.0, 700.0, 18.0], shoonya_7sHWYV2IJ15L9B, 5732548]
[paragraph, [105.0, 196.0, 700.0, 18.0], shoonya_7sHWYV2IJ15L9B, 5732548]
[paragraph, [105.0, 214.0, 700.0, 18.0], shoonya_7sHWYV2IJ15L9B, 5732548]
[paragraph, [109.0, 246.0, 698.0, 18.0], shoonya_6s56LVK0VC5XQ1, 5732548]
[paragraph, [109.0, 264.0, 698.0, 18.0], shoonya_6s56LVK0VC5XQ1, 5732548]
[paragraph, [109.0, 282.0, 698.0, 18.0], shoonya_6s56LVK0VC5XQ1, 5732548]
[paragraph, [109.0, 300.0, 698.0, 18.0], shoonya_6s56LVK0VC5XQ1, 5732548]
[paragraph, [110.0, 338.0, 697.0, 18.0], shoonya_3sQUK5USQDNSCR, 5732548]
[paragraph, [110.0, 356.0, 697.0, 18.0], shoonya_3sQUK5USQDNSCR, 5732548]
[paragraph, [110.0, 374.0, 697.0, 18.0], shoonya_3sQUK5USQDNSCR, 5732548]
[paragraph, [110.0, 392.0, 697.0, 18.0], shoonya_3sQUK5USQDNSCR, 5732548]
[paragraph, [107.0, 435.0, 701.0, 18.0], shoonya_4sGY2M9Q4RJGK7, 5732548]
[paragraph, [107.0, 453.0, 701.0, 18.0], shoonya_4sGY2M9Q4RJGK7, 5732548]
[paragraph, [107.0, 471.0, 701.0, 18.0], shoonya_4sGY2M9Q4RJGK7, 5732548]
[paragraph, [107.0, 489.0, 701.0, 18.0], shoonya_4sGY2M9Q4RJGK7, 5732548]
[paragraph, [107.0, 507.0, 701.0, 18.0], shoonya_4sGY2M9Q4RJGK7, 5732548]
[paragraph, [107.0, 525.0, 701.0, 18.0], shoonya_4sGY2M9Q4RJGK7, 5732548]
[paragraph, [107.0, 543.0, 701.0, 18.0], shoonya_4sGY2M9Q4RJGK7, 5732548]
[paragraph, [110.0, 572.0, 695.0, 18.0], shoonya_1s2ZVS0LLRZ6AW, 5732548]
[paragraph, [110.0, 590.0, 695.0, 18.0], shoonya_1s2ZVS0LLRZ6AW, 5732548]
[paragraph, [110.0, 608.0, 695.0, 18.0], shoonya_1s2ZVS0LLRZ6AW, 5732548]
[paragraph, [110.0, 626.0, 695.0, 18.0], shoonya_1s2ZVS0LLRZ6AW, 5732548]
[paragraph, [110.0, 644.0, 695.0, 18.0], shoonya_1s2ZVS0LLRZ6AW, 5732548]
[paragraph, [108.0, 671.0, 703.0, 18.0], fxI7aKnxkp, 5732548]
[paragraph, [108.0, 689.0, 703.0, 18.0], fxI7aKnxkp, 5732548]
[paragraph, [108.0, 707.0, 703.0, 18.0], fxI7aKnxkp, 5732548]
[paragraph, [108.0, 725.0, 703.0, 18.0], fxI7aKnxkp, 5732548]
[paragraph, [108.0, 743.0, 703.0, 18.0], fxI7aKnxkp, 5732548]
[paragraph, [108.0, 761.0, 703.0, 18.0], fxI7aKnxkp, 5732548]
[paragraph, [108.0, 779.0, 703.0, 18.0], fxI7aKnxkp, 5732548]
[paragraph, [112.0, 811.0, 700.0, 18.0], _rTar_S7TP, 5732548]
[paragraph, [112.0, 829.0, 700.0, 18.0], _rTar_S7TP, 5732548]
[paragraph, [112.0, 847.0, 700.0, 18.0], _rTar_S7TP, 5732548]
[paragraph, [112.0, 865.0, 700.0, 18.0], _rTar_S7TP, 5732548]
[paragraph, [112.0, 883.0, 700.0, 18.0], _rTar_S7TP, 5732548]
[paragraph, [111.0, 911.0, 697.0, 18.0], shoonya_0sEAAHJQ9WYASW, 5732548]
[paragraph, [111.0, 929.0, 697.0, 18.0], shoonya_0sEAAHJQ9WYASW, 5732548]
[paragraph, [111.0, 947.0, 697.0, 18.0], shoonya_0sEAAHJQ9WYASW, 5732548]
[paragraph, [111.0, 965.0, 697.0, 18.0], shoonya_0sEAAHJQ9WYASW, 5732548]
[paragraph, [111.0, 983.0, 697.0, 18.0], shoonya_0sEAAHJQ9WYASW, 5732548]
[paragraph, [111.0, 1001.0, 697.0, 18.0], shoonya_0sEAAHJQ9WYASW, 5732548]
[paragraph, [111.0, 1019.0, 697.0, 18.0], shoonya_0sEAAHJQ9WYASW, 5732548]
[paragraph, [109.0, 1054.0, 701.0, 18.0], shoonya_2sNWK6HEXXHXW3, 5732548]
[paragraph, [109.0, 1072.0, 701.0, 18.0], shoonya_2sNWK6HEXXHXW3, 5732548]
[paragraph, [109.0, 1090.0, 701.0, 18.0], shoonya_2sNWK6HEXXHXW3, 5732548]
[paragraph, [109.0, 1108.0, 701.0, 18.0], shoonya_2sNWK6HEXXHXW3, 5732548]
[paragraph, [109.0, 1126.0, 701.0, 18.0], shoonya_2sNWK6HEXXHXW3, 5732548]
[paragraph, [109.0, 1144.0, 701.0, 18.0], shoonya_2sNWK6HEXXHXW3, 5732548]
[paragraph, [109.0, 1162.0, 701.0, 18.0], shoonya_2sNWK6HEXXHXW3, 5732548]
[paragraph, [109.0, 1180.0, 701.0, 18.0], shoonya_2sNWK6HEXXHXW3, 5732548]
[paragraph, [109.0, 1198.0, 701.0, 18.0], shoonya_2sNWK6HEXXHXW3, 5732548]
[paragraph, [109.0, 1216.0, 701.0, 18.0], shoonya_2sNWK6HEXXHXW3, 5732548]
