[2339, 1609]
[folio, [829.0, 96.0, 564.0, 36.0], 4HjwPel_XB, 5657211]
[folio, [210.0, 98.0, 411.0, 36.0], 66T_h6j3zC, 5657211]
[paragraph, [131.0, 214.0, 1346.0, 36.0], shoonya_0sWE605ZLQYUOC, 5657211]
[paragraph, [131.0, 250.0, 1346.0, 36.0], shoonya_0sWE605ZLQYUOC, 5657211]
[paragraph, [131.0, 286.0, 1346.0, 36.0], shoonya_0sWE605ZLQYUOC, 5657211]
[paragraph, [131.0, 322.0, 1346.0, 36.0], shoonya_0sWE605ZLQYUOC, 5657211]
[paragraph, [131.0, 358.0, 1346.0, 36.0], shoonya_0sWE605ZLQYUOC, 5657211]
[paragraph, [131.0, 394.0, 1346.0, 36.0], shoonya_0sWE605ZLQYUOC, 5657211]
[paragraph, [131.0, 430.0, 1346.0, 36.0], shoonya_0sWE605ZLQYUOC, 5657211]
[paragraph, [131.0, 466.0, 1346.0, 36.0], shoonya_0sWE605ZLQYUOC, 5657211]
[paragraph, [131.0, 502.0, 1346.0, 36.0], shoonya_0sWE605ZLQYUOC, 5657211]
[paragraph, [131.0, 538.0, 1346.0, 36.0], shoonya_0sWE605ZLQYUOC, 5657211]
[paragraph, [133.0, 616.0, 1370.0, 36.0], shoonya_1sM4T7KR6CDMY7, 5657211]
[paragraph, [133.0, 652.0, 1370.0, 36.0], shoonya_1sM4T7KR6CDMY7, 5657211]
[paragraph, [133.0, 688.0, 1370.0, 36.0], shoonya_1sM4T7KR6CDMY7, 5657211]
[paragraph, [133.0, 724.0, 1370.0, 36.0], shoonya_1sM4T7KR6CDMY7, 5657211]
[paragraph, [133.0, 760.0, 1370.0, 36.0], shoonya_1sM4T7KR6CDMY7, 5657211]
[paragraph, [133.0, 796.0, 1370.0, 36.0], shoonya_1sM4T7KR6CDMY7, 5657211]
[paragraph, [133.0, 832.0, 1370.0, 36.0], shoonya_1sM4T7KR6CDMY7, 5657211]
[paragraph, [133.0, 868.0, 1370.0, 36.0], shoonya_1sM4T7KR6CDMY7, 5657211]
[paragraph, [133.0, 904.0, 1370.0, 36.0], shoonya_1sM4T7KR6CDMY7, 5657211]
[paragraph, [133.0, 940.0, 1370.0, 36.0], shoonya_1sM4T7KR6CDMY7, 5657211]
[paragraph, [133.0, 976.0, 1370.0, 36.0], shoonya_1sM4T7KR6CDMY7, 5657211]
[paragraph, [133.0, 1012.0, 1370.0, 36.0], shoonya_1sM4T7KR6CDMY7, 5657211]
[paragraph, [133.0, 1048.0, 1370.0, 36.0], shoonya_1sM4T7KR6CDMY7, 5657211]
[paragraph, [133.0, 1084.0, 1370.0, 36.0], shoonya_1sM4T7KR6CDMY7, 5657211]
[paragraph, [113.0, 1147.0, 1366.0, 36.0], shoonya_2sRF34GY481QFA, 5657211]
[paragraph, [113.0, 1183.0, 1366.0, 36.0], shoonya_2sRF34GY481QFA, 5657211]
[paragraph, [113.0, 1219.0, 1366.0, 36.0], shoonya_2sRF34GY481QFA, 5657211]
[paragraph, [113.0, 1255.0, 1366.0, 36.0], shoonya_2sRF34GY481QFA, 5657211]
[paragraph, [113.0, 1291.0, 1366.0, 36.0], shoonya_2sRF34GY481QFA, 5657211]
[paragraph, [113.0, 1327.0, 1366.0, 36.0], shoonya_2sRF34GY481QFA, 5657211]
[paragraph, [113.0, 1363.0, 1366.0, 36.0], shoonya_2sRF34GY481QFA, 5657211]
[paragraph, [113.0, 1399.0, 1366.0, 36.0], shoonya_2sRF34GY481QFA, 5657211]
[paragraph, [113.0, 1435.0, 1366.0, 36.0], shoonya_2sRF34GY481QFA, 5657211]
[paragraph, [113.0, 1471.0, 1366.0, 36.0], shoonya_2sRF34GY481QFA, 5657211]
[paragraph, [113.0, 1507.0, 1366.0, 36.0], shoonya_2sRF34GY481QFA, 5657211]
[paragraph, [113.0, 1543.0, 1366.0, 36.0], shoonya_2sRF34GY481QFA, 5657211]
[paragraph, [113.0, 1579.0, 1366.0, 36.0], shoonya_2sRF34GY481QFA, 5657211]
[paragraph, [113.0, 1615.0, 1366.0, 36.0], shoonya_2sRF34GY481QFA, 5657211]
[paragraph, [113.0, 1651.0, 1366.0, 36.0], shoonya_2sRF34GY481QFA, 5657211]
[paragraph, [113.0, 1687.0, 1366.0, 36.0], shoonya_2sRF34GY481QFA, 5657211]
[paragraph, [113.0, 1723.0, 1366.0, 36.0], shoonya_2sRF34GY481QFA, 5657211]
[paragraph, [113.0, 1759.0, 1366.0, 36.0], shoonya_2sRF34GY481QFA, 5657211]
[folio, [913.0, 2160.0, 566.0, 36.0], 0mkUNLfsVi, 5657211]
[folio, [913.0, 2196.0, 566.0, 36.0], 0mkUNLfsVi, 5657211]
[folio, [124.0, 2162.0, 570.0, 36.0], Unl8rgPLKj, 5657211]
[folio, [124.0, 2198.0, 570.0, 36.0], Unl8rgPLKj, 5657211]
