[819, 612]
[folio, [293.0, 121.0, 67.0, 18.0], XjXIa_hAN3, 6460322]
[paragraph, [159.0, 163.0, 347.0, 18.0], WsC42VMROe, 6460322]
[paragraph, [159.0, 181.0, 347.0, 18.0], WsC42VMROe, 6460322]
[paragraph, [159.0, 199.0, 347.0, 18.0], WsC42VMROe, 6460322]
[paragraph, [159.0, 217.0, 347.0, 18.0], WsC42VMROe, 6460322]
[paragraph, [159.0, 235.0, 347.0, 18.0], WsC42VMROe, 6460322]
[paragraph, [159.0, 253.0, 347.0, 18.0], WsC42VMROe, 6460322]
[paragraph, [159.0, 271.0, 347.0, 18.0], WsC42VMROe, 6460322]
[paragraph, [159.0, 289.0, 347.0, 18.0], WsC42VMROe, 6460322]
[paragraph, [159.0, 307.0, 347.0, 18.0], WsC42VMROe, 6460322]
[paragraph, [159.0, 325.0, 347.0, 18.0], WsC42VMROe, 6460322]
[paragraph, [159.0, 343.0, 347.0, 18.0], WsC42VMROe, 6460322]
[paragraph, [159.0, 361.0, 347.0, 18.0], WsC42VMROe, 6460322]
[paragraph, [159.0, 379.0, 347.0, 18.0], WsC42VMROe, 6460322]
[paragraph, [159.0, 397.0, 347.0, 18.0], WsC42VMROe, 6460322]
[paragraph, [159.0, 415.0, 347.0, 18.0], WsC42VMROe, 6460322]
[paragraph, [159.0, 433.0, 347.0, 18.0], WsC42VMROe, 6460322]
[paragraph, [159.0, 451.0, 347.0, 18.0], WsC42VMROe, 6460322]
[paragraph, [159.0, 469.0, 347.0, 18.0], WsC42VMROe, 6460322]
[paragraph, [159.0, 487.0, 347.0, 18.0], WsC42VMROe, 6460322]
[paragraph, [159.0, 505.0, 347.0, 18.0], WsC42VMROe, 6460322]
[paragraph, [159.0, 523.0, 347.0, 18.0], WsC42VMROe, 6460322]
[paragraph, [159.0, 541.0, 347.0, 18.0], WsC42VMROe, 6460322]
[paragraph, [159.0, 559.0, 347.0, 18.0], WsC42VMROe, 6460322]
[paragraph, [159.0, 577.0, 347.0, 18.0], WsC42VMROe, 6460322]
[paragraph, [159.0, 595.0, 347.0, 18.0], WsC42VMROe, 6460322]
[paragraph, [159.0, 613.0, 347.0, 18.0], WsC42VMROe, 6460322]
[paragraph, [159.0, 631.0, 347.0, 18.0], WsC42VMROe, 6460322]
[paragraph, [159.0, 649.0, 347.0, 18.0], WsC42VMROe, 6460322]
[paragraph, [159.0, 667.0, 347.0, 18.0], WsC42VMROe, 6460322]
[paragraph, [159.0, 685.0, 347.0, 18.0], WsC42VMROe, 6460322]
[paragraph, [159.0, 703.0, 347.0, 18.0], WsC42VMROe, 6460322]
