[1806, 1262]
[folio, [158.0, 101.0, 506.0, 36.0], shoonya_6sNTHCKDS1L5LD, 5680603]
[paragraph, [92.0, 174.0, 516.0, 36.0], shoonya_5sZ8JF5ROSG3HF, 5680603]
[paragraph, [92.0, 210.0, 516.0, 36.0], shoonya_5sZ8JF5ROSG3HF, 5680603]
[paragraph, [644.0, 176.0, 512.0, 36.0], shoonya_8sRZXDFQE64KYB, 5680603]
[paragraph, [644.0, 212.0, 512.0, 36.0], shoonya_8sRZXDFQE64KYB, 5680603]
[paragraph, [648.0, 249.0, 505.0, 36.0], shoonya_7sRDG3XMQ3LOIG, 5680603]
[paragraph, [648.0, 285.0, 505.0, 36.0], shoonya_7sRDG3XMQ3LOIG, 5680603]
[paragraph, [648.0, 321.0, 505.0, 36.0], shoonya_7sRDG3XMQ3LOIG, 5680603]
[paragraph, [88.0, 257.0, 521.0, 36.0], shoonya_1sTDIPTPN1HO3I, 5680603]
[paragraph, [88.0, 293.0, 521.0, 36.0], shoonya_1sTDIPTPN1HO3I, 5680603]
[paragraph, [88.0, 329.0, 521.0, 36.0], shoonya_1sTDIPTPN1HO3I, 5680603]
[paragraph, [88.0, 365.0, 521.0, 36.0], shoonya_1sTDIPTPN1HO3I, 5680603]
[paragraph, [88.0, 401.0, 521.0, 36.0], shoonya_1sTDIPTPN1HO3I, 5680603]
[paragraph, [88.0, 437.0, 521.0, 36.0], shoonya_1sTDIPTPN1HO3I, 5680603]
[paragraph, [88.0, 473.0, 521.0, 36.0], shoonya_1sTDIPTPN1HO3I, 5680603]
[paragraph, [88.0, 509.0, 521.0, 36.0], shoonya_1sTDIPTPN1HO3I, 5680603]
[paragraph, [88.0, 545.0, 521.0, 36.0], shoonya_1sTDIPTPN1HO3I, 5680603]
[paragraph, [88.0, 581.0, 521.0, 36.0], shoonya_1sTDIPTPN1HO3I, 5680603]
[paragraph, [88.0, 617.0, 521.0, 36.0], shoonya_1sTDIPTPN1HO3I, 5680603]
[paragraph, [88.0, 653.0, 521.0, 36.0], shoonya_1sTDIPTPN1HO3I, 5680603]
[paragraph, [88.0, 689.0, 521.0, 36.0], shoonya_1sTDIPTPN1HO3I, 5680603]
[paragraph, [88.0, 725.0, 521.0, 36.0], shoonya_1sTDIPTPN1HO3I, 5680603]
[paragraph, [88.0, 761.0, 521.0, 36.0], shoonya_1sTDIPTPN1HO3I, 5680603]
[paragraph, [88.0, 797.0, 521.0, 36.0], shoonya_1sTDIPTPN1HO3I, 5680603]
[paragraph, [88.0, 833.0, 521.0, 36.0], shoonya_1sTDIPTPN1HO3I, 5680603]
[paragraph, [646.0, 358.0, 516.0, 36.0], shoonya_4s5E1UY7WHTA40, 5680603]
[paragraph, [646.0, 394.0, 516.0, 36.0], shoonya_4s5E1UY7WHTA40, 5680603]
[paragraph, [646.0, 430.0, 516.0, 36.0], shoonya_4s5E1UY7WHTA40, 5680603]
[paragraph, [646.0, 466.0, 516.0, 36.0], shoonya_4s5E1UY7WHTA40, 5680603]
[paragraph, [646.0, 502.0, 516.0, 36.0], shoonya_4s5E1UY7WHTA40, 5680603]
[paragraph, [646.0, 538.0, 516.0, 36.0], shoonya_4s5E1UY7WHTA40, 5680603]
[paragraph, [646.0, 574.0, 516.0, 36.0], shoonya_4s5E1UY7WHTA40, 5680603]
[paragraph, [646.0, 610.0, 516.0, 36.0], shoonya_4s5E1UY7WHTA40, 5680603]
[paragraph, [646.0, 646.0, 516.0, 36.0], shoonya_4s5E1UY7WHTA40, 5680603]
[paragraph, [646.0, 682.0, 516.0, 36.0], shoonya_4s5E1UY7WHTA40, 5680603]
[paragraph, [646.0, 718.0, 516.0, 36.0], shoonya_4s5E1UY7WHTA40, 5680603]
[paragraph, [646.0, 754.0, 516.0, 36.0], shoonya_4s5E1UY7WHTA40, 5680603]
[paragraph, [646.0, 790.0, 516.0, 36.0], shoonya_4s5E1UY7WHTA40, 5680603]
[paragraph, [646.0, 826.0, 516.0, 36.0], shoonya_4s5E1UY7WHTA40, 5680603]
[paragraph, [646.0, 862.0, 516.0, 36.0], shoonya_4s5E1UY7WHTA40, 5680603]
[paragraph, [646.0, 898.0, 516.0, 36.0], shoonya_4s5E1UY7WHTA40, 5680603]
[paragraph, [646.0, 934.0, 516.0, 36.0], shoonya_4s5E1UY7WHTA40, 5680603]
[paragraph, [646.0, 970.0, 516.0, 36.0], shoonya_4s5E1UY7WHTA40, 5680603]
