[1565, 1152]
[section-title, [364.0, 210.0, 159.0, 49.5], tYOeZTcTt1, 5712373]
[paragraph, [130.0, 318.0, 570.0, 36.0], pmk9-uBtOL, 5712373]
[paragraph, [130.0, 354.0, 570.0, 36.0], pmk9-uBtOL, 5712373]
[paragraph, [130.0, 390.0, 570.0, 36.0], pmk9-uBtOL, 5712373]
[paragraph, [748.0, 397.0, 305.0, 36.0], shoonya_0sCOY84HSJC3U0, 5712373]
[paragraph, [748.0, 433.0, 305.0, 36.0], shoonya_0sCOY84HSJC3U0, 5712373]
[paragraph, [748.0, 469.0, 305.0, 36.0], shoonya_0sCOY84HSJC3U0, 5712373]
[paragraph, [748.0, 505.0, 305.0, 36.0], shoonya_0sCOY84HSJC3U0, 5712373]
[paragraph, [748.0, 541.0, 305.0, 36.0], shoonya_0sCOY84HSJC3U0, 5712373]
[paragraph, [131.0, 503.0, 561.0, 36.0], shoonya_4s9X13L1E5Q9XV, 5712373]
[paragraph, [131.0, 539.0, 561.0, 36.0], shoonya_4s9X13L1E5Q9XV, 5712373]
[paragraph, [131.0, 575.0, 561.0, 36.0], shoonya_4s9X13L1E5Q9XV, 5712373]
[paragraph, [131.0, 611.0, 561.0, 36.0], shoonya_4s9X13L1E5Q9XV, 5712373]
[paragraph, [759.0, 625.0, 268.0, 36.0], shoonya_1sFYIK4CBV20L5, 5712373]
[paragraph, [759.0, 661.0, 268.0, 36.0], shoonya_1sFYIK4CBV20L5, 5712373]
[paragraph, [759.0, 697.0, 268.0, 36.0], shoonya_1sFYIK4CBV20L5, 5712373]
[paragraph, [135.0, 710.0, 578.0, 36.0], 0OsBx64qVp, 5712373]
[paragraph, [135.0, 746.0, 578.0, 36.0], 0OsBx64qVp, 5712373]
[paragraph, [135.0, 782.0, 578.0, 36.0], 0OsBx64qVp, 5712373]
[paragraph, [816.0, 775.0, 178.0, 36.0], XlZfvyEnCc, 5712373]
[paragraph, [816.0, 811.0, 178.0, 36.0], XlZfvyEnCc, 5712373]
[paragraph, [816.0, 847.0, 178.0, 36.0], XlZfvyEnCc, 5712373]
[paragraph, [816.0, 883.0, 178.0, 36.0], XlZfvyEnCc, 5712373]
[paragraph, [816.0, 919.0, 178.0, 36.0], XlZfvyEnCc, 5712373]
[folio, [554.0, 834.0, 152.0, 36.0], 6ecs72j9dP, 5712373]
[paragraph, [132.0, 898.0, 572.0, 36.0], O-wr2cKoH6, 5712373]
[paragraph, [132.0, 934.0, 572.0, 36.0], O-wr2cKoH6, 5712373]
[paragraph, [132.0, 970.0, 572.0, 36.0], O-wr2cKoH6, 5712373]
[paragraph, [132.0, 1006.0, 572.0, 36.0], O-wr2cKoH6, 5712373]
[paragraph, [132.0, 1042.0, 572.0, 36.0], O-wr2cKoH6, 5712373]
[contact-info, [727.0, 1052.0, 357.0, 36.0], XfR67XxbuU, 5712373]
[contact-info, [727.0, 1088.0, 357.0, 36.0], XfR67XxbuU, 5712373]
[contact-info, [727.0, 1124.0, 357.0, 36.0], XfR67XxbuU, 5712373]
[contact-info, [727.0, 1160.0, 357.0, 36.0], XfR67XxbuU, 5712373]
[contact-info, [727.0, 1196.0, 357.0, 36.0], XfR67XxbuU, 5712373]
[contact-info, [727.0, 1232.0, 357.0, 36.0], XfR67XxbuU, 5712373]
[folio, [543.0, 1098.0, 171.0, 36.0], KGWp93f0cx, 5712373]
[figure-caption, [333.0, 1325.0, 640.0, 36.0], shoonya_3s2OQSWNRR68QA, 5712373]
[figure-caption, [333.0, 1361.0, 640.0, 36.0], shoonya_3s2OQSWNRR68QA, 5712373]
