[842, 595]
[paragraph, [299.0, 92.0, 242.0, 18.0], shoonya_5s97MSNSXH0MSY, 5742647]
[paragraph, [299.0, 110.0, 242.0, 18.0], shoonya_5s97MSNSXH0MSY, 5742647]
[paragraph, [299.0, 128.0, 242.0, 18.0], shoonya_5s97MSNSXH0MSY, 5742647]
[paragraph, [299.0, 146.0, 242.0, 18.0], shoonya_5s97MSNSXH0MSY, 5742647]
[paragraph, [301.0, 177.0, 242.0, 18.0], shoonya_4s4CCM7JLJ1KNR, 5742647]
[paragraph, [301.0, 195.0, 242.0, 18.0], shoonya_4s4CCM7JLJ1KNR, 5742647]
[paragraph, [301.0, 213.0, 242.0, 18.0], shoonya_4s4CCM7JLJ1KNR, 5742647]
[paragraph, [301.0, 231.0, 242.0, 18.0], shoonya_4s4CCM7JLJ1KNR, 5742647]
[paragraph, [301.0, 249.0, 242.0, 18.0], shoonya_4s4CCM7JLJ1KNR, 5742647]
[paragraph, [53.0, 236.0, 242.0, 18.0], shoonya_3sKNYFJYDHKTOI, 5742647]
[paragraph, [53.0, 254.0, 242.0, 18.0], shoonya_3sKNYFJYDHKTOI, 5742647]
[paragraph, [53.0, 272.0, 242.0, 18.0], shoonya_3sKNYFJYDHKTOI, 5742647]
[paragraph, [53.0, 290.0, 242.0, 18.0], shoonya_3sKNYFJYDHKTOI, 5742647]
[paragraph, [53.0, 308.0, 242.0, 18.0], shoonya_3sKNYFJYDHKTOI, 5742647]
[paragraph, [53.0, 326.0, 242.0, 18.0], shoonya_3sKNYFJYDHKTOI, 5742647]
[paragraph, [53.0, 344.0, 242.0, 18.0], shoonya_3sKNYFJYDHKTOI, 5742647]
[paragraph, [53.0, 362.0, 242.0, 18.0], shoonya_3sKNYFJYDHKTOI, 5742647]
[paragraph, [53.0, 380.0, 242.0, 18.0], shoonya_3sKNYFJYDHKTOI, 5742647]
[paragraph, [53.0, 398.0, 242.0, 18.0], shoonya_3sKNYFJYDHKTOI, 5742647]
[paragraph, [300.0, 275.0, 242.0, 18.0], shoonya_6sPQCSCM07268Z, 5742647]
[paragraph, [300.0, 293.0, 242.0, 18.0], shoonya_6sPQCSCM07268Z, 5742647]
[paragraph, [300.0, 311.0, 242.0, 18.0], shoonya_6sPQCSCM07268Z, 5742647]
[paragraph, [300.0, 329.0, 242.0, 18.0], shoonya_6sPQCSCM07268Z, 5742647]
[paragraph, [300.0, 347.0, 242.0, 18.0], shoonya_6sPQCSCM07268Z, 5742647]
[paragraph, [300.0, 365.0, 242.0, 18.0], shoonya_6sPQCSCM07268Z, 5742647]
[paragraph, [303.0, 417.0, 245.0, 18.0], shoonya_8sZUSGV327B5S8, 5742647]
[paragraph, [303.0, 435.0, 245.0, 18.0], shoonya_8sZUSGV327B5S8, 5742647]
[paragraph, [303.0, 453.0, 245.0, 18.0], shoonya_8sZUSGV327B5S8, 5742647]
[paragraph, [55.0, 422.0, 241.0, 18.0], shoonya_0sAKPULD4LUL22, 5742647]
[paragraph, [55.0, 440.0, 241.0, 18.0], shoonya_0sAKPULD4LUL22, 5742647]
[paragraph, [55.0, 458.0, 241.0, 18.0], shoonya_0sAKPULD4LUL22, 5742647]
[paragraph, [55.0, 476.0, 241.0, 18.0], shoonya_0sAKPULD4LUL22, 5742647]
[paragraph, [55.0, 494.0, 241.0, 18.0], shoonya_0sAKPULD4LUL22, 5742647]
[paragraph, [55.0, 512.0, 241.0, 18.0], shoonya_0sAKPULD4LUL22, 5742647]
[paragraph, [55.0, 530.0, 241.0, 18.0], shoonya_0sAKPULD4LUL22, 5742647]
[paragraph, [55.0, 548.0, 241.0, 18.0], shoonya_0sAKPULD4LUL22, 5742647]
[paragraph, [55.0, 566.0, 241.0, 18.0], shoonya_0sAKPULD4LUL22, 5742647]
[paragraph, [55.0, 584.0, 241.0, 18.0], shoonya_0sAKPULD4LUL22, 5742647]
[paragraph, [55.0, 602.0, 241.0, 18.0], shoonya_0sAKPULD4LUL22, 5742647]
[paragraph, [55.0, 620.0, 241.0, 18.0], shoonya_0sAKPULD4LUL22, 5742647]
[paragraph, [55.0, 638.0, 241.0, 18.0], shoonya_0sAKPULD4LUL22, 5742647]
[paragraph, [300.0, 487.0, 243.0, 18.0], LVx4vZhsWU, 5742647]
[paragraph, [300.0, 505.0, 243.0, 18.0], LVx4vZhsWU, 5742647]
[paragraph, [300.0, 523.0, 243.0, 18.0], LVx4vZhsWU, 5742647]
[paragraph, [300.0, 541.0, 243.0, 18.0], LVx4vZhsWU, 5742647]
[paragraph, [300.0, 559.0, 243.0, 18.0], LVx4vZhsWU, 5742647]
[paragraph, [300.0, 577.0, 243.0, 18.0], LVx4vZhsWU, 5742647]
[paragraph, [300.0, 595.0, 243.0, 18.0], LVx4vZhsWU, 5742647]
[paragraph, [300.0, 613.0, 243.0, 18.0], LVx4vZhsWU, 5742647]
[paragraph, [300.0, 631.0, 243.0, 18.0], LVx4vZhsWU, 5742647]
[paragraph, [300.0, 649.0, 243.0, 18.0], LVx4vZhsWU, 5742647]
[paragraph, [300.0, 672.0, 242.0, 18.0], shoonya_7sKY3FLH8IC3L7, 5742647]
[paragraph, [300.0, 690.0, 242.0, 18.0], shoonya_7sKY3FLH8IC3L7, 5742647]
[paragraph, [300.0, 708.0, 242.0, 18.0], shoonya_7sKY3FLH8IC3L7, 5742647]
[paragraph, [55.0, 688.0, 239.0, 18.0], shoonya_12sMYMN56RC4RS, 5742647]
[paragraph, [55.0, 706.0, 239.0, 18.0], shoonya_12sMYMN56RC4RS, 5742647]
[folio, [473.0, 741.0, 65.0, 18.0], shoonya_10sVTR3Y6MR7JS, 5742647]
