[1320, 1176]
[folio, [84.0, 149.0, 249.0, 18.0], x2Q8TMZuTY, 5694638]
[folio, [84.0, 167.0, 249.0, 18.0], x2Q8TMZuTY, 5694638]
[folio, [84.0, 185.0, 249.0, 18.0], x2Q8TMZuTY, 5694638]
[folio, [909.0, 166.0, 186.0, 18.0], LPFsnBppFO, 5694638]
[folio, [909.0, 184.0, 186.0, 18.0], LPFsnBppFO, 5694638]
[headline, [140.0, 210.0, 895.0, 25.5], kOLMbn2wqG, 5694638]
[headline, [140.0, 235.5, 895.0, 25.5], kOLMbn2wqG, 5694638]
[headline, [140.0, 261.0, 895.0, 25.5], kOLMbn2wqG, 5694638]
[sub-headline, [243.0, 299.0, 692.0, 25.5], wjiin7Hl3N, 5694638]
[sub-headline, [243.0, 324.5, 692.0, 25.5], wjiin7Hl3N, 5694638]
[paragraph, [768.0, 342.0, 331.0, 18.0], shoonya_4sEYDFLFNHRBHI, 5694638]
[paragraph, [768.0, 360.0, 331.0, 18.0], shoonya_4sEYDFLFNHRBHI, 5694638]
[paragraph, [768.0, 378.0, 331.0, 18.0], shoonya_4sEYDFLFNHRBHI, 5694638]
[paragraph, [768.0, 396.0, 331.0, 18.0], shoonya_4sEYDFLFNHRBHI, 5694638]
[paragraph, [768.0, 414.0, 331.0, 18.0], shoonya_4sEYDFLFNHRBHI, 5694638]
[paragraph, [768.0, 432.0, 331.0, 18.0], shoonya_4sEYDFLFNHRBHI, 5694638]
[paragraph, [768.0, 450.0, 331.0, 18.0], shoonya_4sEYDFLFNHRBHI, 5694638]
[paragraph, [768.0, 468.0, 331.0, 18.0], shoonya_4sEYDFLFNHRBHI, 5694638]
[paragraph, [768.0, 486.0, 331.0, 18.0], shoonya_4sEYDFLFNHRBHI, 5694638]
[paragraph, [768.0, 504.0, 331.0, 18.0], shoonya_4sEYDFLFNHRBHI, 5694638]
[paragraph, [768.0, 522.0, 331.0, 18.0], shoonya_4sEYDFLFNHRBHI, 5694638]
[paragraph, [768.0, 540.0, 331.0, 18.0], shoonya_4sEYDFLFNHRBHI, 5694638]
[paragraph, [768.0, 558.0, 331.0, 18.0], shoonya_4sEYDFLFNHRBHI, 5694638]
[paragraph, [423.0, 348.0, 329.0, 18.0], shoonya_5sXYC0U5PUQT3D, 5694638]
[paragraph, [423.0, 366.0, 329.0, 18.0], shoonya_5sXYC0U5PUQT3D, 5694638]
[paragraph, [423.0, 384.0, 329.0, 18.0], shoonya_5sXYC0U5PUQT3D, 5694638]
[paragraph, [423.0, 402.0, 329.0, 18.0], shoonya_5sXYC0U5PUQT3D, 5694638]
[paragraph, [423.0, 420.0, 329.0, 18.0], shoonya_5sXYC0U5PUQT3D, 5694638]
[paragraph, [423.0, 438.0, 329.0, 18.0], shoonya_5sXYC0U5PUQT3D, 5694638]
[paragraph, [423.0, 456.0, 329.0, 18.0], shoonya_5sXYC0U5PUQT3D, 5694638]
[paragraph, [423.0, 474.0, 329.0, 18.0], shoonya_5sXYC0U5PUQT3D, 5694638]
[paragraph, [423.0, 492.0, 329.0, 18.0], shoonya_5sXYC0U5PUQT3D, 5694638]
[paragraph, [423.0, 510.0, 329.0, 18.0], shoonya_5sXYC0U5PUQT3D, 5694638]
[paragraph, [423.0, 528.0, 329.0, 18.0], shoonya_5sXYC0U5PUQT3D, 5694638]
[paragraph, [423.0, 546.0, 329.0, 18.0], shoonya_5sXYC0U5PUQT3D, 5694638]
[paragraph, [423.0, 564.0, 329.0, 18.0], shoonya_5sXYC0U5PUQT3D, 5694638]
[paragraph, [66.0, 352.0, 344.0, 18.0], xGvbOApPJV, 5694638]
[paragraph, [66.0, 370.0, 344.0, 18.0], xGvbOApPJV, 5694638]
[paragraph, [66.0, 388.0, 344.0, 18.0], xGvbOApPJV, 5694638]
[paragraph, [66.0, 406.0, 344.0, 18.0], xGvbOApPJV, 5694638]
[paragraph, [66.0, 424.0, 344.0, 18.0], xGvbOApPJV, 5694638]
[paragraph, [66.0, 442.0, 344.0, 18.0], xGvbOApPJV, 5694638]
[paragraph, [66.0, 460.0, 344.0, 18.0], xGvbOApPJV, 5694638]
[paragraph, [66.0, 478.0, 344.0, 18.0], xGvbOApPJV, 5694638]
[paragraph, [66.0, 496.0, 344.0, 18.0], xGvbOApPJV, 5694638]
[paragraph, [68.0, 530.0, 341.0, 18.0], shoonya_0sUF6RYPEX6F9E, 5694638]
[paragraph, [68.0, 548.0, 341.0, 18.0], shoonya_0sUF6RYPEX6F9E, 5694638]
[paragraph, [68.0, 566.0, 341.0, 18.0], shoonya_0sUF6RYPEX6F9E, 5694638]
[paragraph, [68.0, 584.0, 341.0, 18.0], shoonya_0sUF6RYPEX6F9E, 5694638]
[paragraph, [68.0, 602.0, 341.0, 18.0], shoonya_0sUF6RYPEX6F9E, 5694638]
[paragraph, [68.0, 620.0, 341.0, 18.0], shoonya_0sUF6RYPEX6F9E, 5694638]
[paragraph, [68.0, 638.0, 341.0, 18.0], shoonya_0sUF6RYPEX6F9E, 5694638]
[paragraph, [68.0, 656.0, 341.0, 18.0], shoonya_0sUF6RYPEX6F9E, 5694638]
[paragraph, [68.0, 674.0, 341.0, 18.0], shoonya_0sUF6RYPEX6F9E, 5694638]
[paragraph, [68.0, 692.0, 341.0, 18.0], shoonya_0sUF6RYPEX6F9E, 5694638]
[paragraph, [68.0, 710.0, 341.0, 18.0], shoonya_0sUF6RYPEX6F9E, 5694638]
[paragraph, [68.0, 728.0, 341.0, 18.0], shoonya_0sUF6RYPEX6F9E, 5694638]
[paragraph, [68.0, 746.0, 341.0, 18.0], shoonya_0sUF6RYPEX6F9E, 5694638]
[paragraph, [68.0, 764.0, 341.0, 18.0], shoonya_0sUF6RYPEX6F9E, 5694638]
[paragraph, [68.0, 782.0, 341.0, 18.0], shoonya_0sUF6RYPEX6F9E, 5694638]
[paragraph, [68.0, 800.0, 341.0, 18.0], shoonya_0sUF6RYPEX6F9E, 5694638]
[paragraph, [68.0, 818.0, 341.0, 18.0], shoonya_0sUF6RYPEX6F9E, 5694638]
[paragraph, [68.0, 836.0, 341.0, 18.0], shoonya_0sUF6RYPEX6F9E, 5694638]
[paragraph, [68.0, 854.0, 341.0, 18.0], shoonya_0sUF6RYPEX6F9E, 5694638]
[paragraph, [68.0, 872.0, 341.0, 18.0], shoonya_0sUF6RYPEX6F9E, 5694638]
[paragraph, [68.0, 890.0, 341.0, 18.0], shoonya_0sUF6RYPEX6F9E, 5694638]
[section-title, [419.0, 603.0, 338.0, 30.0], SpO0zSq3zD, 5694638]
[section-title, [419.0, 633.0, 338.0, 30.0], SpO0zSq3zD, 5694638]
[answer, [768.0, 644.0, 331.0, 18.0], shoonya_2sIHJ419JOJOIP, 5694638]
[answer, [768.0, 662.0, 331.0, 18.0], shoonya_2sIHJ419JOJOIP, 5694638]
[answer, [768.0, 680.0, 331.0, 18.0], shoonya_2sIHJ419JOJOIP, 5694638]
[answer, [768.0, 698.0, 331.0, 18.0], shoonya_2sIHJ419JOJOIP, 5694638]
[answer, [768.0, 716.0, 331.0, 18.0], shoonya_2sIHJ419JOJOIP, 5694638]
