[1350, 900]
[folio, [178.0, 194.0, 220.0, 18.0], 7STh2amvl9, 5760260]
[paragraph, [198.0, 243.0, 522.0, 18.0], shoonya_1sAZYWP8TZ1JQN, 5760260]
[paragraph, [198.0, 261.0, 522.0, 18.0], shoonya_1sAZYWP8TZ1JQN, 5760260]
[paragraph, [198.0, 279.0, 522.0, 18.0], shoonya_1sAZYWP8TZ1JQN, 5760260]
[paragraph, [198.0, 297.0, 522.0, 18.0], shoonya_1sAZYWP8TZ1JQN, 5760260]
[paragraph, [198.0, 315.0, 522.0, 18.0], shoonya_1sAZYWP8TZ1JQN, 5760260]
[paragraph, [198.0, 333.0, 522.0, 18.0], shoonya_1sAZYWP8TZ1JQN, 5760260]
[paragraph, [157.0, 360.0, 563.0, 18.0], iRRwrtyM9U, 5760260]
[paragraph, [157.0, 378.0, 563.0, 18.0], iRRwrtyM9U, 5760260]
[paragraph, [157.0, 396.0, 563.0, 18.0], iRRwrtyM9U, 5760260]
[paragraph, [157.0, 414.0, 563.0, 18.0], iRRwrtyM9U, 5760260]
[paragraph, [157.0, 432.0, 563.0, 18.0], iRRwrtyM9U, 5760260]
[paragraph, [157.0, 450.0, 563.0, 18.0], iRRwrtyM9U, 5760260]
[paragraph, [157.0, 468.0, 563.0, 18.0], iRRwrtyM9U, 5760260]
[paragraph, [157.0, 486.0, 563.0, 18.0], iRRwrtyM9U, 5760260]
[paragraph, [157.0, 504.0, 563.0, 18.0], iRRwrtyM9U, 5760260]
[paragraph, [157.0, 522.0, 563.0, 18.0], iRRwrtyM9U, 5760260]
[paragraph, [157.0, 540.0, 563.0, 18.0], iRRwrtyM9U, 5760260]
[paragraph, [157.0, 558.0, 563.0, 18.0], iRRwrtyM9U, 5760260]
[paragraph, [157.0, 576.0, 563.0, 18.0], iRRwrtyM9U, 5760260]
[paragraph, [157.0, 594.0, 563.0, 18.0], iRRwrtyM9U, 5760260]
[paragraph, [157.0, 612.0, 563.0, 18.0], iRRwrtyM9U, 5760260]
[paragraph, [157.0, 630.0, 563.0, 18.0], iRRwrtyM9U, 5760260]
[paragraph, [157.0, 648.0, 563.0, 18.0], iRRwrtyM9U, 5760260]
[paragraph, [157.0, 666.0, 563.0, 18.0], iRRwrtyM9U, 5760260]
[paragraph, [162.0, 689.0, 559.0, 18.0], shoonya_0sKXXXANDVLL8K, 5760260]
[paragraph, [162.0, 707.0, 559.0, 18.0], shoonya_0sKXXXANDVLL8K, 5760260]
[paragraph, [162.0, 725.0, 559.0, 18.0], shoonya_0sKXXXANDVLL8K, 5760260]
[paragraph, [162.0, 743.0, 559.0, 18.0], shoonya_0sKXXXANDVLL8K, 5760260]
[paragraph, [162.0, 761.0, 559.0, 18.0], shoonya_0sKXXXANDVLL8K, 5760260]
[paragraph, [162.0, 779.0, 559.0, 18.0], shoonya_0sKXXXANDVLL8K, 5760260]
[paragraph, [162.0, 797.0, 559.0, 18.0], shoonya_0sKXXXANDVLL8K, 5760260]
[paragraph, [162.0, 815.0, 559.0, 18.0], shoonya_0sKXXXANDVLL8K, 5760260]
[paragraph, [162.0, 833.0, 559.0, 18.0], shoonya_0sKXXXANDVLL8K, 5760260]
[paragraph, [162.0, 851.0, 559.0, 18.0], shoonya_0sKXXXANDVLL8K, 5760260]
[paragraph, [162.0, 869.0, 559.0, 18.0], shoonya_0sKXXXANDVLL8K, 5760260]
[paragraph, [162.0, 887.0, 559.0, 18.0], shoonya_0sKXXXANDVLL8K, 5760260]
[paragraph, [162.0, 905.0, 559.0, 18.0], shoonya_0sKXXXANDVLL8K, 5760260]
[paragraph, [162.0, 923.0, 559.0, 18.0], shoonya_0sKXXXANDVLL8K, 5760260]
[paragraph, [162.0, 941.0, 559.0, 18.0], shoonya_0sKXXXANDVLL8K, 5760260]
[paragraph, [162.0, 959.0, 559.0, 18.0], shoonya_0sKXXXANDVLL8K, 5760260]
[paragraph, [197.0, 1018.0, 525.0, 18.0], shoonya_3sKXR9ZV7410IR, 5760260]
[paragraph, [197.0, 1036.0, 525.0, 18.0], shoonya_3sKXR9ZV7410IR, 5760260]
[paragraph, [197.0, 1054.0, 525.0, 18.0], shoonya_3sKXR9ZV7410IR, 5760260]
[paragraph, [197.0, 1072.0, 525.0, 18.0], shoonya_3sKXR9ZV7410IR, 5760260]
[paragraph, [197.0, 1090.0, 525.0, 18.0], shoonya_3sKXR9ZV7410IR, 5760260]
[paragraph, [197.0, 1108.0, 525.0, 18.0], shoonya_3sKXR9ZV7410IR, 5760260]
