[1031, 622]
[section-title, [253.0, 69.0, 111.0, 30.0], shoonya_1sPCQZU1BHXGLB, 5709752]
[paragraph, [70.0, 115.0, 479.0, 18.0], shoonya_0s2BGO4R3KSWVY, 5709752]
[paragraph, [70.0, 133.0, 479.0, 18.0], shoonya_0s2BGO4R3KSWVY, 5709752]
[paragraph, [70.0, 151.0, 479.0, 18.0], shoonya_0s2BGO4R3KSWVY, 5709752]
[paragraph, [58.0, 177.0, 508.0, 18.0], shoonya_2sX23CJM3OBXTQ, 5709752]
[paragraph, [58.0, 195.0, 508.0, 18.0], shoonya_2sX23CJM3OBXTQ, 5709752]
[paragraph, [58.0, 213.0, 508.0, 18.0], shoonya_2sX23CJM3OBXTQ, 5709752]
[paragraph, [58.0, 231.0, 508.0, 18.0], shoonya_2sX23CJM3OBXTQ, 5709752]
[paragraph, [58.0, 249.0, 508.0, 18.0], shoonya_2sX23CJM3OBXTQ, 5709752]
[paragraph, [58.0, 267.0, 508.0, 18.0], shoonya_2sX23CJM3OBXTQ, 5709752]
[paragraph, [58.0, 285.0, 508.0, 18.0], shoonya_2sX23CJM3OBXTQ, 5709752]
[paragraph, [58.0, 303.0, 508.0, 18.0], shoonya_2sX23CJM3OBXTQ, 5709752]
[paragraph, [58.0, 321.0, 508.0, 18.0], shoonya_2sX23CJM3OBXTQ, 5709752]
[paragraph, [58.0, 339.0, 508.0, 18.0], shoonya_2sX23CJM3OBXTQ, 5709752]
[paragraph, [58.0, 357.0, 508.0, 18.0], shoonya_2sX23CJM3OBXTQ, 5709752]
[paragraph, [58.0, 375.0, 508.0, 18.0], shoonya_2sX23CJM3OBXTQ, 5709752]
[paragraph, [58.0, 393.0, 508.0, 18.0], shoonya_2sX23CJM3OBXTQ, 5709752]
[paragraph, [58.0, 411.0, 508.0, 18.0], shoonya_2sX23CJM3OBXTQ, 5709752]
[paragraph, [58.0, 429.0, 508.0, 18.0], shoonya_2sX23CJM3OBXTQ, 5709752]
[paragraph, [58.0, 447.0, 508.0, 18.0], shoonya_2sX23CJM3OBXTQ, 5709752]
[paragraph, [58.0, 465.0, 508.0, 18.0], shoonya_2sX23CJM3OBXTQ, 5709752]
[paragraph, [58.0, 483.0, 508.0, 18.0], shoonya_2sX23CJM3OBXTQ, 5709752]
[paragraph, [58.0, 501.0, 508.0, 18.0], shoonya_2sX23CJM3OBXTQ, 5709752]
[paragraph, [58.0, 519.0, 508.0, 18.0], shoonya_2sX23CJM3OBXTQ, 5709752]
[paragraph, [58.0, 537.0, 508.0, 18.0], shoonya_2sX23CJM3OBXTQ, 5709752]
[paragraph, [58.0, 555.0, 508.0, 18.0], shoonya_2sX23CJM3OBXTQ, 5709752]
[paragraph, [58.0, 573.0, 508.0, 18.0], shoonya_2sX23CJM3OBXTQ, 5709752]
[paragraph, [58.0, 591.0, 508.0, 18.0], shoonya_2sX23CJM3OBXTQ, 5709752]
[paragraph, [58.0, 609.0, 508.0, 18.0], shoonya_2sX23CJM3OBXTQ, 5709752]
[paragraph, [58.0, 627.0, 508.0, 18.0], shoonya_2sX23CJM3OBXTQ, 5709752]
[paragraph, [58.0, 645.0, 508.0, 18.0], shoonya_2sX23CJM3OBXTQ, 5709752]
[paragraph, [58.0, 663.0, 508.0, 18.0], shoonya_2sX23CJM3OBXTQ, 5709752]
[paragraph, [58.0, 681.0, 508.0, 18.0], shoonya_2sX23CJM3OBXTQ, 5709752]
[paragraph, [58.0, 699.0, 508.0, 18.0], shoonya_2sX23CJM3OBXTQ, 5709752]
[paragraph, [58.0, 717.0, 508.0, 18.0], shoonya_2sX23CJM3OBXTQ, 5709752]
[paragraph, [58.0, 735.0, 508.0, 18.0], shoonya_2sX23CJM3OBXTQ, 5709752]
[paragraph, [58.0, 753.0, 508.0, 18.0], shoonya_2sX23CJM3OBXTQ, 5709752]
[paragraph, [58.0, 771.0, 508.0, 18.0], shoonya_2sX23CJM3OBXTQ, 5709752]
[paragraph, [58.0, 789.0, 508.0, 18.0], shoonya_2sX23CJM3OBXTQ, 5709752]
[paragraph, [58.0, 807.0, 508.0, 18.0], shoonya_2sX23CJM3OBXTQ, 5709752]
[paragraph, [58.0, 825.0, 508.0, 18.0], shoonya_2sX23CJM3OBXTQ, 5709752]
[paragraph, [58.0, 843.0, 508.0, 18.0], shoonya_2sX23CJM3OBXTQ, 5709752]
[paragraph, [58.0, 861.0, 508.0, 18.0], shoonya_2sX23CJM3OBXTQ, 5709752]
[paragraph, [58.0, 879.0, 508.0, 18.0], shoonya_2sX23CJM3OBXTQ, 5709752]
[paragraph, [58.0, 897.0, 508.0, 18.0], shoonya_2sX23CJM3OBXTQ, 5709752]
[paragraph, [58.0, 915.0, 508.0, 18.0], shoonya_2sX23CJM3OBXTQ, 5709752]
[paragraph, [58.0, 933.0, 508.0, 18.0], shoonya_2sX23CJM3OBXTQ, 5709752]
