[792, 524]
[folio, [221.0, 36.0, 129.0, 18.0], shoonya_4sBN8SHN7Z4MGH, 6513762]
[folio, [402.0, 39.0, 88.0, 18.0], shoonya_7sFLMD0X1LLYIC, 6513762]
[paragraph, [68.0, 72.0, 430.0, 18.0], shoonya_0sJK4LST2PJLIN, 6513762]
[paragraph, [68.0, 90.0, 430.0, 18.0], shoonya_0sJK4LST2PJLIN, 6513762]
[paragraph, [68.0, 108.0, 430.0, 18.0], shoonya_0sJK4LST2PJLIN, 6513762]
[paragraph, [68.0, 126.0, 430.0, 18.0], shoonya_0sJK4LST2PJLIN, 6513762]
[paragraph, [68.0, 144.0, 430.0, 18.0], shoonya_0sJK4LST2PJLIN, 6513762]
[paragraph, [68.0, 162.0, 430.0, 18.0], shoonya_0sJK4LST2PJLIN, 6513762]
[paragraph, [68.0, 180.0, 430.0, 18.0], shoonya_0sJK4LST2PJLIN, 6513762]
[paragraph, [68.0, 198.0, 430.0, 18.0], shoonya_0sJK4LST2PJLIN, 6513762]
[paragraph, [68.0, 216.0, 430.0, 18.0], shoonya_0sJK4LST2PJLIN, 6513762]
[paragraph, [68.0, 234.0, 430.0, 18.0], shoonya_0sJK4LST2PJLIN, 6513762]
[paragraph, [68.0, 252.0, 430.0, 18.0], shoonya_0sJK4LST2PJLIN, 6513762]
[paragraph, [68.0, 270.0, 430.0, 18.0], shoonya_0sJK4LST2PJLIN, 6513762]
[paragraph, [68.0, 288.0, 430.0, 18.0], shoonya_0sJK4LST2PJLIN, 6513762]
[paragraph, [66.0, 315.0, 430.0, 18.0], shoonya_1sR9OPLUVT6ZLK, 6513762]
[paragraph, [66.0, 333.0, 430.0, 18.0], shoonya_1sR9OPLUVT6ZLK, 6513762]
[paragraph, [66.0, 351.0, 430.0, 18.0], shoonya_1sR9OPLUVT6ZLK, 6513762]
[paragraph, [66.0, 369.0, 430.0, 18.0], shoonya_1sR9OPLUVT6ZLK, 6513762]
[paragraph, [66.0, 387.0, 430.0, 18.0], shoonya_1sR9OPLUVT6ZLK, 6513762]
[paragraph, [66.0, 405.0, 430.0, 18.0], shoonya_1sR9OPLUVT6ZLK, 6513762]
[paragraph, [66.0, 423.0, 430.0, 18.0], shoonya_1sR9OPLUVT6ZLK, 6513762]
[paragraph, [59.0, 455.0, 436.0, 18.0], shoonya_2sI4XO08OQX57E, 6513762]
[paragraph, [59.0, 473.0, 436.0, 18.0], shoonya_2sI4XO08OQX57E, 6513762]
[paragraph, [59.0, 491.0, 436.0, 18.0], shoonya_2sI4XO08OQX57E, 6513762]
[paragraph, [59.0, 509.0, 436.0, 18.0], shoonya_2sI4XO08OQX57E, 6513762]
[paragraph, [59.0, 527.0, 436.0, 18.0], shoonya_2sI4XO08OQX57E, 6513762]
[paragraph, [59.0, 545.0, 436.0, 18.0], shoonya_2sI4XO08OQX57E, 6513762]
[paragraph, [59.0, 563.0, 436.0, 18.0], shoonya_2sI4XO08OQX57E, 6513762]
[paragraph, [59.0, 581.0, 436.0, 18.0], shoonya_2sI4XO08OQX57E, 6513762]
[reference, [56.0, 618.0, 423.0, 18.0], shoonya_3sZXEZ2RKZ6UUS, 6513762]
[reference, [56.0, 636.0, 423.0, 18.0], shoonya_3sZXEZ2RKZ6UUS, 6513762]
[reference, [56.0, 654.0, 423.0, 18.0], shoonya_3sZXEZ2RKZ6UUS, 6513762]
[reference, [56.0, 672.0, 423.0, 18.0], shoonya_3sZXEZ2RKZ6UUS, 6513762]
[reference, [56.0, 690.0, 423.0, 18.0], shoonya_3sZXEZ2RKZ6UUS, 6513762]
[reference, [56.0, 708.0, 423.0, 18.0], shoonya_3sZXEZ2RKZ6UUS, 6513762]
