[842, 595]
[folio, [370.0, 129.0, 77.0, 18.0], 4WkAA214NF, 6513705]
[paragraph, [127.0, 161.0, 321.0, 18.0], shoonya_0sG76KFWMRU7SI, 6513705]
[paragraph, [126.0, 193.0, 330.0, 18.0], shoonya_3s5XRAZMUE39RM, 6513705]
[paragraph, [126.0, 211.0, 330.0, 18.0], shoonya_3s5XRAZMUE39RM, 6513705]
[paragraph, [126.0, 237.0, 326.0, 18.0], 0PyXyy_7_i, 6513705]
[paragraph, [126.0, 255.0, 326.0, 18.0], 0PyXyy_7_i, 6513705]
[paragraph, [126.0, 273.0, 326.0, 18.0], 0PyXyy_7_i, 6513705]
[paragraph, [126.0, 291.0, 326.0, 18.0], 0PyXyy_7_i, 6513705]
[paragraph, [126.0, 309.0, 326.0, 18.0], 0PyXyy_7_i, 6513705]
[paragraph, [126.0, 327.0, 326.0, 18.0], 0PyXyy_7_i, 6513705]
[paragraph, [123.0, 354.0, 329.0, 18.0], fWvjtuHr9H, 6513705]
[paragraph, [123.0, 372.0, 329.0, 18.0], fWvjtuHr9H, 6513705]
[paragraph, [124.0, 397.0, 331.0, 18.0], dgt1bU0Ste, 6513705]
[paragraph, [124.0, 415.0, 331.0, 18.0], dgt1bU0Ste, 6513705]
[paragraph, [124.0, 433.0, 331.0, 18.0], dgt1bU0Ste, 6513705]
[paragraph, [125.0, 455.0, 331.0, 18.0], UGyyUW1P5Z, 6513705]
[paragraph, [125.0, 473.0, 331.0, 18.0], UGyyUW1P5Z, 6513705]
[paragraph, [125.0, 491.0, 331.0, 18.0], UGyyUW1P5Z, 6513705]
[paragraph, [125.0, 509.0, 331.0, 18.0], UGyyUW1P5Z, 6513705]
[paragraph, [125.0, 527.0, 331.0, 18.0], UGyyUW1P5Z, 6513705]
[paragraph, [125.0, 545.0, 331.0, 18.0], UGyyUW1P5Z, 6513705]
[paragraph, [125.0, 563.0, 331.0, 18.0], UGyyUW1P5Z, 6513705]
[paragraph, [125.0, 581.0, 331.0, 18.0], UGyyUW1P5Z, 6513705]
[paragraph, [125.0, 599.0, 331.0, 18.0], UGyyUW1P5Z, 6513705]
[paragraph, [125.0, 617.0, 331.0, 18.0], UGyyUW1P5Z, 6513705]
[paragraph, [125.0, 635.0, 331.0, 18.0], UGyyUW1P5Z, 6513705]
