[1754, 1241]
[section-title, [112.0, 266.0, 840.0, 49.5], shoonya_5s7KUXIIFBX7LG, 5709131]
[section-title, [414.0, 370.0, 418.0, 49.5], 7RZTlVGAaw, 5709131]
[section-title, [414.0, 419.5, 418.0, 49.5], 7RZTlVGAaw, 5709131]
[ordered-list, [237.0, 538.0, 687.0, 36.0], k9SLP9Glcd, 5709131]
[ordered-list, [237.0, 574.0, 687.0, 36.0], k9SLP9Glcd, 5709131]
[ordered-list, [237.0, 610.0, 687.0, 36.0], k9SLP9Glcd, 5709131]
[ordered-list, [237.0, 646.0, 687.0, 36.0], k9SLP9Glcd, 5709131]
[ordered-list, [237.0, 682.0, 687.0, 36.0], k9SLP9Glcd, 5709131]
[ordered-list, [237.0, 718.0, 687.0, 36.0], k9SLP9Glcd, 5709131]
[ordered-list, [237.0, 754.0, 687.0, 36.0], k9SLP9Glcd, 5709131]
[paragraph, [103.0, 547.0, 128.0, 36.0], RhH4-ZK8hT, 5709131]
[sub-section-title, [108.0, 826.0, 127.0, 36.0], 9QegRqp7dV, 5709131]
[paragraph, [110.0, 889.0, 1018.0, 36.0], shoonya_0sO1OH0HU70TQT, 5709131]
[paragraph, [110.0, 925.0, 1018.0, 36.0], shoonya_0sO1OH0HU70TQT, 5709131]
[paragraph, [110.0, 961.0, 1018.0, 36.0], shoonya_0sO1OH0HU70TQT, 5709131]
[paragraph, [110.0, 997.0, 1018.0, 36.0], shoonya_0sO1OH0HU70TQT, 5709131]
[paragraph, [111.0, 1075.0, 1016.0, 36.0], shoonya_3sLQP7Z0DUW5BU, 5709131]
[paragraph, [111.0, 1111.0, 1016.0, 36.0], shoonya_3sLQP7Z0DUW5BU, 5709131]
[paragraph, [111.0, 1147.0, 1016.0, 36.0], shoonya_3sLQP7Z0DUW5BU, 5709131]
[paragraph, [111.0, 1226.0, 1015.0, 36.0], shoonya_1sC5DAS5NXK9DX, 5709131]
[paragraph, [111.0, 1262.0, 1015.0, 36.0], shoonya_1sC5DAS5NXK9DX, 5709131]
[paragraph, [111.0, 1298.0, 1015.0, 36.0], shoonya_1sC5DAS5NXK9DX, 5709131]
[paragraph, [111.0, 1334.0, 1015.0, 36.0], shoonya_1sC5DAS5NXK9DX, 5709131]
[paragraph, [111.0, 1370.0, 1015.0, 36.0], shoonya_1sC5DAS5NXK9DX, 5709131]
[paragraph, [113.0, 1417.0, 1011.0, 36.0], shoonya_2s16FWVCDLAFBH, 5709131]
[paragraph, [113.0, 1453.0, 1011.0, 36.0], shoonya_2s16FWVCDLAFBH, 5709131]
[paragraph, [113.0, 1489.0, 1011.0, 36.0], shoonya_2s16FWVCDLAFBH, 5709131]
[paragraph, [113.0, 1525.0, 1011.0, 36.0], shoonya_2s16FWVCDLAFBH, 5709131]
[paragraph, [113.0, 1561.0, 1011.0, 36.0], shoonya_2s16FWVCDLAFBH, 5709131]
[paragraph, [113.0, 1597.0, 1011.0, 36.0], shoonya_2s16FWVCDLAFBH, 5709131]
