[1350, 900]
[folio, [512.0, 175.0, 186.0, 18.0], ndX4CDVaH9, 5759924]
[paragraph, [194.0, 228.0, 412.0, 18.0], 8fbFNqVvrF, 5759924]
[paragraph, [194.0, 246.0, 412.0, 18.0], 8fbFNqVvrF, 5759924]
[paragraph, [194.0, 264.0, 412.0, 18.0], 8fbFNqVvrF, 5759924]
[paragraph, [194.0, 282.0, 412.0, 18.0], 8fbFNqVvrF, 5759924]
[paragraph, [194.0, 300.0, 412.0, 18.0], 8fbFNqVvrF, 5759924]
[paragraph, [194.0, 318.0, 412.0, 18.0], 8fbFNqVvrF, 5759924]
[paragraph, [194.0, 336.0, 412.0, 18.0], 8fbFNqVvrF, 5759924]
[sidebar, [616.0, 309.0, 102.0, 18.0], t9t0W6aXHr, 5759924]
[sidebar, [616.0, 327.0, 102.0, 18.0], t9t0W6aXHr, 5759924]
[paragraph, [159.0, 356.0, 560.0, 18.0], SdDto3q0m_, 5759924]
[paragraph, [159.0, 374.0, 560.0, 18.0], SdDto3q0m_, 5759924]
[paragraph, [159.0, 392.0, 560.0, 18.0], SdDto3q0m_, 5759924]
[paragraph, [159.0, 410.0, 560.0, 18.0], SdDto3q0m_, 5759924]
[paragraph, [159.0, 428.0, 560.0, 18.0], SdDto3q0m_, 5759924]
[paragraph, [159.0, 446.0, 560.0, 18.0], SdDto3q0m_, 5759924]
[paragraph, [159.0, 464.0, 560.0, 18.0], SdDto3q0m_, 5759924]
[paragraph, [159.0, 482.0, 560.0, 18.0], SdDto3q0m_, 5759924]
[paragraph, [159.0, 500.0, 560.0, 18.0], SdDto3q0m_, 5759924]
[paragraph, [195.0, 537.0, 438.0, 18.0], l31LK9l33j, 5759924]
[paragraph, [195.0, 555.0, 438.0, 18.0], l31LK9l33j, 5759924]
[paragraph, [195.0, 573.0, 438.0, 18.0], l31LK9l33j, 5759924]
[sidebar, [635.0, 558.0, 81.0, 18.0], FOt_BFvnNU, 5759924]
[sidebar, [635.0, 576.0, 81.0, 18.0], FOt_BFvnNU, 5759924]
[paragraph, [201.0, 610.0, 395.0, 18.0], xn0T0yMBSC, 5759924]
[paragraph, [201.0, 628.0, 395.0, 18.0], xn0T0yMBSC, 5759924]
[paragraph, [201.0, 646.0, 395.0, 18.0], xn0T0yMBSC, 5759924]
[paragraph, [201.0, 664.0, 395.0, 18.0], xn0T0yMBSC, 5759924]
[paragraph, [201.0, 682.0, 395.0, 18.0], xn0T0yMBSC, 5759924]
[paragraph, [201.0, 700.0, 395.0, 18.0], xn0T0yMBSC, 5759924]
[sidebar, [621.0, 687.0, 98.0, 18.0], Eb5Gpp9rvw, 5759924]
[sidebar, [621.0, 705.0, 98.0, 18.0], Eb5Gpp9rvw, 5759924]
[paragraph, [269.0, 791.0, 332.0, 18.0], avZvl_4An-, 5759924]
[paragraph, [186.0, 830.0, 341.0, 18.0], w7ozg9gJQW, 5759924]
[paragraph, [186.0, 848.0, 341.0, 18.0], w7ozg9gJQW, 5759924]
[paragraph, [186.0, 866.0, 341.0, 18.0], w7ozg9gJQW, 5759924]
[paragraph, [152.0, 901.0, 559.0, 18.0], shoonya_0sOG0HZ5GJ1QDA, 5759924]
[paragraph, [152.0, 919.0, 559.0, 18.0], shoonya_0sOG0HZ5GJ1QDA, 5759924]
[paragraph, [152.0, 937.0, 559.0, 18.0], shoonya_0sOG0HZ5GJ1QDA, 5759924]
[paragraph, [152.0, 955.0, 559.0, 18.0], shoonya_0sOG0HZ5GJ1QDA, 5759924]
[paragraph, [152.0, 973.0, 559.0, 18.0], shoonya_0sOG0HZ5GJ1QDA, 5759924]
[paragraph, [152.0, 991.0, 559.0, 18.0], shoonya_0sOG0HZ5GJ1QDA, 5759924]
[paragraph, [152.0, 1009.0, 559.0, 18.0], shoonya_0sOG0HZ5GJ1QDA, 5759924]
[paragraph, [150.0, 1047.0, 561.0, 18.0], shoonya_1sRVA9VO84YOCC, 5759924]
[paragraph, [150.0, 1065.0, 561.0, 18.0], shoonya_1sRVA9VO84YOCC, 5759924]
[paragraph, [150.0, 1083.0, 561.0, 18.0], shoonya_1sRVA9VO84YOCC, 5759924]
[paragraph, [150.0, 1101.0, 561.0, 18.0], shoonya_1sRVA9VO84YOCC, 5759924]
