[2339, 1653]
[paragraph, [326.0, 165.0, 1135.0, 36.0], shoonya_5sKMQMO0LL0YNS, 5733680]
[paragraph, [326.0, 201.0, 1135.0, 36.0], shoonya_5sKMQMO0LL0YNS, 5733680]
[paragraph, [326.0, 275.0, 1135.0, 36.0], shoonya_3s01KNSJT31G1I, 5733680]
[paragraph, [326.0, 311.0, 1135.0, 36.0], shoonya_3s01KNSJT31G1I, 5733680]
[paragraph, [326.0, 347.0, 1135.0, 36.0], shoonya_3s01KNSJT31G1I, 5733680]
[paragraph, [326.0, 383.0, 1135.0, 36.0], shoonya_3s01KNSJT31G1I, 5733680]
[paragraph, [326.0, 419.0, 1135.0, 36.0], shoonya_3s01KNSJT31G1I, 5733680]
[paragraph, [326.0, 455.0, 1135.0, 36.0], shoonya_3s01KNSJT31G1I, 5733680]
[paragraph, [326.0, 491.0, 1135.0, 36.0], shoonya_3s01KNSJT31G1I, 5733680]
[paragraph, [326.0, 527.0, 1135.0, 36.0], shoonya_3s01KNSJT31G1I, 5733680]
[paragraph, [326.0, 563.0, 1135.0, 36.0], shoonya_3s01KNSJT31G1I, 5733680]
[paragraph, [327.0, 610.0, 1135.0, 36.0], shoonya_1sP9SVYABBBTUE, 5733680]
[paragraph, [327.0, 646.0, 1135.0, 36.0], shoonya_1sP9SVYABBBTUE, 5733680]
[paragraph, [327.0, 682.0, 1135.0, 36.0], shoonya_1sP9SVYABBBTUE, 5733680]
[paragraph, [327.0, 718.0, 1135.0, 36.0], shoonya_1sP9SVYABBBTUE, 5733680]
[paragraph, [327.0, 754.0, 1135.0, 36.0], shoonya_1sP9SVYABBBTUE, 5733680]
[paragraph, [327.0, 790.0, 1135.0, 36.0], shoonya_1sP9SVYABBBTUE, 5733680]
[paragraph, [327.0, 826.0, 1135.0, 36.0], shoonya_1sP9SVYABBBTUE, 5733680]
[paragraph, [327.0, 862.0, 1135.0, 36.0], shoonya_1sP9SVYABBBTUE, 5733680]
[paragraph, [327.0, 898.0, 1135.0, 36.0], shoonya_1sP9SVYABBBTUE, 5733680]
[paragraph, [327.0, 934.0, 1135.0, 36.0], shoonya_1sP9SVYABBBTUE, 5733680]
[paragraph, [327.0, 970.0, 1135.0, 36.0], shoonya_1sP9SVYABBBTUE, 5733680]
[paragraph, [327.0, 1006.0, 1135.0, 36.0], shoonya_1sP9SVYABBBTUE, 5733680]
[paragraph, [325.0, 1053.0, 1136.0, 36.0], shoonya_2s0QR0HI4Z7UKG, 5733680]
[paragraph, [325.0, 1089.0, 1136.0, 36.0], shoonya_2s0QR0HI4Z7UKG, 5733680]
[paragraph, [325.0, 1125.0, 1136.0, 36.0], shoonya_2s0QR0HI4Z7UKG, 5733680]
[paragraph, [325.0, 1161.0, 1136.0, 36.0], shoonya_2s0QR0HI4Z7UKG, 5733680]
[paragraph, [325.0, 1197.0, 1136.0, 36.0], shoonya_2s0QR0HI4Z7UKG, 5733680]
[paragraph, [325.0, 1233.0, 1136.0, 36.0], shoonya_2s0QR0HI4Z7UKG, 5733680]
[paragraph, [325.0, 1269.0, 1136.0, 36.0], shoonya_2s0QR0HI4Z7UKG, 5733680]
[paragraph, [325.0, 1305.0, 1136.0, 36.0], shoonya_2s0QR0HI4Z7UKG, 5733680]
[paragraph, [325.0, 1341.0, 1136.0, 36.0], shoonya_2s0QR0HI4Z7UKG, 5733680]
[paragraph, [325.0, 1377.0, 1136.0, 36.0], shoonya_2s0QR0HI4Z7UKG, 5733680]
[paragraph, [325.0, 1413.0, 1136.0, 36.0], shoonya_2s0QR0HI4Z7UKG, 5733680]
[paragraph, [325.0, 1449.0, 1136.0, 36.0], shoonya_2s0QR0HI4Z7UKG, 5733680]
[paragraph, [325.0, 1485.0, 1136.0, 36.0], shoonya_2s0QR0HI4Z7UKG, 5733680]
[paragraph, [325.0, 1521.0, 1136.0, 36.0], shoonya_2s0QR0HI4Z7UKG, 5733680]
[paragraph, [325.0, 1557.0, 1136.0, 36.0], shoonya_2s0QR0HI4Z7UKG, 5733680]
[paragraph, [325.0, 1609.0, 1136.0, 36.0], shoonya_0s9KVSZKJ0CE8U, 5733680]
[paragraph, [325.0, 1645.0, 1136.0, 36.0], shoonya_0s9KVSZKJ0CE8U, 5733680]
[paragraph, [325.0, 1681.0, 1136.0, 36.0], shoonya_0s9KVSZKJ0CE8U, 5733680]
[paragraph, [325.0, 1717.0, 1136.0, 36.0], shoonya_0s9KVSZKJ0CE8U, 5733680]
[paragraph, [325.0, 1753.0, 1136.0, 36.0], shoonya_0s9KVSZKJ0CE8U, 5733680]
[paragraph, [325.0, 1789.0, 1136.0, 36.0], shoonya_0s9KVSZKJ0CE8U, 5733680]
[paragraph, [325.0, 1825.0, 1136.0, 36.0], shoonya_0s9KVSZKJ0CE8U, 5733680]
[paragraph, [325.0, 1861.0, 1136.0, 36.0], shoonya_0s9KVSZKJ0CE8U, 5733680]
[paragraph, [325.0, 1897.0, 1136.0, 36.0], shoonya_0s9KVSZKJ0CE8U, 5733680]
[paragraph, [325.0, 1933.0, 1136.0, 36.0], shoonya_0s9KVSZKJ0CE8U, 5733680]
[paragraph, [325.0, 1969.0, 1136.0, 36.0], shoonya_0s9KVSZKJ0CE8U, 5733680]
[paragraph, [325.0, 2005.0, 1136.0, 36.0], shoonya_0s9KVSZKJ0CE8U, 5733680]
[paragraph, [325.0, 2041.0, 1136.0, 36.0], shoonya_0s9KVSZKJ0CE8U, 5733680]
[folio, [821.0, 2156.0, 562.0, 36.0], 14p4vEhjEJ, 5733680]
