[1650, 1275]
[paragraph, [137.0, 145.0, 1011.0, 36.0], shoonya_2s4IQRTAQNXJNY, 5704582]
[paragraph, [137.0, 181.0, 1011.0, 36.0], shoonya_2s4IQRTAQNXJNY, 5704582]
[paragraph, [137.0, 217.0, 1011.0, 36.0], shoonya_2s4IQRTAQNXJNY, 5704582]
[paragraph, [137.0, 253.0, 1011.0, 36.0], shoonya_2s4IQRTAQNXJNY, 5704582]
[paragraph, [137.0, 289.0, 1011.0, 36.0], shoonya_2s4IQRTAQNXJNY, 5704582]
[paragraph, [137.0, 325.0, 1011.0, 36.0], shoonya_2s4IQRTAQNXJNY, 5704582]
[paragraph, [137.0, 361.0, 1011.0, 36.0], shoonya_2s4IQRTAQNXJNY, 5704582]
[paragraph, [137.0, 397.0, 1011.0, 36.0], shoonya_2s4IQRTAQNXJNY, 5704582]
[paragraph, [137.0, 433.0, 1011.0, 36.0], shoonya_2s4IQRTAQNXJNY, 5704582]
[paragraph, [137.0, 469.0, 1011.0, 36.0], shoonya_2s4IQRTAQNXJNY, 5704582]
[paragraph, [137.0, 505.0, 1011.0, 36.0], shoonya_2s4IQRTAQNXJNY, 5704582]
[paragraph, [137.0, 541.0, 1011.0, 36.0], shoonya_2s4IQRTAQNXJNY, 5704582]
[paragraph, [137.0, 577.0, 1011.0, 36.0], shoonya_2s4IQRTAQNXJNY, 5704582]
[paragraph, [137.0, 613.0, 1011.0, 36.0], shoonya_2s4IQRTAQNXJNY, 5704582]
[paragraph, [137.0, 649.0, 1011.0, 36.0], shoonya_2s4IQRTAQNXJNY, 5704582]
[paragraph, [137.0, 685.0, 1011.0, 36.0], shoonya_2s4IQRTAQNXJNY, 5704582]
[paragraph, [137.0, 721.0, 1011.0, 36.0], shoonya_2s4IQRTAQNXJNY, 5704582]
[paragraph, [137.0, 757.0, 1011.0, 36.0], shoonya_2s4IQRTAQNXJNY, 5704582]
[paragraph, [137.0, 793.0, 1011.0, 36.0], shoonya_2s4IQRTAQNXJNY, 5704582]
[paragraph, [137.0, 829.0, 1011.0, 36.0], shoonya_2s4IQRTAQNXJNY, 5704582]
[paragraph, [137.0, 865.0, 1011.0, 36.0], shoonya_2s4IQRTAQNXJNY, 5704582]
[paragraph, [137.0, 901.0, 1011.0, 36.0], shoonya_2s4IQRTAQNXJNY, 5704582]
[paragraph, [137.0, 937.0, 1011.0, 36.0], shoonya_2s4IQRTAQNXJNY, 5704582]
[paragraph, [137.0, 973.0, 1011.0, 36.0], shoonya_2s4IQRTAQNXJNY, 5704582]
[paragraph, [137.0, 1009.0, 1011.0, 36.0], shoonya_2s4IQRTAQNXJNY, 5704582]
[paragraph, [137.0, 1045.0, 1011.0, 36.0], shoonya_2s4IQRTAQNXJNY, 5704582]
[paragraph, [137.0, 1081.0, 1011.0, 36.0], shoonya_2s4IQRTAQNXJNY, 5704582]
[paragraph, [137.0, 1117.0, 1011.0, 36.0], shoonya_2s4IQRTAQNXJNY, 5704582]
[paragraph, [137.0, 1153.0, 1011.0, 36.0], shoonya_2s4IQRTAQNXJNY, 5704582]
[paragraph, [139.0, 1222.0, 996.0, 36.0], shoonya_0sWBX1C2L1F90X, 5704582]
[paragraph, [139.0, 1258.0, 996.0, 36.0], shoonya_0sWBX1C2L1F90X, 5704582]
[paragraph, [139.0, 1294.0, 996.0, 36.0], shoonya_0sWBX1C2L1F90X, 5704582]
[paragraph, [139.0, 1330.0, 996.0, 36.0], shoonya_0sWBX1C2L1F90X, 5704582]
[paragraph, [139.0, 1366.0, 996.0, 36.0], shoonya_0sWBX1C2L1F90X, 5704582]
[paragraph, [139.0, 1402.0, 996.0, 36.0], shoonya_0sWBX1C2L1F90X, 5704582]
