[843, 612]
[section-title, [238.0, 48.0, 149.0, 30.0], Rmpj1k1arj, 6460605]
[paragraph, [86.0, 97.0, 431.0, 18.0], Gi3au2scB1, 6460605]
[paragraph, [86.0, 115.0, 431.0, 18.0], Gi3au2scB1, 6460605]
[paragraph, [86.0, 133.0, 431.0, 18.0], Gi3au2scB1, 6460605]
[paragraph, [82.0, 168.0, 433.0, 18.0], MgqTTjy81t, 6460605]
[paragraph, [82.0, 186.0, 433.0, 18.0], MgqTTjy81t, 6460605]
[paragraph, [82.0, 204.0, 433.0, 18.0], MgqTTjy81t, 6460605]
[paragraph, [92.0, 225.0, 425.0, 18.0], FkyNcNRcH-, 6460605]
[paragraph, [92.0, 243.0, 425.0, 18.0], FkyNcNRcH-, 6460605]
[paragraph, [92.0, 261.0, 425.0, 18.0], FkyNcNRcH-, 6460605]
[paragraph, [91.0, 286.0, 426.0, 18.0], HyoqREtcGk, 6460605]
[paragraph, [91.0, 304.0, 426.0, 18.0], HyoqREtcGk, 6460605]
[paragraph, [91.0, 322.0, 426.0, 18.0], HyoqREtcGk, 6460605]
[paragraph, [91.0, 340.0, 426.0, 18.0], HyoqREtcGk, 6460605]
[paragraph, [91.0, 358.0, 426.0, 18.0], HyoqREtcGk, 6460605]
[paragraph, [86.0, 377.0, 437.0, 18.0], WJStyAWiNn, 6460605]
[paragraph, [86.0, 395.0, 437.0, 18.0], WJStyAWiNn, 6460605]
[paragraph, [86.0, 413.0, 437.0, 18.0], WJStyAWiNn, 6460605]
[paragraph, [86.0, 431.0, 437.0, 18.0], WJStyAWiNn, 6460605]
[paragraph, [86.0, 449.0, 437.0, 18.0], WJStyAWiNn, 6460605]
[paragraph, [86.0, 467.0, 437.0, 18.0], WJStyAWiNn, 6460605]
[paragraph, [86.0, 485.0, 437.0, 18.0], WJStyAWiNn, 6460605]
[paragraph, [88.0, 496.0, 432.0, 18.0], shoonya_0s32O1N123PM7O, 6460605]
[paragraph, [88.0, 514.0, 432.0, 18.0], shoonya_0s32O1N123PM7O, 6460605]
[paragraph, [88.0, 532.0, 432.0, 18.0], shoonya_0s32O1N123PM7O, 6460605]
[paragraph, [88.0, 550.0, 432.0, 18.0], shoonya_0s32O1N123PM7O, 6460605]
[paragraph, [88.0, 568.0, 432.0, 18.0], shoonya_0s32O1N123PM7O, 6460605]
[paragraph, [88.0, 586.0, 432.0, 18.0], shoonya_0s32O1N123PM7O, 6460605]
[paragraph, [88.0, 604.0, 432.0, 18.0], shoonya_0s32O1N123PM7O, 6460605]
[paragraph, [88.0, 622.0, 432.0, 18.0], shoonya_0s32O1N123PM7O, 6460605]
[paragraph, [88.0, 640.0, 432.0, 18.0], shoonya_0s32O1N123PM7O, 6460605]
[paragraph, [88.0, 658.0, 432.0, 18.0], shoonya_0s32O1N123PM7O, 6460605]
[paragraph, [88.0, 676.0, 432.0, 18.0], shoonya_0s32O1N123PM7O, 6460605]
[paragraph, [88.0, 694.0, 432.0, 18.0], shoonya_0s32O1N123PM7O, 6460605]
[paragraph, [88.0, 712.0, 432.0, 18.0], shoonya_0s32O1N123PM7O, 6460605]
[paragraph, [85.0, 730.0, 441.0, 18.0], IaAOhuTvrM, 6460605]
[paragraph, [85.0, 748.0, 441.0, 18.0], IaAOhuTvrM, 6460605]
[paragraph, [85.0, 766.0, 441.0, 18.0], IaAOhuTvrM, 6460605]
[paragraph, [85.0, 784.0, 441.0, 18.0], IaAOhuTvrM, 6460605]
