[792, 612]
[paragraph, [227.0, 53.0, 158.0, 18.0], k7mfODeC85, 6514722]
[paragraph, [227.0, 71.0, 158.0, 18.0], k7mfODeC85, 6514722]
[paragraph, [227.0, 89.0, 158.0, 18.0], k7mfODeC85, 6514722]
[paragraph, [227.0, 107.0, 158.0, 18.0], k7mfODeC85, 6514722]
[paragraph, [391.0, 53.0, 159.0, 18.0], Sk1Uvrw7EW, 6514722]
[paragraph, [391.0, 71.0, 159.0, 18.0], Sk1Uvrw7EW, 6514722]
[paragraph, [391.0, 89.0, 159.0, 18.0], Sk1Uvrw7EW, 6514722]
[paragraph, [60.0, 69.0, 159.0, 18.0], pdNOkcn1qy, 6514722]
[paragraph, [60.0, 87.0, 159.0, 18.0], pdNOkcn1qy, 6514722]
[paragraph, [60.0, 108.0, 158.0, 18.0], Xvn6UB1YHf, 6514722]
[paragraph, [60.0, 126.0, 158.0, 18.0], Xvn6UB1YHf, 6514722]
[paragraph, [390.0, 121.0, 160.0, 18.0], rITvqyO4Zh, 6514722]
[paragraph, [390.0, 139.0, 160.0, 18.0], rITvqyO4Zh, 6514722]
[paragraph, [390.0, 157.0, 160.0, 18.0], rITvqyO4Zh, 6514722]
[paragraph, [390.0, 175.0, 160.0, 18.0], rITvqyO4Zh, 6514722]
[paragraph, [390.0, 193.0, 160.0, 18.0], rITvqyO4Zh, 6514722]
[paragraph, [227.0, 135.0, 160.0, 18.0], M1uKU4CCHC, 6514722]
[paragraph, [227.0, 153.0, 160.0, 18.0], M1uKU4CCHC, 6514722]
[paragraph, [227.0, 171.0, 160.0, 18.0], M1uKU4CCHC, 6514722]
[paragraph, [227.0, 189.0, 160.0, 18.0], M1uKU4CCHC, 6514722]
[paragraph, [227.0, 207.0, 160.0, 18.0], M1uKU4CCHC, 6514722]
[paragraph, [227.0, 225.0, 160.0, 18.0], M1uKU4CCHC, 6514722]
[paragraph, [227.0, 243.0, 160.0, 18.0], M1uKU4CCHC, 6514722]
[paragraph, [59.0, 147.0, 160.0, 18.0], C5a39hQJ2Y, 6514722]
[paragraph, [59.0, 165.0, 160.0, 18.0], C5a39hQJ2Y, 6514722]
[paragraph, [59.0, 183.0, 160.0, 18.0], C5a39hQJ2Y, 6514722]
[paragraph, [59.0, 201.0, 160.0, 18.0], C5a39hQJ2Y, 6514722]
[paragraph, [59.0, 219.0, 160.0, 18.0], C5a39hQJ2Y, 6514722]
[paragraph, [59.0, 237.0, 160.0, 18.0], C5a39hQJ2Y, 6514722]
[paragraph, [59.0, 255.0, 160.0, 18.0], C5a39hQJ2Y, 6514722]
[paragraph, [59.0, 273.0, 160.0, 18.0], C5a39hQJ2Y, 6514722]
[paragraph, [59.0, 291.0, 160.0, 18.0], C5a39hQJ2Y, 6514722]
[paragraph, [59.0, 309.0, 160.0, 18.0], C5a39hQJ2Y, 6514722]
[paragraph, [59.0, 327.0, 160.0, 18.0], C5a39hQJ2Y, 6514722]
[paragraph, [59.0, 345.0, 160.0, 18.0], C5a39hQJ2Y, 6514722]
[paragraph, [390.0, 214.0, 160.0, 18.0], KPZOs9DRBY, 6514722]
[paragraph, [390.0, 232.0, 160.0, 18.0], KPZOs9DRBY, 6514722]
[paragraph, [390.0, 250.0, 160.0, 18.0], KPZOs9DRBY, 6514722]
[paragraph, [390.0, 268.0, 160.0, 18.0], KPZOs9DRBY, 6514722]
[paragraph, [390.0, 286.0, 160.0, 18.0], KPZOs9DRBY, 6514722]
[paragraph, [390.0, 304.0, 160.0, 18.0], KPZOs9DRBY, 6514722]
[paragraph, [390.0, 322.0, 160.0, 18.0], KPZOs9DRBY, 6514722]
[paragraph, [227.0, 267.0, 159.0, 18.0], ePv8ONpdJ0, 6514722]
[paragraph, [227.0, 285.0, 159.0, 18.0], ePv8ONpdJ0, 6514722]
[paragraph, [227.0, 306.0, 158.0, 18.0], GDFoFtjpn8, 6514722]
[paragraph, [226.0, 333.0, 158.0, 18.0], boepr3xGmR, 6514722]
[paragraph, [226.0, 351.0, 158.0, 18.0], boepr3xGmR, 6514722]
[paragraph, [226.0, 369.0, 158.0, 18.0], boepr3xGmR, 6514722]
[paragraph, [226.0, 387.0, 158.0, 18.0], boepr3xGmR, 6514722]
[paragraph, [389.0, 347.0, 162.0, 18.0], xj2cLm8NLd, 6514722]
[paragraph, [389.0, 365.0, 162.0, 18.0], xj2cLm8NLd, 6514722]
[paragraph, [389.0, 383.0, 162.0, 18.0], xj2cLm8NLd, 6514722]
[paragraph, [61.0, 372.0, 159.0, 18.0], rvB9GN9cfa, 6514722]
[paragraph, [61.0, 390.0, 159.0, 18.0], rvB9GN9cfa, 6514722]
[paragraph, [61.0, 408.0, 159.0, 18.0], rvB9GN9cfa, 6514722]
[paragraph, [61.0, 426.0, 159.0, 18.0], rvB9GN9cfa, 6514722]
[paragraph, [61.0, 444.0, 159.0, 18.0], rvB9GN9cfa, 6514722]
[paragraph, [61.0, 462.0, 159.0, 18.0], rvB9GN9cfa, 6514722]
[paragraph, [61.0, 480.0, 159.0, 18.0], rvB9GN9cfa, 6514722]
[paragraph, [61.0, 498.0, 159.0, 18.0], rvB9GN9cfa, 6514722]
[paragraph, [61.0, 516.0, 159.0, 18.0], rvB9GN9cfa, 6514722]
[paragraph, [61.0, 534.0, 159.0, 18.0], rvB9GN9cfa, 6514722]
[paragraph, [61.0, 552.0, 159.0, 18.0], rvB9GN9cfa, 6514722]
[paragraph, [225.0, 411.0, 160.0, 18.0], xREJ_P7QPr, 6514722]
[paragraph, [225.0, 429.0, 160.0, 18.0], xREJ_P7QPr, 6514722]
[paragraph, [225.0, 447.0, 160.0, 18.0], xREJ_P7QPr, 6514722]
[paragraph, [225.0, 465.0, 160.0, 18.0], xREJ_P7QPr, 6514722]
[paragraph, [225.0, 483.0, 160.0, 18.0], xREJ_P7QPr, 6514722]
