[2338, 1654]
[paragraph, [182.0, 219.0, 1198.0, 36.0], shoonya_1sH3YO3UERDTA2, 5753425]
[paragraph, [182.0, 255.0, 1198.0, 36.0], shoonya_1sH3YO3UERDTA2, 5753425]
[paragraph, [182.0, 291.0, 1198.0, 36.0], shoonya_1sH3YO3UERDTA2, 5753425]
[paragraph, [182.0, 327.0, 1198.0, 36.0], shoonya_1sH3YO3UERDTA2, 5753425]
[paragraph, [182.0, 363.0, 1198.0, 36.0], shoonya_1sH3YO3UERDTA2, 5753425]
[paragraph, [182.0, 399.0, 1198.0, 36.0], shoonya_1sH3YO3UERDTA2, 5753425]
[paragraph, [182.0, 435.0, 1198.0, 36.0], shoonya_1sH3YO3UERDTA2, 5753425]
[paragraph, [182.0, 471.0, 1198.0, 36.0], shoonya_1sH3YO3UERDTA2, 5753425]
[paragraph, [182.0, 507.0, 1198.0, 36.0], shoonya_1sH3YO3UERDTA2, 5753425]
[paragraph, [182.0, 543.0, 1198.0, 36.0], shoonya_1sH3YO3UERDTA2, 5753425]
[paragraph, [182.0, 579.0, 1198.0, 36.0], shoonya_1sH3YO3UERDTA2, 5753425]
[paragraph, [182.0, 615.0, 1198.0, 36.0], shoonya_1sH3YO3UERDTA2, 5753425]
[paragraph, [182.0, 651.0, 1198.0, 36.0], shoonya_1sH3YO3UERDTA2, 5753425]
[paragraph, [182.0, 687.0, 1198.0, 36.0], shoonya_1sH3YO3UERDTA2, 5753425]
[paragraph, [182.0, 723.0, 1198.0, 36.0], shoonya_1sH3YO3UERDTA2, 5753425]
[paragraph, [182.0, 759.0, 1198.0, 36.0], shoonya_1sH3YO3UERDTA2, 5753425]
[paragraph, [182.0, 795.0, 1198.0, 36.0], shoonya_1sH3YO3UERDTA2, 5753425]
[paragraph, [182.0, 831.0, 1198.0, 36.0], shoonya_1sH3YO3UERDTA2, 5753425]
[paragraph, [182.0, 867.0, 1198.0, 36.0], shoonya_1sH3YO3UERDTA2, 5753425]
[paragraph, [182.0, 903.0, 1198.0, 36.0], shoonya_1sH3YO3UERDTA2, 5753425]
[paragraph, [182.0, 939.0, 1198.0, 36.0], shoonya_1sH3YO3UERDTA2, 5753425]
[paragraph, [182.0, 975.0, 1198.0, 36.0], shoonya_1sH3YO3UERDTA2, 5753425]
[paragraph, [182.0, 1011.0, 1198.0, 36.0], shoonya_1sH3YO3UERDTA2, 5753425]
[paragraph, [182.0, 1047.0, 1198.0, 36.0], shoonya_1sH3YO3UERDTA2, 5753425]
[paragraph, [182.0, 1083.0, 1198.0, 36.0], shoonya_1sH3YO3UERDTA2, 5753425]
[paragraph, [182.0, 1119.0, 1198.0, 36.0], shoonya_1sH3YO3UERDTA2, 5753425]
[paragraph, [182.0, 1155.0, 1198.0, 36.0], shoonya_1sH3YO3UERDTA2, 5753425]
[paragraph, [189.0, 1230.0, 1189.0, 36.0], shoonya_0sNYY47C0IBV84, 5753425]
[paragraph, [189.0, 1266.0, 1189.0, 36.0], shoonya_0sNYY47C0IBV84, 5753425]
[paragraph, [189.0, 1302.0, 1189.0, 36.0], shoonya_0sNYY47C0IBV84, 5753425]
[paragraph, [189.0, 1338.0, 1189.0, 36.0], shoonya_0sNYY47C0IBV84, 5753425]
[paragraph, [189.0, 1374.0, 1189.0, 36.0], shoonya_0sNYY47C0IBV84, 5753425]
[paragraph, [189.0, 1410.0, 1189.0, 36.0], shoonya_0sNYY47C0IBV84, 5753425]
[paragraph, [189.0, 1446.0, 1189.0, 36.0], shoonya_0sNYY47C0IBV84, 5753425]
[paragraph, [189.0, 1482.0, 1189.0, 36.0], shoonya_0sNYY47C0IBV84, 5753425]
[paragraph, [189.0, 1518.0, 1189.0, 36.0], shoonya_0sNYY47C0IBV84, 5753425]
[paragraph, [189.0, 1554.0, 1189.0, 36.0], shoonya_0sNYY47C0IBV84, 5753425]
[paragraph, [189.0, 1590.0, 1189.0, 36.0], shoonya_0sNYY47C0IBV84, 5753425]
[paragraph, [189.0, 1626.0, 1189.0, 36.0], shoonya_0sNYY47C0IBV84, 5753425]
[paragraph, [189.0, 1662.0, 1189.0, 36.0], shoonya_0sNYY47C0IBV84, 5753425]
[paragraph, [189.0, 1698.0, 1189.0, 36.0], shoonya_0sNYY47C0IBV84, 5753425]
[paragraph, [189.0, 1734.0, 1189.0, 36.0], shoonya_0sNYY47C0IBV84, 5753425]
[paragraph, [189.0, 1770.0, 1189.0, 36.0], shoonya_0sNYY47C0IBV84, 5753425]
[paragraph, [189.0, 1806.0, 1189.0, 36.0], shoonya_0sNYY47C0IBV84, 5753425]
[paragraph, [189.0, 1842.0, 1189.0, 36.0], shoonya_0sNYY47C0IBV84, 5753425]
[paragraph, [189.0, 1878.0, 1189.0, 36.0], shoonya_0sNYY47C0IBV84, 5753425]
[paragraph, [189.0, 1914.0, 1189.0, 36.0], shoonya_0sNYY47C0IBV84, 5753425]
[paragraph, [189.0, 1950.0, 1189.0, 36.0], shoonya_0sNYY47C0IBV84, 5753425]
[paragraph, [189.0, 1986.0, 1189.0, 36.0], shoonya_0sNYY47C0IBV84, 5753425]
[paragraph, [189.0, 2022.0, 1189.0, 36.0], shoonya_0sNYY47C0IBV84, 5753425]
[paragraph, [189.0, 2058.0, 1189.0, 36.0], shoonya_0sNYY47C0IBV84, 5753425]
[paragraph, [189.0, 2094.0, 1189.0, 36.0], shoonya_0sNYY47C0IBV84, 5753425]
