[1545, 2000]
[section-title, [1343.0, 79.0, 649.0, 49.5], saSJLejK5U, 6532417]
[section-title, [1343.0, 128.5, 649.0, 49.5], saSJLejK5U, 6532417]
[section-title, [1343.0, 178.0, 649.0, 49.5], saSJLejK5U, 6532417]
[section-title, [709.0, 97.0, 586.0, 49.5], 1zc2-r_WGq, 6532417]
[folio, [114.0, 142.0, 404.0, 36.0], 0Qv17pH84O, 6532417]
[folio, [114.0, 178.0, 404.0, 36.0], 0Qv17pH84O, 6532417]
[paragraph, [686.0, 179.0, 599.0, 36.0], CDk1-kcpuf, 6532417]
[paragraph, [686.0, 215.0, 599.0, 36.0], CDk1-kcpuf, 6532417]
[paragraph, [686.0, 251.0, 599.0, 36.0], CDk1-kcpuf, 6532417]
[paragraph, [686.0, 287.0, 599.0, 36.0], CDk1-kcpuf, 6532417]
[paragraph, [686.0, 323.0, 599.0, 36.0], CDk1-kcpuf, 6532417]
[paragraph, [686.0, 359.0, 599.0, 36.0], CDk1-kcpuf, 6532417]
[paragraph, [686.0, 395.0, 599.0, 36.0], CDk1-kcpuf, 6532417]
[paragraph, [686.0, 431.0, 599.0, 36.0], CDk1-kcpuf, 6532417]
[paragraph, [686.0, 467.0, 599.0, 36.0], CDk1-kcpuf, 6532417]
[paragraph, [686.0, 503.0, 599.0, 36.0], CDk1-kcpuf, 6532417]
[paragraph, [686.0, 539.0, 599.0, 36.0], CDk1-kcpuf, 6532417]
[headline, [37.0, 237.0, 564.0, 37.5], hLBQSvs-qY, 6532417]
[headline, [37.0, 274.5, 564.0, 37.5], hLBQSvs-qY, 6532417]
[headline, [37.0, 312.0, 564.0, 37.5], hLBQSvs-qY, 6532417]
[headline, [37.0, 349.5, 564.0, 37.5], hLBQSvs-qY, 6532417]
[headline, [37.0, 387.0, 564.0, 37.5], hLBQSvs-qY, 6532417]
[headline, [37.0, 424.5, 564.0, 37.5], hLBQSvs-qY, 6532417]
[headline, [37.0, 462.0, 564.0, 37.5], hLBQSvs-qY, 6532417]
[headline, [37.0, 499.5, 564.0, 37.5], hLBQSvs-qY, 6532417]
[paragraph, [1373.0, 324.0, 579.0, 36.0], PXlhGuopQW, 6532417]
[paragraph, [1373.0, 360.0, 579.0, 36.0], PXlhGuopQW, 6532417]
[paragraph, [1373.0, 396.0, 579.0, 36.0], PXlhGuopQW, 6532417]
[paragraph, [1373.0, 432.0, 579.0, 36.0], PXlhGuopQW, 6532417]
[paragraph, [1373.0, 468.0, 579.0, 36.0], PXlhGuopQW, 6532417]
[paragraph, [1373.0, 504.0, 579.0, 36.0], PXlhGuopQW, 6532417]
[paragraph, [1373.0, 540.0, 579.0, 36.0], PXlhGuopQW, 6532417]
[paragraph, [1373.0, 576.0, 579.0, 36.0], PXlhGuopQW, 6532417]
[paragraph, [1373.0, 612.0, 579.0, 36.0], PXlhGuopQW, 6532417]
[paragraph, [1373.0, 648.0, 579.0, 36.0], PXlhGuopQW, 6532417]
[paragraph, [1373.0, 684.0, 579.0, 36.0], PXlhGuopQW, 6532417]
[paragraph, [59.0, 611.0, 561.0, 36.0], vAxxh4IGId, 6532417]
[paragraph, [59.0, 647.0, 561.0, 36.0], vAxxh4IGId, 6532417]
[paragraph, [59.0, 683.0, 561.0, 36.0], vAxxh4IGId, 6532417]
[paragraph, [59.0, 719.0, 561.0, 36.0], vAxxh4IGId, 6532417]
[paragraph, [59.0, 755.0, 561.0, 36.0], vAxxh4IGId, 6532417]
[paragraph, [59.0, 791.0, 561.0, 36.0], vAxxh4IGId, 6532417]
[paragraph, [59.0, 827.0, 561.0, 36.0], vAxxh4IGId, 6532417]
[paragraph, [59.0, 863.0, 561.0, 36.0], vAxxh4IGId, 6532417]
[paragraph, [59.0, 899.0, 561.0, 36.0], vAxxh4IGId, 6532417]
