[1004, 621]
[paragraph, [38.0, 101.0, 543.0, 18.0], SVAF0QvdCP, 5740991]
[paragraph, [38.0, 119.0, 543.0, 18.0], SVAF0QvdCP, 5740991]
[paragraph, [38.0, 137.0, 543.0, 18.0], SVAF0QvdCP, 5740991]
[paragraph, [38.0, 155.0, 543.0, 18.0], SVAF0QvdCP, 5740991]
[paragraph, [30.0, 188.0, 558.0, 18.0], AxEXE9f7hX, 5740991]
[paragraph, [30.0, 206.0, 558.0, 18.0], AxEXE9f7hX, 5740991]
[paragraph, [30.0, 224.0, 558.0, 18.0], AxEXE9f7hX, 5740991]
[paragraph, [30.0, 242.0, 558.0, 18.0], AxEXE9f7hX, 5740991]
[paragraph, [30.0, 260.0, 558.0, 18.0], AxEXE9f7hX, 5740991]
[paragraph, [30.0, 278.0, 558.0, 18.0], AxEXE9f7hX, 5740991]
[paragraph, [30.0, 296.0, 558.0, 18.0], AxEXE9f7hX, 5740991]
[paragraph, [30.0, 314.0, 558.0, 18.0], AxEXE9f7hX, 5740991]
[paragraph, [30.0, 332.0, 558.0, 18.0], AxEXE9f7hX, 5740991]
[paragraph, [30.0, 350.0, 558.0, 18.0], AxEXE9f7hX, 5740991]
[paragraph, [30.0, 368.0, 558.0, 18.0], AxEXE9f7hX, 5740991]
[paragraph, [30.0, 386.0, 558.0, 18.0], AxEXE9f7hX, 5740991]
[paragraph, [30.0, 404.0, 558.0, 18.0], AxEXE9f7hX, 5740991]
[paragraph, [30.0, 422.0, 558.0, 18.0], AxEXE9f7hX, 5740991]
[paragraph, [30.0, 440.0, 558.0, 18.0], AxEXE9f7hX, 5740991]
[paragraph, [30.0, 458.0, 558.0, 18.0], AxEXE9f7hX, 5740991]
[paragraph, [30.0, 476.0, 558.0, 18.0], AxEXE9f7hX, 5740991]
[paragraph, [30.0, 494.0, 558.0, 18.0], AxEXE9f7hX, 5740991]
[paragraph, [30.0, 512.0, 558.0, 18.0], AxEXE9f7hX, 5740991]
[paragraph, [30.0, 530.0, 558.0, 18.0], AxEXE9f7hX, 5740991]
