[1948, 1214]
[folio, [889.0, 169.0, 181.0, 36.0], shoonya_5s3YCV50Z6HGW1, 5732040]
[paragraph, [107.0, 238.0, 955.0, 36.0], shoonya_7s0F2AE9TH29NB, 5732040]
[paragraph, [107.0, 274.0, 955.0, 36.0], shoonya_7s0F2AE9TH29NB, 5732040]
[paragraph, [107.0, 310.0, 955.0, 36.0], shoonya_7s0F2AE9TH29NB, 5732040]
[paragraph, [222.0, 354.0, 745.0, 36.0], shoonya_8sKTSMX3IZEHWJ, 5732040]
[paragraph, [222.0, 390.0, 745.0, 36.0], shoonya_8sKTSMX3IZEHWJ, 5732040]
[paragraph, [222.0, 426.0, 745.0, 36.0], shoonya_8sKTSMX3IZEHWJ, 5732040]
[paragraph, [222.0, 462.0, 745.0, 36.0], shoonya_8sKTSMX3IZEHWJ, 5732040]
[paragraph, [798.0, 531.0, 221.0, 36.0], 8Wmxvom0lF, 5732040]
[paragraph, [106.0, 585.0, 755.0, 36.0], shoonya_2sLP4VMWCLRDG6, 5732040]
[paragraph, [110.0, 655.0, 947.0, 36.0], shoonya_1sGOIB18VJ3LE3, 5732040]
[paragraph, [110.0, 691.0, 947.0, 36.0], shoonya_1sGOIB18VJ3LE3, 5732040]
[paragraph, [110.0, 727.0, 947.0, 36.0], shoonya_1sGOIB18VJ3LE3, 5732040]
[paragraph, [110.0, 763.0, 947.0, 36.0], shoonya_1sGOIB18VJ3LE3, 5732040]
[paragraph, [110.0, 799.0, 947.0, 36.0], shoonya_1sGOIB18VJ3LE3, 5732040]
[paragraph, [110.0, 835.0, 947.0, 36.0], shoonya_1sGOIB18VJ3LE3, 5732040]
[paragraph, [110.0, 871.0, 947.0, 36.0], shoonya_1sGOIB18VJ3LE3, 5732040]
[paragraph, [110.0, 907.0, 947.0, 36.0], shoonya_1sGOIB18VJ3LE3, 5732040]
[paragraph, [110.0, 943.0, 947.0, 36.0], shoonya_1sGOIB18VJ3LE3, 5732040]
[paragraph, [110.0, 979.0, 947.0, 36.0], shoonya_1sGOIB18VJ3LE3, 5732040]
[paragraph, [110.0, 1015.0, 947.0, 36.0], shoonya_1sGOIB18VJ3LE3, 5732040]
[paragraph, [271.0, 1082.0, 627.0, 36.0], rX8pDn3efd, 5732040]
[paragraph, [116.0, 1143.0, 809.0, 36.0], shoonya_3sS97YRGGKPB6A, 5732040]
[paragraph, [116.0, 1179.0, 809.0, 36.0], shoonya_3sS97YRGGKPB6A, 5732040]
[paragraph, [117.0, 1252.0, 717.0, 36.0], shoonya_4sVMG6YM052UIY, 5732040]
[paragraph, [117.0, 1288.0, 717.0, 36.0], shoonya_4sVMG6YM052UIY, 5732040]
[paragraph, [120.0, 1372.0, 941.0, 36.0], shoonya_0sNLBUZ2P53YAD, 5732040]
[paragraph, [120.0, 1408.0, 941.0, 36.0], shoonya_0sNLBUZ2P53YAD, 5732040]
[paragraph, [120.0, 1444.0, 941.0, 36.0], shoonya_0sNLBUZ2P53YAD, 5732040]
[paragraph, [120.0, 1480.0, 941.0, 36.0], shoonya_0sNLBUZ2P53YAD, 5732040]
[paragraph, [120.0, 1516.0, 941.0, 36.0], shoonya_0sNLBUZ2P53YAD, 5732040]
[paragraph, [120.0, 1552.0, 941.0, 36.0], shoonya_0sNLBUZ2P53YAD, 5732040]
[paragraph, [120.0, 1588.0, 941.0, 36.0], shoonya_0sNLBUZ2P53YAD, 5732040]
[paragraph, [120.0, 1624.0, 941.0, 36.0], shoonya_0sNLBUZ2P53YAD, 5732040]
[paragraph, [120.0, 1660.0, 941.0, 36.0], shoonya_0sNLBUZ2P53YAD, 5732040]
[paragraph, [129.0, 1740.0, 930.0, 36.0], shoonya_6sRW30Q9OX92YB, 5732040]
[paragraph, [129.0, 1776.0, 930.0, 36.0], shoonya_6sRW30Q9OX92YB, 5732040]
[folio, [510.0, 1849.0, 193.0, 36.0], SeeCNIGJgG, 5732040]
