[1565, 1152]
[paragraph, [105.0, 115.0, 286.0, 36.0], shoonya_10sBT8LOC2DIP9, 5712819]
[paragraph, [105.0, 151.0, 286.0, 36.0], shoonya_10sBT8LOC2DIP9, 5712819]
[paragraph, [105.0, 187.0, 286.0, 36.0], shoonya_10sBT8LOC2DIP9, 5712819]
[paragraph, [105.0, 223.0, 286.0, 36.0], shoonya_10sBT8LOC2DIP9, 5712819]
[paragraph, [416.0, 118.0, 309.0, 36.0], shoonya_13sB54R6DEC3XP, 5712819]
[paragraph, [416.0, 154.0, 309.0, 36.0], shoonya_13sB54R6DEC3XP, 5712819]
[paragraph, [416.0, 190.0, 309.0, 36.0], shoonya_13sB54R6DEC3XP, 5712819]
[paragraph, [732.0, 120.0, 302.0, 36.0], shoonya_9s01QUF1OIYT78, 5712819]
[paragraph, [732.0, 156.0, 302.0, 36.0], shoonya_9s01QUF1OIYT78, 5712819]
[paragraph, [732.0, 192.0, 302.0, 36.0], shoonya_9s01QUF1OIYT78, 5712819]
[paragraph, [732.0, 228.0, 302.0, 36.0], shoonya_9s01QUF1OIYT78, 5712819]
[paragraph, [732.0, 264.0, 302.0, 36.0], shoonya_9s01QUF1OIYT78, 5712819]
[paragraph, [106.0, 261.0, 309.0, 36.0], shoonya_1sLPN5BYATF4YU, 5712819]
[paragraph, [106.0, 297.0, 309.0, 36.0], shoonya_1sLPN5BYATF4YU, 5712819]
[paragraph, [106.0, 333.0, 309.0, 36.0], shoonya_1sLPN5BYATF4YU, 5712819]
[paragraph, [106.0, 369.0, 309.0, 36.0], shoonya_1sLPN5BYATF4YU, 5712819]
[paragraph, [429.0, 273.0, 276.0, 36.0], shoonya_3s37ULN8TVNRB0, 5712819]
[paragraph, [429.0, 309.0, 276.0, 36.0], shoonya_3s37ULN8TVNRB0, 5712819]
[paragraph, [429.0, 345.0, 276.0, 36.0], shoonya_3s37ULN8TVNRB0, 5712819]
[paragraph, [429.0, 381.0, 276.0, 36.0], shoonya_3s37ULN8TVNRB0, 5712819]
[paragraph, [429.0, 417.0, 276.0, 36.0], shoonya_3s37ULN8TVNRB0, 5712819]
[headline, [729.0, 310.0, 216.0, 37.5], KzuwVZHnqV, 5712819]
[paragraph, [728.0, 355.0, 315.0, 36.0], shoonya_5sEZKVBIJZHR8G, 5712819]
[paragraph, [728.0, 391.0, 315.0, 36.0], shoonya_5sEZKVBIJZHR8G, 5712819]
[paragraph, [728.0, 427.0, 315.0, 36.0], shoonya_5sEZKVBIJZHR8G, 5712819]
[paragraph, [728.0, 463.0, 315.0, 36.0], shoonya_5sEZKVBIJZHR8G, 5712819]
[paragraph, [728.0, 499.0, 315.0, 36.0], shoonya_5sEZKVBIJZHR8G, 5712819]
[paragraph, [728.0, 535.0, 315.0, 36.0], shoonya_5sEZKVBIJZHR8G, 5712819]
[paragraph, [728.0, 571.0, 315.0, 36.0], shoonya_5sEZKVBIJZHR8G, 5712819]
[paragraph, [728.0, 607.0, 315.0, 36.0], shoonya_5sEZKVBIJZHR8G, 5712819]
[paragraph, [728.0, 643.0, 315.0, 36.0], shoonya_5sEZKVBIJZHR8G, 5712819]
[paragraph, [728.0, 679.0, 315.0, 36.0], shoonya_5sEZKVBIJZHR8G, 5712819]
[paragraph, [728.0, 715.0, 315.0, 36.0], shoonya_5sEZKVBIJZHR8G, 5712819]
[paragraph, [728.0, 751.0, 315.0, 36.0], shoonya_5sEZKVBIJZHR8G, 5712819]
[paragraph, [728.0, 787.0, 315.0, 36.0], shoonya_5sEZKVBIJZHR8G, 5712819]
[paragraph, [728.0, 823.0, 315.0, 36.0], shoonya_5sEZKVBIJZHR8G, 5712819]
[paragraph, [728.0, 859.0, 315.0, 36.0], shoonya_5sEZKVBIJZHR8G, 5712819]
[paragraph, [728.0, 895.0, 315.0, 36.0], shoonya_5sEZKVBIJZHR8G, 5712819]
[paragraph, [728.0, 931.0, 315.0, 36.0], shoonya_5sEZKVBIJZHR8G, 5712819]
[paragraph, [104.0, 424.0, 310.0, 36.0], shoonya_4s8A8KWC78U8TN, 5712819]
[paragraph, [104.0, 460.0, 310.0, 36.0], shoonya_4s8A8KWC78U8TN, 5712819]
[paragraph, [104.0, 496.0, 310.0, 36.0], shoonya_4s8A8KWC78U8TN, 5712819]
[paragraph, [104.0, 532.0, 310.0, 36.0], shoonya_4s8A8KWC78U8TN, 5712819]
[paragraph, [104.0, 568.0, 310.0, 36.0], shoonya_4s8A8KWC78U8TN, 5712819]
[paragraph, [104.0, 604.0, 310.0, 36.0], shoonya_4s8A8KWC78U8TN, 5712819]
[paragraph, [104.0, 640.0, 310.0, 36.0], shoonya_4s8A8KWC78U8TN, 5712819]
[paragraph, [104.0, 676.0, 310.0, 36.0], shoonya_4s8A8KWC78U8TN, 5712819]
[paragraph, [104.0, 712.0, 310.0, 36.0], shoonya_4s8A8KWC78U8TN, 5712819]
[paragraph, [416.0, 753.0, 285.0, 36.0], shoonya_16sW4HDI28GM6J, 5712819]
[paragraph, [103.0, 775.0, 311.0, 36.0], shoonya_0sRJVU4VSTURHZ, 5712819]
[paragraph, [103.0, 811.0, 311.0, 36.0], shoonya_0sRJVU4VSTURHZ, 5712819]
[paragraph, [103.0, 847.0, 311.0, 36.0], shoonya_0sRJVU4VSTURHZ, 5712819]
[paragraph, [103.0, 883.0, 311.0, 36.0], shoonya_0sRJVU4VSTURHZ, 5712819]
[paragraph, [103.0, 919.0, 311.0, 36.0], shoonya_0sRJVU4VSTURHZ, 5712819]
[paragraph, [103.0, 955.0, 311.0, 36.0], shoonya_0sRJVU4VSTURHZ, 5712819]
[paragraph, [103.0, 991.0, 311.0, 36.0], shoonya_0sRJVU4VSTURHZ, 5712819]
[paragraph, [103.0, 1027.0, 311.0, 36.0], shoonya_0sRJVU4VSTURHZ, 5712819]
[paragraph, [103.0, 1063.0, 311.0, 36.0], shoonya_0sRJVU4VSTURHZ, 5712819]
[paragraph, [103.0, 1099.0, 311.0, 36.0], shoonya_0sRJVU4VSTURHZ, 5712819]
[paragraph, [419.0, 815.0, 307.0, 36.0], shoonya_14sFM7RLZ3FYPK, 5712819]
[paragraph, [419.0, 851.0, 307.0, 36.0], shoonya_14sFM7RLZ3FYPK, 5712819]
[paragraph, [419.0, 887.0, 307.0, 36.0], shoonya_14sFM7RLZ3FYPK, 5712819]
[paragraph, [419.0, 923.0, 307.0, 36.0], shoonya_14sFM7RLZ3FYPK, 5712819]
[paragraph, [419.0, 959.0, 307.0, 36.0], shoonya_14sFM7RLZ3FYPK, 5712819]
[paragraph, [733.0, 980.0, 291.0, 36.0], shoonya_7sXIEASMRAVBEZ, 5712819]
[paragraph, [733.0, 1016.0, 291.0, 36.0], shoonya_7sXIEASMRAVBEZ, 5712819]
[paragraph, [733.0, 1052.0, 291.0, 36.0], shoonya_7sXIEASMRAVBEZ, 5712819]
[paragraph, [419.0, 1010.0, 305.0, 36.0], shoonya_2sS1PV7R0GCX7T, 5712819]
[paragraph, [419.0, 1046.0, 305.0, 36.0], shoonya_2sS1PV7R0GCX7T, 5712819]
[paragraph, [419.0, 1082.0, 305.0, 36.0], shoonya_2sS1PV7R0GCX7T, 5712819]
[paragraph, [419.0, 1118.0, 305.0, 36.0], shoonya_2sS1PV7R0GCX7T, 5712819]
[paragraph, [419.0, 1154.0, 305.0, 36.0], shoonya_2sS1PV7R0GCX7T, 5712819]
[paragraph, [419.0, 1190.0, 305.0, 36.0], shoonya_2sS1PV7R0GCX7T, 5712819]
[paragraph, [419.0, 1226.0, 305.0, 36.0], shoonya_2sS1PV7R0GCX7T, 5712819]
[paragraph, [419.0, 1262.0, 305.0, 36.0], shoonya_2sS1PV7R0GCX7T, 5712819]
[paragraph, [419.0, 1298.0, 305.0, 36.0], shoonya_2sS1PV7R0GCX7T, 5712819]
[paragraph, [419.0, 1334.0, 305.0, 36.0], shoonya_2sS1PV7R0GCX7T, 5712819]
[paragraph, [419.0, 1370.0, 305.0, 36.0], shoonya_2sS1PV7R0GCX7T, 5712819]
[paragraph, [730.0, 1093.0, 311.0, 36.0], shoonya_8s91J3356953L3, 5712819]
[paragraph, [730.0, 1129.0, 311.0, 36.0], shoonya_8s91J3356953L3, 5712819]
[paragraph, [730.0, 1165.0, 311.0, 36.0], shoonya_8s91J3356953L3, 5712819]
[paragraph, [730.0, 1201.0, 311.0, 36.0], shoonya_8s91J3356953L3, 5712819]
[paragraph, [730.0, 1237.0, 311.0, 36.0], shoonya_8s91J3356953L3, 5712819]
[paragraph, [730.0, 1273.0, 311.0, 36.0], shoonya_8s91J3356953L3, 5712819]
[paragraph, [730.0, 1309.0, 311.0, 36.0], shoonya_8s91J3356953L3, 5712819]
[paragraph, [103.0, 1170.0, 311.0, 36.0], shoonya_11s40H7Z2Y15TJ, 5712819]
[paragraph, [103.0, 1206.0, 311.0, 36.0], shoonya_11s40H7Z2Y15TJ, 5712819]
[paragraph, [103.0, 1242.0, 311.0, 36.0], shoonya_11s40H7Z2Y15TJ, 5712819]
[paragraph, [103.0, 1278.0, 311.0, 36.0], shoonya_11s40H7Z2Y15TJ, 5712819]
[paragraph, [103.0, 1314.0, 311.0, 36.0], shoonya_11s40H7Z2Y15TJ, 5712819]
[paragraph, [103.0, 1350.0, 311.0, 36.0], shoonya_11s40H7Z2Y15TJ, 5712819]
[paragraph, [103.0, 1386.0, 311.0, 36.0], shoonya_11s40H7Z2Y15TJ, 5712819]
[author, [861.0, 1363.0, 169.0, 36.0], L4sPXthkRj, 5712819]
