[680, 510]
[folio, [321.0, 30.0, 122.0, 18.0], cETTDLhu96, 5761707]
[paragraph, [36.0, 59.0, 216.0, 18.0], -hBHE_EIls, 5761707]
[paragraph, [36.0, 77.0, 216.0, 18.0], -hBHE_EIls, 5761707]
[paragraph, [36.0, 95.0, 216.0, 18.0], -hBHE_EIls, 5761707]
[paragraph, [36.0, 113.0, 216.0, 18.0], -hBHE_EIls, 5761707]
[paragraph, [36.0, 131.0, 216.0, 18.0], -hBHE_EIls, 5761707]
[paragraph, [36.0, 149.0, 216.0, 18.0], -hBHE_EIls, 5761707]
[paragraph, [36.0, 167.0, 216.0, 18.0], -hBHE_EIls, 5761707]
[paragraph, [36.0, 185.0, 216.0, 18.0], -hBHE_EIls, 5761707]
[paragraph, [260.0, 60.0, 210.0, 18.0], shoonya_0sEAQVJBVO38XP, 5761707]
[paragraph, [260.0, 78.0, 210.0, 18.0], shoonya_0sEAQVJBVO38XP, 5761707]
[paragraph, [260.0, 96.0, 210.0, 18.0], shoonya_0sEAQVJBVO38XP, 5761707]
[paragraph, [259.0, 131.0, 213.0, 18.0], hbX7SdySRL, 5761707]
[paragraph, [259.0, 149.0, 213.0, 18.0], hbX7SdySRL, 5761707]
[paragraph, [259.0, 167.0, 213.0, 18.0], hbX7SdySRL, 5761707]
[paragraph, [259.0, 185.0, 213.0, 18.0], hbX7SdySRL, 5761707]
[paragraph, [259.0, 203.0, 213.0, 18.0], hbX7SdySRL, 5761707]
[paragraph, [259.0, 221.0, 213.0, 18.0], hbX7SdySRL, 5761707]
[paragraph, [259.0, 239.0, 213.0, 18.0], hbX7SdySRL, 5761707]
[paragraph, [259.0, 257.0, 213.0, 18.0], hbX7SdySRL, 5761707]
[paragraph, [259.0, 275.0, 213.0, 18.0], hbX7SdySRL, 5761707]
[paragraph, [259.0, 293.0, 213.0, 18.0], hbX7SdySRL, 5761707]
[paragraph, [259.0, 311.0, 213.0, 18.0], hbX7SdySRL, 5761707]
[paragraph, [259.0, 329.0, 213.0, 18.0], hbX7SdySRL, 5761707]
[paragraph, [259.0, 347.0, 213.0, 18.0], hbX7SdySRL, 5761707]
[paragraph, [259.0, 365.0, 213.0, 18.0], hbX7SdySRL, 5761707]
[paragraph, [259.0, 383.0, 213.0, 18.0], hbX7SdySRL, 5761707]
[paragraph, [36.0, 218.0, 215.0, 18.0], NGWbyvwDpz, 5761707]
[paragraph, [36.0, 236.0, 215.0, 18.0], NGWbyvwDpz, 5761707]
[paragraph, [36.0, 254.0, 215.0, 18.0], NGWbyvwDpz, 5761707]
[paragraph, [36.0, 272.0, 215.0, 18.0], NGWbyvwDpz, 5761707]
[paragraph, [36.0, 290.0, 215.0, 18.0], NGWbyvwDpz, 5761707]
[paragraph, [36.0, 308.0, 215.0, 18.0], NGWbyvwDpz, 5761707]
[paragraph, [36.0, 326.0, 215.0, 18.0], NGWbyvwDpz, 5761707]
[paragraph, [36.0, 344.0, 215.0, 18.0], NGWbyvwDpz, 5761707]
[paragraph, [36.0, 362.0, 215.0, 18.0], NGWbyvwDpz, 5761707]
[paragraph, [36.0, 380.0, 215.0, 18.0], NGWbyvwDpz, 5761707]
[paragraph, [36.0, 398.0, 215.0, 18.0], NGWbyvwDpz, 5761707]
[paragraph, [36.0, 416.0, 215.0, 18.0], NGWbyvwDpz, 5761707]
[paragraph, [36.0, 434.0, 215.0, 18.0], NGWbyvwDpz, 5761707]
[paragraph, [36.0, 452.0, 215.0, 18.0], NGWbyvwDpz, 5761707]
[paragraph, [36.0, 470.0, 215.0, 18.0], NGWbyvwDpz, 5761707]
[paragraph, [36.0, 488.0, 215.0, 18.0], NGWbyvwDpz, 5761707]
[paragraph, [36.0, 506.0, 215.0, 18.0], NGWbyvwDpz, 5761707]
[paragraph, [36.0, 524.0, 215.0, 18.0], NGWbyvwDpz, 5761707]
[paragraph, [36.0, 542.0, 215.0, 18.0], NGWbyvwDpz, 5761707]
[paragraph, [36.0, 560.0, 215.0, 18.0], NGWbyvwDpz, 5761707]
[paragraph, [36.0, 578.0, 215.0, 18.0], NGWbyvwDpz, 5761707]
[paragraph, [36.0, 596.0, 215.0, 18.0], NGWbyvwDpz, 5761707]
[paragraph, [36.0, 614.0, 215.0, 18.0], NGWbyvwDpz, 5761707]
[paragraph, [256.0, 410.0, 217.0, 18.0], Tvnq-xbHH2, 5761707]
[paragraph, [256.0, 428.0, 217.0, 18.0], Tvnq-xbHH2, 5761707]
[paragraph, [256.0, 446.0, 217.0, 18.0], Tvnq-xbHH2, 5761707]
[paragraph, [256.0, 464.0, 217.0, 18.0], Tvnq-xbHH2, 5761707]
[paragraph, [256.0, 482.0, 217.0, 18.0], Tvnq-xbHH2, 5761707]
[paragraph, [256.0, 500.0, 217.0, 18.0], Tvnq-xbHH2, 5761707]
[paragraph, [256.0, 518.0, 217.0, 18.0], Tvnq-xbHH2, 5761707]
[paragraph, [256.0, 536.0, 217.0, 18.0], Tvnq-xbHH2, 5761707]
[paragraph, [275.0, 571.0, 130.0, 18.0], 4Xliy-PELp, 5761707]
[paragraph, [275.0, 589.0, 130.0, 18.0], 4Xliy-PELp, 5761707]
[paragraph, [275.0, 607.0, 130.0, 18.0], 4Xliy-PELp, 5761707]
[paragraph, [275.0, 625.0, 130.0, 18.0], 4Xliy-PELp, 5761707]
