[2200, 1700]
[paragraph, [368.0, 116.0, 1134.0, 36.0], shoonya_2s9H8BK6MDKT2E, 5734278]
[paragraph, [368.0, 152.0, 1134.0, 36.0], shoonya_2s9H8BK6MDKT2E, 5734278]
[paragraph, [368.0, 188.0, 1134.0, 36.0], shoonya_2s9H8BK6MDKT2E, 5734278]
[paragraph, [368.0, 224.0, 1134.0, 36.0], shoonya_2s9H8BK6MDKT2E, 5734278]
[paragraph, [370.0, 301.0, 1139.0, 36.0], shoonya_0sT1UJAGRXBWGL, 5734278]
[paragraph, [370.0, 337.0, 1139.0, 36.0], shoonya_0sT1UJAGRXBWGL, 5734278]
[paragraph, [370.0, 373.0, 1139.0, 36.0], shoonya_0sT1UJAGRXBWGL, 5734278]
[paragraph, [370.0, 409.0, 1139.0, 36.0], shoonya_0sT1UJAGRXBWGL, 5734278]
[paragraph, [370.0, 445.0, 1139.0, 36.0], shoonya_0sT1UJAGRXBWGL, 5734278]
[paragraph, [370.0, 481.0, 1139.0, 36.0], shoonya_0sT1UJAGRXBWGL, 5734278]
[paragraph, [370.0, 517.0, 1139.0, 36.0], shoonya_0sT1UJAGRXBWGL, 5734278]
[paragraph, [370.0, 553.0, 1139.0, 36.0], shoonya_0sT1UJAGRXBWGL, 5734278]
[paragraph, [370.0, 589.0, 1139.0, 36.0], shoonya_0sT1UJAGRXBWGL, 5734278]
[paragraph, [370.0, 625.0, 1139.0, 36.0], shoonya_0sT1UJAGRXBWGL, 5734278]
[paragraph, [370.0, 661.0, 1139.0, 36.0], shoonya_0sT1UJAGRXBWGL, 5734278]
[paragraph, [370.0, 697.0, 1139.0, 36.0], shoonya_0sT1UJAGRXBWGL, 5734278]
[paragraph, [370.0, 733.0, 1139.0, 36.0], shoonya_0sT1UJAGRXBWGL, 5734278]
[paragraph, [370.0, 769.0, 1139.0, 36.0], shoonya_0sT1UJAGRXBWGL, 5734278]
[paragraph, [370.0, 805.0, 1139.0, 36.0], shoonya_0sT1UJAGRXBWGL, 5734278]
[paragraph, [370.0, 841.0, 1139.0, 36.0], shoonya_0sT1UJAGRXBWGL, 5734278]
[paragraph, [370.0, 877.0, 1139.0, 36.0], shoonya_0sT1UJAGRXBWGL, 5734278]
[paragraph, [370.0, 913.0, 1139.0, 36.0], shoonya_0sT1UJAGRXBWGL, 5734278]
[paragraph, [370.0, 949.0, 1139.0, 36.0], shoonya_0sT1UJAGRXBWGL, 5734278]
[paragraph, [370.0, 985.0, 1139.0, 36.0], shoonya_0sT1UJAGRXBWGL, 5734278]
[paragraph, [370.0, 1021.0, 1139.0, 36.0], shoonya_0sT1UJAGRXBWGL, 5734278]
[paragraph, [372.0, 1101.0, 1135.0, 36.0], shoonya_1sZG3R8061GS82, 5734278]
[paragraph, [372.0, 1137.0, 1135.0, 36.0], shoonya_1sZG3R8061GS82, 5734278]
[paragraph, [372.0, 1173.0, 1135.0, 36.0], shoonya_1sZG3R8061GS82, 5734278]
[paragraph, [372.0, 1209.0, 1135.0, 36.0], shoonya_1sZG3R8061GS82, 5734278]
[paragraph, [372.0, 1245.0, 1135.0, 36.0], shoonya_1sZG3R8061GS82, 5734278]
[paragraph, [372.0, 1281.0, 1135.0, 36.0], shoonya_1sZG3R8061GS82, 5734278]
[paragraph, [372.0, 1317.0, 1135.0, 36.0], shoonya_1sZG3R8061GS82, 5734278]
[paragraph, [372.0, 1353.0, 1135.0, 36.0], shoonya_1sZG3R8061GS82, 5734278]
[paragraph, [372.0, 1389.0, 1135.0, 36.0], shoonya_1sZG3R8061GS82, 5734278]
[paragraph, [372.0, 1425.0, 1135.0, 36.0], shoonya_1sZG3R8061GS82, 5734278]
[paragraph, [372.0, 1461.0, 1135.0, 36.0], shoonya_1sZG3R8061GS82, 5734278]
[paragraph, [372.0, 1497.0, 1135.0, 36.0], shoonya_1sZG3R8061GS82, 5734278]
[paragraph, [372.0, 1533.0, 1135.0, 36.0], shoonya_1sZG3R8061GS82, 5734278]
[paragraph, [372.0, 1569.0, 1135.0, 36.0], shoonya_1sZG3R8061GS82, 5734278]
[paragraph, [372.0, 1605.0, 1135.0, 36.0], shoonya_1sZG3R8061GS82, 5734278]
[paragraph, [372.0, 1641.0, 1135.0, 36.0], shoonya_1sZG3R8061GS82, 5734278]
[paragraph, [373.0, 1735.0, 1134.0, 36.0], shoonya_3s40XBH4EH7SRF, 5734278]
[paragraph, [373.0, 1771.0, 1134.0, 36.0], shoonya_3s40XBH4EH7SRF, 5734278]
[paragraph, [373.0, 1807.0, 1134.0, 36.0], shoonya_3s40XBH4EH7SRF, 5734278]
[paragraph, [373.0, 1843.0, 1134.0, 36.0], shoonya_3s40XBH4EH7SRF, 5734278]
[paragraph, [373.0, 1879.0, 1134.0, 36.0], shoonya_3s40XBH4EH7SRF, 5734278]
[paragraph, [373.0, 1915.0, 1134.0, 36.0], shoonya_3s40XBH4EH7SRF, 5734278]
[paragraph, [373.0, 1951.0, 1134.0, 36.0], shoonya_3s40XBH4EH7SRF, 5734278]
[paragraph, [373.0, 1987.0, 1134.0, 36.0], shoonya_3s40XBH4EH7SRF, 5734278]
[paragraph, [373.0, 2023.0, 1134.0, 36.0], shoonya_3s40XBH4EH7SRF, 5734278]
[folio, [1345.0, 2127.0, 122.0, 36.0], shoonya_4sETFVGMRKU3I8, 5734278]
