[540, 960]
[section-title, [166.0, 2.0, 624.0, 30.0], shoonya_0sAXUKMUJ80ZV2, 5715665]
[paragraph, [10.0, 58.0, 922.0, 18.0], IRhZcGJwtQ, 5715665]
[paragraph, [10.0, 76.0, 922.0, 18.0], IRhZcGJwtQ, 5715665]
[paragraph, [10.0, 94.0, 922.0, 18.0], IRhZcGJwtQ, 5715665]
[paragraph, [10.0, 112.0, 922.0, 18.0], IRhZcGJwtQ, 5715665]
[paragraph, [10.0, 130.0, 922.0, 18.0], IRhZcGJwtQ, 5715665]
[paragraph, [10.0, 148.0, 922.0, 18.0], IRhZcGJwtQ, 5715665]
[paragraph, [10.0, 166.0, 922.0, 18.0], IRhZcGJwtQ, 5715665]
[paragraph, [10.0, 184.0, 922.0, 18.0], IRhZcGJwtQ, 5715665]
[paragraph, [10.0, 202.0, 922.0, 18.0], IRhZcGJwtQ, 5715665]
[paragraph, [10.0, 220.0, 922.0, 18.0], IRhZcGJwtQ, 5715665]
[paragraph, [519.0, 288.0, 382.0, 18.0], 8qDRu_2TB4, 5715665]
[paragraph, [519.0, 306.0, 382.0, 18.0], 8qDRu_2TB4, 5715665]
[paragraph, [519.0, 324.0, 382.0, 18.0], 8qDRu_2TB4, 5715665]
[paragraph, [519.0, 342.0, 382.0, 18.0], 8qDRu_2TB4, 5715665]
[paragraph, [519.0, 360.0, 382.0, 18.0], 8qDRu_2TB4, 5715665]
[paragraph, [519.0, 378.0, 382.0, 18.0], 8qDRu_2TB4, 5715665]
[folio, [111.0, 444.0, 117.0, 18.0], FK7WPF7-Io, 5715665]
[folio, [111.0, 462.0, 117.0, 18.0], FK7WPF7-Io, 5715665]
