[792, 612]
[section-title, [24.0, 55.0, 170.0, 30.0], ChUNj59Bf8, 6514485]
[headline, [218.0, 90.0, 125.0, 25.5], wl0ahstkqu, 6514485]
[headline, [218.0, 115.5, 125.0, 25.5], wl0ahstkqu, 6514485]
[headline, [218.0, 141.0, 125.0, 25.5], wl0ahstkqu, 6514485]
[headline, [218.0, 166.5, 125.0, 25.5], wl0ahstkqu, 6514485]
[headline, [218.0, 192.0, 125.0, 25.5], wl0ahstkqu, 6514485]
[index, [61.0, 123.0, 93.0, 18.0], janItM7apM, 6514485]
[index, [61.0, 141.0, 93.0, 18.0], janItM7apM, 6514485]
[index, [61.0, 159.0, 93.0, 18.0], janItM7apM, 6514485]
[index, [61.0, 177.0, 93.0, 18.0], janItM7apM, 6514485]
[index, [61.0, 195.0, 93.0, 18.0], janItM7apM, 6514485]
[index, [61.0, 213.0, 93.0, 18.0], janItM7apM, 6514485]
[index, [61.0, 231.0, 93.0, 18.0], janItM7apM, 6514485]
[index, [61.0, 249.0, 93.0, 18.0], janItM7apM, 6514485]
[index, [61.0, 267.0, 93.0, 18.0], janItM7apM, 6514485]
[index, [61.0, 285.0, 93.0, 18.0], janItM7apM, 6514485]
[index, [61.0, 303.0, 93.0, 18.0], janItM7apM, 6514485]
[index, [61.0, 321.0, 93.0, 18.0], janItM7apM, 6514485]
[index, [61.0, 339.0, 93.0, 18.0], janItM7apM, 6514485]
[index, [61.0, 357.0, 93.0, 18.0], janItM7apM, 6514485]
[index, [61.0, 375.0, 93.0, 18.0], janItM7apM, 6514485]
[index, [61.0, 393.0, 93.0, 18.0], janItM7apM, 6514485]
[author, [227.0, 229.0, 85.0, 18.0], EV5qihFSYa, 6514485]
[paragraph, [222.0, 260.0, 163.0, 18.0], 1mf1rporYK, 6514485]
[paragraph, [222.0, 278.0, 163.0, 18.0], 1mf1rporYK, 6514485]
[paragraph, [222.0, 296.0, 163.0, 18.0], 1mf1rporYK, 6514485]
[paragraph, [222.0, 314.0, 163.0, 18.0], 1mf1rporYK, 6514485]
[paragraph, [222.0, 332.0, 163.0, 18.0], 1mf1rporYK, 6514485]
[paragraph, [222.0, 350.0, 163.0, 18.0], 1mf1rporYK, 6514485]
[paragraph, [222.0, 368.0, 163.0, 18.0], 1mf1rporYK, 6514485]
[paragraph, [222.0, 386.0, 163.0, 18.0], 1mf1rporYK, 6514485]
[paragraph, [222.0, 404.0, 163.0, 18.0], 1mf1rporYK, 6514485]
[paragraph, [222.0, 422.0, 163.0, 18.0], 1mf1rporYK, 6514485]
[paragraph, [222.0, 440.0, 163.0, 18.0], 1mf1rporYK, 6514485]
[paragraph, [222.0, 458.0, 163.0, 18.0], 1mf1rporYK, 6514485]
[paragraph, [222.0, 476.0, 163.0, 18.0], 1mf1rporYK, 6514485]
[paragraph, [222.0, 494.0, 163.0, 18.0], 1mf1rporYK, 6514485]
[paragraph, [222.0, 512.0, 163.0, 18.0], 1mf1rporYK, 6514485]
[paragraph, [222.0, 530.0, 163.0, 18.0], 1mf1rporYK, 6514485]
[paragraph, [222.0, 548.0, 163.0, 18.0], 1mf1rporYK, 6514485]
[paragraph, [391.0, 268.0, 163.0, 18.0], 9yL0e1u5G0, 6514485]
[paragraph, [391.0, 286.0, 163.0, 18.0], 9yL0e1u5G0, 6514485]
[paragraph, [391.0, 304.0, 163.0, 18.0], 9yL0e1u5G0, 6514485]
[paragraph, [391.0, 322.0, 163.0, 18.0], 9yL0e1u5G0, 6514485]
[paragraph, [391.0, 340.0, 163.0, 18.0], 9yL0e1u5G0, 6514485]
[paragraph, [391.0, 358.0, 163.0, 18.0], 9yL0e1u5G0, 6514485]
[paragraph, [391.0, 376.0, 163.0, 18.0], 9yL0e1u5G0, 6514485]
[paragraph, [391.0, 394.0, 163.0, 18.0], 9yL0e1u5G0, 6514485]
[paragraph, [391.0, 412.0, 163.0, 18.0], 9yL0e1u5G0, 6514485]
[paragraph, [391.0, 430.0, 163.0, 18.0], 9yL0e1u5G0, 6514485]
[paragraph, [391.0, 448.0, 163.0, 18.0], 9yL0e1u5G0, 6514485]
[paragraph, [391.0, 466.0, 163.0, 18.0], 9yL0e1u5G0, 6514485]
[contact-info, [30.0, 426.0, 157.0, 18.0], mkC8yza_kk, 6514485]
[contact-info, [30.0, 444.0, 157.0, 18.0], mkC8yza_kk, 6514485]
[contact-info, [30.0, 462.0, 157.0, 18.0], mkC8yza_kk, 6514485]
