[1755, 1241]
[folio, [134.0, 175.0, 443.0, 36.0], -RjqWWbGZI, 5705212]
[headline, [367.0, 241.0, 515.0, 37.5], shoonya_10s4XJ796OG2XT, 5705212]
[paragraph, [189.0, 363.0, 417.0, 36.0], shoonya_4sYWZOD9W57KPV, 5705212]
[paragraph, [189.0, 399.0, 417.0, 36.0], shoonya_4sYWZOD9W57KPV, 5705212]
[paragraph, [189.0, 435.0, 417.0, 36.0], shoonya_4sYWZOD9W57KPV, 5705212]
[paragraph, [189.0, 471.0, 417.0, 36.0], shoonya_4sYWZOD9W57KPV, 5705212]
[paragraph, [631.0, 363.0, 420.0, 36.0], shoonya_8sJFO408DYYAL5, 5705212]
[paragraph, [631.0, 399.0, 420.0, 36.0], shoonya_8sJFO408DYYAL5, 5705212]
[paragraph, [631.0, 435.0, 420.0, 36.0], shoonya_8sJFO408DYYAL5, 5705212]
[paragraph, [631.0, 494.0, 422.0, 36.0], shoonya_2sBPMLD7KSV56V, 5705212]
[paragraph, [631.0, 530.0, 422.0, 36.0], shoonya_2sBPMLD7KSV56V, 5705212]
[paragraph, [631.0, 566.0, 422.0, 36.0], shoonya_2sBPMLD7KSV56V, 5705212]
[paragraph, [631.0, 602.0, 422.0, 36.0], shoonya_2sBPMLD7KSV56V, 5705212]
[paragraph, [631.0, 638.0, 422.0, 36.0], shoonya_2sBPMLD7KSV56V, 5705212]
[paragraph, [631.0, 674.0, 422.0, 36.0], shoonya_2sBPMLD7KSV56V, 5705212]
[paragraph, [631.0, 710.0, 422.0, 36.0], shoonya_2sBPMLD7KSV56V, 5705212]
[paragraph, [631.0, 746.0, 422.0, 36.0], shoonya_2sBPMLD7KSV56V, 5705212]
[paragraph, [188.0, 520.0, 419.0, 36.0], shoonya_6sQ5JYYFXAIXM5, 5705212]
[paragraph, [188.0, 556.0, 419.0, 36.0], shoonya_6sQ5JYYFXAIXM5, 5705212]
[paragraph, [188.0, 592.0, 419.0, 36.0], shoonya_6sQ5JYYFXAIXM5, 5705212]
[paragraph, [186.0, 651.0, 423.0, 36.0], shoonya_1sQV1RXHHQ3GTD, 5705212]
[paragraph, [186.0, 687.0, 423.0, 36.0], shoonya_1sQV1RXHHQ3GTD, 5705212]
[paragraph, [186.0, 723.0, 423.0, 36.0], shoonya_1sQV1RXHHQ3GTD, 5705212]
[paragraph, [186.0, 759.0, 423.0, 36.0], shoonya_1sQV1RXHHQ3GTD, 5705212]
[paragraph, [186.0, 795.0, 423.0, 36.0], shoonya_1sQV1RXHHQ3GTD, 5705212]
[paragraph, [186.0, 831.0, 423.0, 36.0], shoonya_1sQV1RXHHQ3GTD, 5705212]
[paragraph, [186.0, 867.0, 423.0, 36.0], shoonya_1sQV1RXHHQ3GTD, 5705212]
[paragraph, [186.0, 903.0, 423.0, 36.0], shoonya_1sQV1RXHHQ3GTD, 5705212]
[paragraph, [186.0, 939.0, 423.0, 36.0], shoonya_1sQV1RXHHQ3GTD, 5705212]
[paragraph, [629.0, 836.0, 420.0, 36.0], shoonya_5s62YFZ4X9KRIE, 5705212]
[paragraph, [629.0, 872.0, 420.0, 36.0], shoonya_5s62YFZ4X9KRIE, 5705212]
[paragraph, [629.0, 908.0, 420.0, 36.0], shoonya_5s62YFZ4X9KRIE, 5705212]
[paragraph, [629.0, 944.0, 420.0, 36.0], shoonya_5s62YFZ4X9KRIE, 5705212]
[paragraph, [629.0, 980.0, 420.0, 36.0], shoonya_5s62YFZ4X9KRIE, 5705212]
[paragraph, [186.0, 1009.0, 423.0, 36.0], shoonya_0s3U1CMTSPZ4CN, 5705212]
[paragraph, [186.0, 1045.0, 423.0, 36.0], shoonya_0s3U1CMTSPZ4CN, 5705212]
[paragraph, [186.0, 1081.0, 423.0, 36.0], shoonya_0s3U1CMTSPZ4CN, 5705212]
[paragraph, [186.0, 1117.0, 423.0, 36.0], shoonya_0s3U1CMTSPZ4CN, 5705212]
[paragraph, [186.0, 1153.0, 423.0, 36.0], shoonya_0s3U1CMTSPZ4CN, 5705212]
[paragraph, [186.0, 1189.0, 423.0, 36.0], shoonya_0s3U1CMTSPZ4CN, 5705212]
[paragraph, [186.0, 1225.0, 423.0, 36.0], shoonya_0s3U1CMTSPZ4CN, 5705212]
[paragraph, [186.0, 1261.0, 423.0, 36.0], shoonya_0s3U1CMTSPZ4CN, 5705212]
[paragraph, [186.0, 1297.0, 423.0, 36.0], shoonya_0s3U1CMTSPZ4CN, 5705212]
[paragraph, [186.0, 1333.0, 423.0, 36.0], shoonya_0s3U1CMTSPZ4CN, 5705212]
[paragraph, [186.0, 1369.0, 423.0, 36.0], shoonya_0s3U1CMTSPZ4CN, 5705212]
[paragraph, [186.0, 1405.0, 423.0, 36.0], shoonya_0s3U1CMTSPZ4CN, 5705212]
[paragraph, [632.0, 1046.0, 419.0, 36.0], shoonya_3sNO89NG36PTT1, 5705212]
[paragraph, [632.0, 1082.0, 419.0, 36.0], shoonya_3sNO89NG36PTT1, 5705212]
[paragraph, [632.0, 1118.0, 419.0, 36.0], shoonya_3sNO89NG36PTT1, 5705212]
[paragraph, [632.0, 1154.0, 419.0, 36.0], shoonya_3sNO89NG36PTT1, 5705212]
[paragraph, [632.0, 1190.0, 419.0, 36.0], shoonya_3sNO89NG36PTT1, 5705212]
[paragraph, [632.0, 1226.0, 419.0, 36.0], shoonya_3sNO89NG36PTT1, 5705212]
[paragraph, [632.0, 1262.0, 419.0, 36.0], shoonya_3sNO89NG36PTT1, 5705212]
[paragraph, [632.0, 1298.0, 419.0, 36.0], shoonya_3sNO89NG36PTT1, 5705212]
[paragraph, [631.0, 1335.0, 422.0, 36.0], shoonya_7sEBWANXPTTRBL, 5705212]
[paragraph, [631.0, 1371.0, 422.0, 36.0], shoonya_7sEBWANXPTTRBL, 5705212]
[paragraph, [631.0, 1407.0, 422.0, 36.0], shoonya_7sEBWANXPTTRBL, 5705212]
[website-link, [131.0, 1493.0, 971.0, 18.0], GlrpUxdzBV, 5705212]
[website-link, [131.0, 1511.0, 971.0, 18.0], GlrpUxdzBV, 5705212]
[website-link, [131.0, 1529.0, 971.0, 18.0], GlrpUxdzBV, 5705212]
[website-link, [131.0, 1547.0, 971.0, 18.0], GlrpUxdzBV, 5705212]
[website-link, [131.0, 1565.0, 971.0, 18.0], GlrpUxdzBV, 5705212]
