[4210, 2977]
[paragraph, [276.0, 513.0, 2316.0, 52.5], shoonya_0sFX7VMNHKMFLB, 5697632]
[paragraph, [276.0, 565.5, 2316.0, 52.5], shoonya_0sFX7VMNHKMFLB, 5697632]
[paragraph, [276.0, 618.0, 2316.0, 52.5], shoonya_0sFX7VMNHKMFLB, 5697632]
[paragraph, [276.0, 670.5, 2316.0, 52.5], shoonya_0sFX7VMNHKMFLB, 5697632]
[paragraph, [276.0, 723.0, 2316.0, 52.5], shoonya_0sFX7VMNHKMFLB, 5697632]
[paragraph, [276.0, 775.5, 2316.0, 52.5], shoonya_0sFX7VMNHKMFLB, 5697632]
[paragraph, [276.0, 828.0, 2316.0, 52.5], shoonya_0sFX7VMNHKMFLB, 5697632]
[paragraph, [276.0, 880.5, 2316.0, 52.5], shoonya_0sFX7VMNHKMFLB, 5697632]
[paragraph, [276.0, 933.0, 2316.0, 52.5], shoonya_0sFX7VMNHKMFLB, 5697632]
[paragraph, [276.0, 985.5, 2316.0, 52.5], shoonya_0sFX7VMNHKMFLB, 5697632]
[paragraph, [276.0, 1038.0, 2316.0, 52.5], shoonya_0sFX7VMNHKMFLB, 5697632]
[paragraph, [276.0, 1090.5, 2316.0, 52.5], shoonya_0sFX7VMNHKMFLB, 5697632]
[paragraph, [276.0, 1143.0, 2316.0, 52.5], shoonya_0sFX7VMNHKMFLB, 5697632]
[paragraph, [276.0, 1195.5, 2316.0, 52.5], shoonya_0sFX7VMNHKMFLB, 5697632]
[author, [215.0, 1343.0, 1715.0, 52.5], dYzRj2c3Zk, 5697632]
[author, [215.0, 1395.5, 1715.0, 52.5], dYzRj2c3Zk, 5697632]
[author, [215.0, 1448.0, 1715.0, 52.5], dYzRj2c3Zk, 5697632]
[author, [215.0, 1500.5, 1715.0, 52.5], dYzRj2c3Zk, 5697632]
[author, [215.0, 1553.0, 1715.0, 52.5], dYzRj2c3Zk, 5697632]
[author, [215.0, 1605.5, 1715.0, 52.5], dYzRj2c3Zk, 5697632]
[contact-info, [215.0, 1741.0, 1735.0, 52.5], shoonya_4sO3A61CM7C1AP, 5697632]
[contact-info, [215.0, 1793.5, 1735.0, 52.5], shoonya_4sO3A61CM7C1AP, 5697632]
[contact-info, [215.0, 1846.0, 1735.0, 52.5], shoonya_4sO3A61CM7C1AP, 5697632]
[contact-info, [215.0, 1898.5, 1735.0, 52.5], shoonya_4sO3A61CM7C1AP, 5697632]
[contact-info, [215.0, 1951.0, 1735.0, 52.5], shoonya_4sO3A61CM7C1AP, 5697632]
[contact-info, [215.0, 2003.5, 1735.0, 52.5], shoonya_4sO3A61CM7C1AP, 5697632]
[contact-info, [215.0, 2056.0, 1735.0, 52.5], shoonya_4sO3A61CM7C1AP, 5697632]
[contact-info, [215.0, 2108.5, 1735.0, 52.5], shoonya_4sO3A61CM7C1AP, 5697632]
[contact-info, [215.0, 2161.0, 1735.0, 52.5], shoonya_4sO3A61CM7C1AP, 5697632]
[contact-info, [215.0, 2213.5, 1735.0, 52.5], shoonya_4sO3A61CM7C1AP, 5697632]
[website-link, [1175.0, 1771.0, 539.0, 18.0], ODdU42JHUf, 5697632]
[website-link, [1175.0, 1789.0, 539.0, 18.0], ODdU42JHUf, 5697632]
[website-link, [1175.0, 1807.0, 539.0, 18.0], ODdU42JHUf, 5697632]
[website-link, [1175.0, 1825.0, 539.0, 18.0], ODdU42JHUf, 5697632]
[footnote, [1907.0, 4063.0, 1069.0, 52.5], shoonya_1s0H7TAGEPYFK9, 5697632]
