[1650, 1275]
[folio, [168.0, 73.0, 237.0, 36.0], shoonya_3sG7W4MYNHI6O0, 6472788]
[headline, [781.0, 169.0, 302.0, 37.5], shoonya_6sZAR31RH9CZZK, 6472788]
[headline, [781.0, 206.5, 302.0, 37.5], shoonya_6sZAR31RH9CZZK, 6472788]
[headline, [781.0, 244.0, 302.0, 37.5], shoonya_6sZAR31RH9CZZK, 6472788]
[headline, [781.0, 281.5, 302.0, 37.5], shoonya_6sZAR31RH9CZZK, 6472788]
[paragraph, [176.0, 170.0, 285.0, 36.0], shoonya_19s2HIES9IZ3FC, 6472788]
[paragraph, [176.0, 206.0, 285.0, 36.0], shoonya_19s2HIES9IZ3FC, 6472788]
[paragraph, [176.0, 242.0, 285.0, 36.0], shoonya_19s2HIES9IZ3FC, 6472788]
[paragraph, [176.0, 278.0, 285.0, 36.0], shoonya_19s2HIES9IZ3FC, 6472788]
[paragraph, [176.0, 314.0, 285.0, 36.0], shoonya_19s2HIES9IZ3FC, 6472788]
[paragraph, [176.0, 350.0, 285.0, 36.0], shoonya_19s2HIES9IZ3FC, 6472788]
[paragraph, [176.0, 386.0, 285.0, 36.0], shoonya_19s2HIES9IZ3FC, 6472788]
[paragraph, [176.0, 422.0, 285.0, 36.0], shoonya_19s2HIES9IZ3FC, 6472788]
[paragraph, [176.0, 458.0, 285.0, 36.0], shoonya_19s2HIES9IZ3FC, 6472788]
[paragraph, [176.0, 494.0, 285.0, 36.0], shoonya_19s2HIES9IZ3FC, 6472788]
[paragraph, [176.0, 530.0, 285.0, 36.0], shoonya_19s2HIES9IZ3FC, 6472788]
[paragraph, [176.0, 566.0, 285.0, 36.0], shoonya_19s2HIES9IZ3FC, 6472788]
[paragraph, [176.0, 602.0, 285.0, 36.0], shoonya_19s2HIES9IZ3FC, 6472788]
[paragraph, [176.0, 638.0, 285.0, 36.0], shoonya_19s2HIES9IZ3FC, 6472788]
[paragraph, [476.0, 170.0, 291.0, 36.0], shoonya_7sNS0I0S97GVNQ, 6472788]
[paragraph, [476.0, 206.0, 291.0, 36.0], shoonya_7sNS0I0S97GVNQ, 6472788]
[paragraph, [476.0, 242.0, 291.0, 36.0], shoonya_7sNS0I0S97GVNQ, 6472788]
[paragraph, [476.0, 278.0, 291.0, 36.0], shoonya_7sNS0I0S97GVNQ, 6472788]
[paragraph, [476.0, 314.0, 291.0, 36.0], shoonya_7sNS0I0S97GVNQ, 6472788]
[paragraph, [782.0, 339.0, 290.0, 36.0], shoonya_11s8N34I2QR7ZB, 6472788]
[paragraph, [782.0, 375.0, 290.0, 36.0], shoonya_11s8N34I2QR7ZB, 6472788]
[paragraph, [782.0, 411.0, 290.0, 36.0], shoonya_11s8N34I2QR7ZB, 6472788]
[paragraph, [782.0, 447.0, 290.0, 36.0], shoonya_11s8N34I2QR7ZB, 6472788]
[paragraph, [782.0, 483.0, 290.0, 36.0], shoonya_11s8N34I2QR7ZB, 6472788]
[paragraph, [482.0, 374.0, 285.0, 36.0], shoonya_1sIQSRCGLZ1JJA, 6472788]
[paragraph, [482.0, 410.0, 285.0, 36.0], shoonya_1sIQSRCGLZ1JJA, 6472788]
[paragraph, [482.0, 446.0, 285.0, 36.0], shoonya_1sIQSRCGLZ1JJA, 6472788]
[paragraph, [482.0, 482.0, 285.0, 36.0], shoonya_1sIQSRCGLZ1JJA, 6472788]
[paragraph, [482.0, 518.0, 285.0, 36.0], shoonya_1sIQSRCGLZ1JJA, 6472788]
[paragraph, [482.0, 554.0, 285.0, 36.0], shoonya_1sIQSRCGLZ1JJA, 6472788]
[paragraph, [482.0, 590.0, 285.0, 36.0], shoonya_1sIQSRCGLZ1JJA, 6472788]
[paragraph, [786.0, 521.0, 289.0, 36.0], shoonya_17sWUUJCCLNXUS, 6472788]
[paragraph, [786.0, 557.0, 289.0, 36.0], shoonya_17sWUUJCCLNXUS, 6472788]
[paragraph, [786.0, 593.0, 289.0, 36.0], shoonya_17sWUUJCCLNXUS, 6472788]
[paragraph, [786.0, 629.0, 289.0, 36.0], shoonya_17sWUUJCCLNXUS, 6472788]
[paragraph, [786.0, 665.0, 289.0, 36.0], shoonya_17sWUUJCCLNXUS, 6472788]
[paragraph, [786.0, 701.0, 289.0, 36.0], shoonya_17sWUUJCCLNXUS, 6472788]
[paragraph, [786.0, 737.0, 289.0, 36.0], shoonya_17sWUUJCCLNXUS, 6472788]
[paragraph, [478.0, 648.0, 287.0, 36.0], shoonya_0sVNZ0SRDO0QO2, 6472788]
[paragraph, [478.0, 684.0, 287.0, 36.0], shoonya_0sVNZ0SRDO0QO2, 6472788]
[paragraph, [478.0, 720.0, 287.0, 36.0], shoonya_0sVNZ0SRDO0QO2, 6472788]
[paragraph, [478.0, 756.0, 287.0, 36.0], shoonya_0sVNZ0SRDO0QO2, 6472788]
