[1723, 1092]
[paragraph, [106.0, 155.0, 879.0, 36.0], shoonya_1s5UH5BLLB4ETF, 5680768]
[paragraph, [106.0, 191.0, 879.0, 36.0], shoonya_1s5UH5BLLB4ETF, 5680768]
[paragraph, [106.0, 227.0, 879.0, 36.0], shoonya_1s5UH5BLLB4ETF, 5680768]
[paragraph, [106.0, 263.0, 879.0, 36.0], shoonya_1s5UH5BLLB4ETF, 5680768]
[paragraph, [106.0, 299.0, 879.0, 36.0], shoonya_1s5UH5BLLB4ETF, 5680768]
[paragraph, [106.0, 335.0, 879.0, 36.0], shoonya_1s5UH5BLLB4ETF, 5680768]
[paragraph, [106.0, 371.0, 879.0, 36.0], shoonya_1s5UH5BLLB4ETF, 5680768]
[paragraph, [106.0, 407.0, 879.0, 36.0], shoonya_1s5UH5BLLB4ETF, 5680768]
[paragraph, [106.0, 443.0, 879.0, 36.0], shoonya_1s5UH5BLLB4ETF, 5680768]
[paragraph, [106.0, 479.0, 879.0, 36.0], shoonya_1s5UH5BLLB4ETF, 5680768]
[paragraph, [106.0, 515.0, 879.0, 36.0], shoonya_1s5UH5BLLB4ETF, 5680768]
[paragraph, [106.0, 551.0, 879.0, 36.0], shoonya_1s5UH5BLLB4ETF, 5680768]
[paragraph, [106.0, 587.0, 879.0, 36.0], shoonya_1s5UH5BLLB4ETF, 5680768]
[paragraph, [106.0, 623.0, 879.0, 36.0], shoonya_1s5UH5BLLB4ETF, 5680768]
[paragraph, [106.0, 659.0, 879.0, 36.0], shoonya_1s5UH5BLLB4ETF, 5680768]
[paragraph, [106.0, 695.0, 879.0, 36.0], shoonya_1s5UH5BLLB4ETF, 5680768]
[paragraph, [106.0, 731.0, 879.0, 36.0], shoonya_1s5UH5BLLB4ETF, 5680768]
[paragraph, [106.0, 767.0, 879.0, 36.0], shoonya_1s5UH5BLLB4ETF, 5680768]
[paragraph, [106.0, 803.0, 879.0, 36.0], shoonya_1s5UH5BLLB4ETF, 5680768]
[paragraph, [106.0, 839.0, 879.0, 36.0], shoonya_1s5UH5BLLB4ETF, 5680768]
[paragraph, [106.0, 875.0, 879.0, 36.0], shoonya_1s5UH5BLLB4ETF, 5680768]
[paragraph, [106.0, 911.0, 879.0, 36.0], shoonya_1s5UH5BLLB4ETF, 5680768]
[paragraph, [106.0, 947.0, 879.0, 36.0], shoonya_1s5UH5BLLB4ETF, 5680768]
[paragraph, [106.0, 983.0, 879.0, 36.0], shoonya_1s5UH5BLLB4ETF, 5680768]
[paragraph, [106.0, 1019.0, 879.0, 36.0], shoonya_1s5UH5BLLB4ETF, 5680768]
[paragraph, [105.0, 1135.0, 880.0, 36.0], 0b79p4i-Us, 5680768]
[paragraph, [105.0, 1171.0, 880.0, 36.0], 0b79p4i-Us, 5680768]
[paragraph, [105.0, 1207.0, 880.0, 36.0], 0b79p4i-Us, 5680768]
[paragraph, [105.0, 1243.0, 880.0, 36.0], 0b79p4i-Us, 5680768]
[paragraph, [105.0, 1279.0, 880.0, 36.0], 0b79p4i-Us, 5680768]
[paragraph, [105.0, 1315.0, 880.0, 36.0], 0b79p4i-Us, 5680768]
[paragraph, [105.0, 1351.0, 880.0, 36.0], 0b79p4i-Us, 5680768]
[paragraph, [105.0, 1387.0, 880.0, 36.0], 0b79p4i-Us, 5680768]
[paragraph, [105.0, 1456.0, 880.0, 36.0], -LXsLNYhU_, 5680768]
[paragraph, [105.0, 1492.0, 880.0, 36.0], -LXsLNYhU_, 5680768]
