[1755, 1240]
[paragraph, [181.0, 185.0, 876.0, 36.0], shoonya_0sDCQ2VACJQCI1, 5703619]
[paragraph, [181.0, 221.0, 876.0, 36.0], shoonya_0sDCQ2VACJQCI1, 5703619]
[paragraph, [178.0, 317.0, 885.0, 36.0], east8cj63K, 5703619]
[paragraph, [178.0, 353.0, 885.0, 36.0], east8cj63K, 5703619]
[paragraph, [178.0, 389.0, 885.0, 36.0], east8cj63K, 5703619]
[paragraph, [178.0, 425.0, 885.0, 36.0], east8cj63K, 5703619]
[paragraph, [178.0, 461.0, 885.0, 36.0], east8cj63K, 5703619]
[paragraph, [178.0, 497.0, 885.0, 36.0], east8cj63K, 5703619]
[paragraph, [178.0, 533.0, 885.0, 36.0], east8cj63K, 5703619]
[paragraph, [178.0, 569.0, 885.0, 36.0], east8cj63K, 5703619]
[paragraph, [178.0, 605.0, 885.0, 36.0], east8cj63K, 5703619]
[paragraph, [173.0, 668.0, 892.0, 36.0], aRzwLOgEoC, 5703619]
[paragraph, [173.0, 704.0, 892.0, 36.0], aRzwLOgEoC, 5703619]
[paragraph, [175.0, 793.0, 888.0, 36.0], gkZswrEwpN, 5703619]
[paragraph, [175.0, 829.0, 888.0, 36.0], gkZswrEwpN, 5703619]
[paragraph, [165.0, 914.0, 903.0, 36.0], x8xw1b8tXr, 5703619]
[paragraph, [165.0, 950.0, 903.0, 36.0], x8xw1b8tXr, 5703619]
[paragraph, [165.0, 986.0, 903.0, 36.0], x8xw1b8tXr, 5703619]
[paragraph, [165.0, 1022.0, 903.0, 36.0], x8xw1b8tXr, 5703619]
[paragraph, [172.0, 1097.0, 889.0, 36.0], k6vMRfT8D5, 5703619]
[paragraph, [172.0, 1133.0, 889.0, 36.0], k6vMRfT8D5, 5703619]
[paragraph, [172.0, 1169.0, 889.0, 36.0], k6vMRfT8D5, 5703619]
[paragraph, [172.0, 1205.0, 889.0, 36.0], k6vMRfT8D5, 5703619]
[paragraph, [172.0, 1241.0, 889.0, 36.0], k6vMRfT8D5, 5703619]
[paragraph, [172.0, 1277.0, 889.0, 36.0], k6vMRfT8D5, 5703619]
[paragraph, [172.0, 1313.0, 889.0, 36.0], k6vMRfT8D5, 5703619]
[paragraph, [172.0, 1349.0, 889.0, 36.0], k6vMRfT8D5, 5703619]
[paragraph, [172.0, 1385.0, 889.0, 36.0], k6vMRfT8D5, 5703619]
[paragraph, [172.0, 1421.0, 889.0, 36.0], k6vMRfT8D5, 5703619]
[paragraph, [172.0, 1457.0, 889.0, 36.0], k6vMRfT8D5, 5703619]
[paragraph, [172.0, 1493.0, 889.0, 36.0], k6vMRfT8D5, 5703619]
[paragraph, [172.0, 1529.0, 889.0, 36.0], k6vMRfT8D5, 5703619]
[paragraph, [172.0, 1565.0, 889.0, 36.0], k6vMRfT8D5, 5703619]
