[1492, 1000]
[folio, [416.0, 158.0, 210.0, 18.0], 6xxW-Dv-ka, 5720016]
[paragraph, [162.0, 206.0, 725.0, 18.0], shoonya_1sTH92Z8ZQ7VS6, 5720016]
[paragraph, [162.0, 224.0, 725.0, 18.0], shoonya_1sTH92Z8ZQ7VS6, 5720016]
[paragraph, [162.0, 242.0, 725.0, 18.0], shoonya_1sTH92Z8ZQ7VS6, 5720016]
[paragraph, [162.0, 260.0, 725.0, 18.0], shoonya_1sTH92Z8ZQ7VS6, 5720016]
[paragraph, [202.0, 289.0, 637.0, 18.0], 2EX-Zzbmvk, 5720016]
[paragraph, [202.0, 307.0, 637.0, 18.0], 2EX-Zzbmvk, 5720016]
[paragraph, [202.0, 325.0, 637.0, 18.0], 2EX-Zzbmvk, 5720016]
[paragraph, [202.0, 343.0, 637.0, 18.0], 2EX-Zzbmvk, 5720016]
[paragraph, [202.0, 361.0, 637.0, 18.0], 2EX-Zzbmvk, 5720016]
[paragraph, [202.0, 379.0, 637.0, 18.0], 2EX-Zzbmvk, 5720016]
[paragraph, [162.0, 408.0, 726.0, 18.0], 8CnN_Tm4lA, 5720016]
[paragraph, [162.0, 426.0, 726.0, 18.0], 8CnN_Tm4lA, 5720016]
[paragraph, [162.0, 444.0, 726.0, 18.0], 8CnN_Tm4lA, 5720016]
[paragraph, [162.0, 462.0, 726.0, 18.0], 8CnN_Tm4lA, 5720016]
[paragraph, [162.0, 480.0, 726.0, 18.0], 8CnN_Tm4lA, 5720016]
[paragraph, [162.0, 498.0, 726.0, 18.0], 8CnN_Tm4lA, 5720016]
[paragraph, [162.0, 516.0, 726.0, 18.0], 8CnN_Tm4lA, 5720016]
[paragraph, [162.0, 534.0, 726.0, 18.0], 8CnN_Tm4lA, 5720016]
[paragraph, [162.0, 552.0, 726.0, 18.0], 8CnN_Tm4lA, 5720016]
[paragraph, [167.0, 567.0, 711.0, 18.0], ag2hcJQC0r, 5720016]
[paragraph, [167.0, 585.0, 711.0, 18.0], ag2hcJQC0r, 5720016]
[paragraph, [167.0, 603.0, 711.0, 18.0], ag2hcJQC0r, 5720016]
[paragraph, [167.0, 621.0, 711.0, 18.0], ag2hcJQC0r, 5720016]
[paragraph, [161.0, 642.0, 719.0, 18.0], CFSoajVznS, 5720016]
[paragraph, [161.0, 660.0, 719.0, 18.0], CFSoajVznS, 5720016]
[paragraph, [161.0, 678.0, 719.0, 18.0], CFSoajVznS, 5720016]
[paragraph, [161.0, 696.0, 719.0, 18.0], CFSoajVznS, 5720016]
[paragraph, [161.0, 714.0, 719.0, 18.0], CFSoajVznS, 5720016]
[paragraph, [161.0, 732.0, 719.0, 18.0], CFSoajVznS, 5720016]
[paragraph, [161.0, 750.0, 719.0, 18.0], CFSoajVznS, 5720016]
[paragraph, [161.0, 768.0, 719.0, 18.0], CFSoajVznS, 5720016]
[paragraph, [161.0, 786.0, 719.0, 18.0], CFSoajVznS, 5720016]
[paragraph, [245.0, 800.0, 518.0, 18.0], RKvcVv4lRC, 5720016]
[paragraph, [245.0, 818.0, 518.0, 18.0], RKvcVv4lRC, 5720016]
[paragraph, [245.0, 836.0, 518.0, 18.0], RKvcVv4lRC, 5720016]
[paragraph, [245.0, 854.0, 518.0, 18.0], RKvcVv4lRC, 5720016]
[paragraph, [245.0, 872.0, 518.0, 18.0], RKvcVv4lRC, 5720016]
[paragraph, [245.0, 890.0, 518.0, 18.0], RKvcVv4lRC, 5720016]
[paragraph, [245.0, 908.0, 518.0, 18.0], RKvcVv4lRC, 5720016]
[paragraph, [245.0, 926.0, 518.0, 18.0], RKvcVv4lRC, 5720016]
[paragraph, [160.0, 955.0, 724.0, 18.0], sT5Mz-I-YB, 5720016]
[paragraph, [160.0, 973.0, 724.0, 18.0], sT5Mz-I-YB, 5720016]
[paragraph, [160.0, 991.0, 724.0, 18.0], sT5Mz-I-YB, 5720016]
[paragraph, [160.0, 1009.0, 724.0, 18.0], sT5Mz-I-YB, 5720016]
[paragraph, [160.0, 1027.0, 724.0, 18.0], sT5Mz-I-YB, 5720016]
[paragraph, [160.0, 1045.0, 724.0, 18.0], sT5Mz-I-YB, 5720016]
[paragraph, [156.0, 1078.0, 731.0, 18.0], WEbxY873Mx, 5720016]
[paragraph, [156.0, 1096.0, 731.0, 18.0], WEbxY873Mx, 5720016]
[paragraph, [156.0, 1114.0, 731.0, 18.0], WEbxY873Mx, 5720016]
[paragraph, [156.0, 1132.0, 731.0, 18.0], WEbxY873Mx, 5720016]
[paragraph, [156.0, 1150.0, 731.0, 18.0], WEbxY873Mx, 5720016]
[paragraph, [156.0, 1168.0, 731.0, 18.0], WEbxY873Mx, 5720016]
[paragraph, [156.0, 1186.0, 731.0, 18.0], WEbxY873Mx, 5720016]
[paragraph, [156.0, 1204.0, 731.0, 18.0], WEbxY873Mx, 5720016]
[paragraph, [156.0, 1222.0, 731.0, 18.0], WEbxY873Mx, 5720016]
[paragraph, [156.0, 1240.0, 731.0, 18.0], WEbxY873Mx, 5720016]
[paragraph, [156.0, 1258.0, 731.0, 18.0], WEbxY873Mx, 5720016]
[paragraph, [156.0, 1276.0, 731.0, 18.0], WEbxY873Mx, 5720016]
[paragraph, [156.0, 1294.0, 731.0, 18.0], WEbxY873Mx, 5720016]
