[2339, 1653]
[paragraph, [230.0, 204.0, 1190.0, 36.0], shoonya_4sECLYCWLDU706, 5686091]
[paragraph, [230.0, 240.0, 1190.0, 36.0], shoonya_4sECLYCWLDU706, 5686091]
[paragraph, [230.0, 276.0, 1190.0, 36.0], shoonya_4sECLYCWLDU706, 5686091]
[paragraph, [291.0, 379.0, 1067.0, 36.0], shoonya_1sBVJ34PK4V830, 5686091]
[paragraph, [291.0, 415.0, 1067.0, 36.0], shoonya_1sBVJ34PK4V830, 5686091]
[paragraph, [291.0, 451.0, 1067.0, 36.0], shoonya_1sBVJ34PK4V830, 5686091]
[paragraph, [291.0, 487.0, 1067.0, 36.0], shoonya_1sBVJ34PK4V830, 5686091]
[paragraph, [291.0, 523.0, 1067.0, 36.0], shoonya_1sBVJ34PK4V830, 5686091]
[paragraph, [291.0, 559.0, 1067.0, 36.0], shoonya_1sBVJ34PK4V830, 5686091]
[paragraph, [291.0, 595.0, 1067.0, 36.0], shoonya_1sBVJ34PK4V830, 5686091]
[paragraph, [291.0, 631.0, 1067.0, 36.0], shoonya_1sBVJ34PK4V830, 5686091]
[reference, [772.0, 721.0, 569.0, 36.0], shoonya_5sRZW4XDMM8VSE, 5686091]
[paragraph, [224.0, 799.0, 1211.0, 36.0], shoonya_0s47A91N978HK7, 5686091]
[paragraph, [224.0, 835.0, 1211.0, 36.0], shoonya_0s47A91N978HK7, 5686091]
[paragraph, [224.0, 871.0, 1211.0, 36.0], shoonya_0s47A91N978HK7, 5686091]
[paragraph, [224.0, 907.0, 1211.0, 36.0], shoonya_0s47A91N978HK7, 5686091]
[paragraph, [224.0, 943.0, 1211.0, 36.0], shoonya_0s47A91N978HK7, 5686091]
[paragraph, [224.0, 979.0, 1211.0, 36.0], shoonya_0s47A91N978HK7, 5686091]
[paragraph, [224.0, 1015.0, 1211.0, 36.0], shoonya_0s47A91N978HK7, 5686091]
[paragraph, [224.0, 1051.0, 1211.0, 36.0], shoonya_0s47A91N978HK7, 5686091]
[paragraph, [224.0, 1087.0, 1211.0, 36.0], shoonya_0s47A91N978HK7, 5686091]
[paragraph, [224.0, 1123.0, 1211.0, 36.0], shoonya_0s47A91N978HK7, 5686091]
[paragraph, [224.0, 1159.0, 1211.0, 36.0], shoonya_0s47A91N978HK7, 5686091]
[paragraph, [224.0, 1195.0, 1211.0, 36.0], shoonya_0s47A91N978HK7, 5686091]
[paragraph, [224.0, 1231.0, 1211.0, 36.0], shoonya_0s47A91N978HK7, 5686091]
[paragraph, [224.0, 1267.0, 1211.0, 36.0], shoonya_0s47A91N978HK7, 5686091]
[paragraph, [297.0, 1361.0, 1053.0, 36.0], V26l40cTP-, 5686091]
[paragraph, [297.0, 1397.0, 1053.0, 36.0], V26l40cTP-, 5686091]
[paragraph, [297.0, 1433.0, 1053.0, 36.0], V26l40cTP-, 5686091]
[reference, [731.0, 1522.0, 617.0, 36.0], enmXXEOZzc, 5686091]
[paragraph, [216.0, 1625.0, 1213.0, 36.0], shoonya_3s2B9Q2BU17O6G, 5686091]
[paragraph, [216.0, 1661.0, 1213.0, 36.0], shoonya_3s2B9Q2BU17O6G, 5686091]
[paragraph, [216.0, 1697.0, 1213.0, 36.0], shoonya_3s2B9Q2BU17O6G, 5686091]
[paragraph, [216.0, 1733.0, 1213.0, 36.0], shoonya_3s2B9Q2BU17O6G, 5686091]
[paragraph, [216.0, 1769.0, 1213.0, 36.0], shoonya_3s2B9Q2BU17O6G, 5686091]
[paragraph, [216.0, 1805.0, 1213.0, 36.0], shoonya_3s2B9Q2BU17O6G, 5686091]
[paragraph, [216.0, 1841.0, 1213.0, 36.0], shoonya_3s2B9Q2BU17O6G, 5686091]
[paragraph, [216.0, 1877.0, 1213.0, 36.0], shoonya_3s2B9Q2BU17O6G, 5686091]
[paragraph, [295.0, 1952.0, 1062.0, 36.0], Bb5nbdn6pa, 5686091]
[paragraph, [295.0, 1988.0, 1062.0, 36.0], Bb5nbdn6pa, 5686091]
[paragraph, [295.0, 2024.0, 1062.0, 36.0], Bb5nbdn6pa, 5686091]
[paragraph, [295.0, 2060.0, 1062.0, 36.0], Bb5nbdn6pa, 5686091]
