[1350, 900]
[section-title, [241.0, 126.0, 465.0, 30.0], pAINtMiNNU, 5759791]
[ordered-list, [447.0, 1112.0, 268.0, 18.0], ddB2ccKTL7, 5759791]
[ordered-list, [447.0, 1130.0, 268.0, 18.0], ddB2ccKTL7, 5759791]
[ordered-list, [447.0, 1148.0, 268.0, 18.0], ddB2ccKTL7, 5759791]
[ordered-list, [447.0, 1166.0, 268.0, 18.0], ddB2ccKTL7, 5759791]
[ordered-list, [447.0, 1184.0, 268.0, 18.0], ddB2ccKTL7, 5759791]
[ordered-list, [447.0, 1202.0, 268.0, 18.0], ddB2ccKTL7, 5759791]
[ordered-list, [150.0, 1120.0, 210.0, 18.0], icVyTIvtPf, 5759791]
[ordered-list, [150.0, 1138.0, 210.0, 18.0], icVyTIvtPf, 5759791]
[ordered-list, [150.0, 1156.0, 210.0, 18.0], icVyTIvtPf, 5759791]
[ordered-list, [150.0, 1174.0, 210.0, 18.0], icVyTIvtPf, 5759791]
[ordered-list, [150.0, 1192.0, 210.0, 18.0], icVyTIvtPf, 5759791]
[ordered-list, [150.0, 1210.0, 210.0, 18.0], icVyTIvtPf, 5759791]
