[3509, 2480]
[paragraph, [350.0, 391.0, 1787.0, 52.5], shoonya_2sUS4KI9WL2WN7, 5724271]
[paragraph, [350.0, 443.5, 1787.0, 52.5], shoonya_2sUS4KI9WL2WN7, 5724271]
[paragraph, [350.0, 496.0, 1787.0, 52.5], shoonya_2sUS4KI9WL2WN7, 5724271]
[paragraph, [350.0, 548.5, 1787.0, 52.5], shoonya_2sUS4KI9WL2WN7, 5724271]
[paragraph, [350.0, 601.0, 1787.0, 52.5], shoonya_2sUS4KI9WL2WN7, 5724271]
[paragraph, [350.0, 653.5, 1787.0, 52.5], shoonya_2sUS4KI9WL2WN7, 5724271]
[paragraph, [350.0, 706.0, 1787.0, 52.5], shoonya_2sUS4KI9WL2WN7, 5724271]
[paragraph, [350.0, 758.5, 1787.0, 52.5], shoonya_2sUS4KI9WL2WN7, 5724271]
[paragraph, [350.0, 811.0, 1787.0, 52.5], shoonya_2sUS4KI9WL2WN7, 5724271]
[paragraph, [350.0, 863.5, 1787.0, 52.5], shoonya_2sUS4KI9WL2WN7, 5724271]
[paragraph, [350.0, 916.0, 1787.0, 52.5], shoonya_2sUS4KI9WL2WN7, 5724271]
[paragraph, [350.0, 968.5, 1787.0, 52.5], shoonya_2sUS4KI9WL2WN7, 5724271]
[paragraph, [350.0, 1021.0, 1787.0, 52.5], shoonya_2sUS4KI9WL2WN7, 5724271]
[paragraph, [350.0, 1073.5, 1787.0, 52.5], shoonya_2sUS4KI9WL2WN7, 5724271]
[paragraph, [350.0, 1126.0, 1787.0, 52.5], shoonya_2sUS4KI9WL2WN7, 5724271]
[paragraph, [350.0, 1178.5, 1787.0, 52.5], shoonya_2sUS4KI9WL2WN7, 5724271]
[paragraph, [350.0, 1231.0, 1787.0, 52.5], shoonya_2sUS4KI9WL2WN7, 5724271]
[paragraph, [350.0, 1283.5, 1787.0, 52.5], shoonya_2sUS4KI9WL2WN7, 5724271]
[paragraph, [350.0, 1336.0, 1787.0, 52.5], shoonya_2sUS4KI9WL2WN7, 5724271]
[paragraph, [350.0, 1388.5, 1787.0, 52.5], shoonya_2sUS4KI9WL2WN7, 5724271]
[paragraph, [350.0, 1441.0, 1787.0, 52.5], shoonya_2sUS4KI9WL2WN7, 5724271]
[paragraph, [350.0, 1493.5, 1787.0, 52.5], shoonya_2sUS4KI9WL2WN7, 5724271]
[paragraph, [350.0, 1546.0, 1787.0, 52.5], shoonya_2sUS4KI9WL2WN7, 5724271]
[paragraph, [350.0, 1598.5, 1787.0, 52.5], shoonya_2sUS4KI9WL2WN7, 5724271]
[paragraph, [358.0, 1732.0, 1778.0, 52.5], shoonya_0sI4IZIA6S7J8N, 5724271]
[paragraph, [358.0, 1784.5, 1778.0, 52.5], shoonya_0sI4IZIA6S7J8N, 5724271]
[paragraph, [358.0, 1837.0, 1778.0, 52.5], shoonya_0sI4IZIA6S7J8N, 5724271]
[paragraph, [358.0, 1889.5, 1778.0, 52.5], shoonya_0sI4IZIA6S7J8N, 5724271]
[paragraph, [358.0, 1942.0, 1778.0, 52.5], shoonya_0sI4IZIA6S7J8N, 5724271]
[paragraph, [358.0, 1994.5, 1778.0, 52.5], shoonya_0sI4IZIA6S7J8N, 5724271]
[paragraph, [358.0, 2047.0, 1778.0, 52.5], shoonya_0sI4IZIA6S7J8N, 5724271]
[paragraph, [358.0, 2099.5, 1778.0, 52.5], shoonya_0sI4IZIA6S7J8N, 5724271]
[paragraph, [358.0, 2152.0, 1778.0, 52.5], shoonya_0sI4IZIA6S7J8N, 5724271]
[paragraph, [358.0, 2204.5, 1778.0, 52.5], shoonya_0sI4IZIA6S7J8N, 5724271]
[paragraph, [358.0, 2257.0, 1778.0, 52.5], shoonya_0sI4IZIA6S7J8N, 5724271]
[paragraph, [358.0, 2309.5, 1778.0, 52.5], shoonya_0sI4IZIA6S7J8N, 5724271]
[paragraph, [358.0, 2362.0, 1778.0, 52.5], shoonya_0sI4IZIA6S7J8N, 5724271]
[paragraph, [358.0, 2414.5, 1778.0, 52.5], shoonya_0sI4IZIA6S7J8N, 5724271]
[paragraph, [358.0, 2467.0, 1778.0, 52.5], shoonya_0sI4IZIA6S7J8N, 5724271]
[paragraph, [358.0, 2519.5, 1778.0, 52.5], shoonya_0sI4IZIA6S7J8N, 5724271]
[paragraph, [358.0, 2572.0, 1778.0, 52.5], shoonya_0sI4IZIA6S7J8N, 5724271]
[paragraph, [358.0, 2624.5, 1778.0, 52.5], shoonya_0sI4IZIA6S7J8N, 5724271]
[paragraph, [358.0, 2677.0, 1778.0, 52.5], shoonya_0sI4IZIA6S7J8N, 5724271]
[paragraph, [358.0, 2729.5, 1778.0, 52.5], shoonya_0sI4IZIA6S7J8N, 5724271]
[paragraph, [358.0, 2782.0, 1778.0, 52.5], shoonya_0sI4IZIA6S7J8N, 5724271]
[paragraph, [358.0, 2834.5, 1778.0, 52.5], shoonya_0sI4IZIA6S7J8N, 5724271]
[paragraph, [358.0, 2887.0, 1778.0, 52.5], shoonya_0sI4IZIA6S7J8N, 5724271]
[paragraph, [358.0, 2939.5, 1778.0, 52.5], shoonya_0sI4IZIA6S7J8N, 5724271]
[paragraph, [358.0, 2992.0, 1778.0, 52.5], shoonya_0sI4IZIA6S7J8N, 5724271]
[paragraph, [358.0, 3044.5, 1778.0, 52.5], shoonya_0sI4IZIA6S7J8N, 5724271]
[paragraph, [358.0, 3097.0, 1778.0, 52.5], shoonya_0sI4IZIA6S7J8N, 5724271]
