[1823, 1375]
[folio, [968.0, 107.0, 304.0, 36.0], shoonya_2s1YPZ200E2OKW, 5683792]
[folio, [627.0, 111.0, 103.0, 36.0], shoonya_1sOL7XAGZRFRF8, 5683792]
[paragraph, [134.0, 175.0, 539.0, 36.0], shoonya_4sB93JVQ2YKQR6, 5683792]
[paragraph, [691.0, 178.0, 573.0, 36.0], shoonya_10s5QLTL89XS2Q, 5683792]
[paragraph, [691.0, 214.0, 573.0, 36.0], shoonya_10s5QLTL89XS2Q, 5683792]
[paragraph, [691.0, 250.0, 573.0, 36.0], shoonya_10s5QLTL89XS2Q, 5683792]
[paragraph, [691.0, 286.0, 573.0, 36.0], shoonya_10s5QLTL89XS2Q, 5683792]
[paragraph, [691.0, 322.0, 573.0, 36.0], shoonya_10s5QLTL89XS2Q, 5683792]
[paragraph, [691.0, 358.0, 573.0, 36.0], shoonya_10s5QLTL89XS2Q, 5683792]
[paragraph, [691.0, 394.0, 573.0, 36.0], shoonya_10s5QLTL89XS2Q, 5683792]
[paragraph, [93.0, 228.0, 573.0, 36.0], shoonya_5sKS7Y1NUQN94N, 5683792]
[paragraph, [93.0, 264.0, 573.0, 36.0], shoonya_5sKS7Y1NUQN94N, 5683792]
[paragraph, [93.0, 300.0, 573.0, 36.0], shoonya_5sKS7Y1NUQN94N, 5683792]
[paragraph, [93.0, 336.0, 573.0, 36.0], shoonya_5sKS7Y1NUQN94N, 5683792]
[paragraph, [136.0, 406.0, 495.0, 36.0], shoonya_6sY0JVKPZURTIO, 5683792]
[paragraph, [136.0, 442.0, 495.0, 36.0], shoonya_6sY0JVKPZURTIO, 5683792]
[paragraph, [698.0, 447.0, 568.0, 36.0], shoonya_11sQ7L4IAD8831, 5683792]
[paragraph, [698.0, 483.0, 568.0, 36.0], shoonya_11sQ7L4IAD8831, 5683792]
[paragraph, [105.0, 505.0, 566.0, 36.0], shoonya_7sEIZ12E5R1JWA, 5683792]
[paragraph, [105.0, 541.0, 566.0, 36.0], shoonya_7sEIZ12E5R1JWA, 5683792]
[paragraph, [105.0, 577.0, 566.0, 36.0], shoonya_7sEIZ12E5R1JWA, 5683792]
[paragraph, [105.0, 613.0, 566.0, 36.0], shoonya_7sEIZ12E5R1JWA, 5683792]
[paragraph, [105.0, 649.0, 566.0, 36.0], shoonya_7sEIZ12E5R1JWA, 5683792]
[paragraph, [105.0, 685.0, 566.0, 36.0], shoonya_7sEIZ12E5R1JWA, 5683792]
[paragraph, [105.0, 721.0, 566.0, 36.0], shoonya_7sEIZ12E5R1JWA, 5683792]
[paragraph, [105.0, 757.0, 566.0, 36.0], shoonya_7sEIZ12E5R1JWA, 5683792]
[paragraph, [105.0, 793.0, 566.0, 36.0], shoonya_7sEIZ12E5R1JWA, 5683792]
[paragraph, [105.0, 829.0, 566.0, 36.0], shoonya_7sEIZ12E5R1JWA, 5683792]
[paragraph, [105.0, 865.0, 566.0, 36.0], shoonya_7sEIZ12E5R1JWA, 5683792]
[paragraph, [105.0, 901.0, 566.0, 36.0], shoonya_7sEIZ12E5R1JWA, 5683792]
[paragraph, [105.0, 937.0, 566.0, 36.0], shoonya_7sEIZ12E5R1JWA, 5683792]
[paragraph, [747.0, 536.0, 460.0, 36.0], shoonya_12s8ZKYFCFJ7K1, 5683792]
[paragraph, [747.0, 572.0, 460.0, 36.0], shoonya_12s8ZKYFCFJ7K1, 5683792]
[paragraph, [747.0, 608.0, 460.0, 36.0], shoonya_12s8ZKYFCFJ7K1, 5683792]
[paragraph, [691.0, 686.0, 575.0, 36.0], shoonya_13s76PZ86Q7S4A, 5683792]
[paragraph, [691.0, 722.0, 575.0, 36.0], shoonya_13s76PZ86Q7S4A, 5683792]
[paragraph, [691.0, 758.0, 575.0, 36.0], shoonya_13s76PZ86Q7S4A, 5683792]
[paragraph, [691.0, 794.0, 575.0, 36.0], shoonya_13s76PZ86Q7S4A, 5683792]
[paragraph, [691.0, 830.0, 575.0, 36.0], shoonya_13s76PZ86Q7S4A, 5683792]
[paragraph, [691.0, 866.0, 575.0, 36.0], shoonya_13s76PZ86Q7S4A, 5683792]
[paragraph, [691.0, 902.0, 575.0, 36.0], shoonya_13s76PZ86Q7S4A, 5683792]
[paragraph, [690.0, 954.0, 580.0, 36.0], shoonya_14sMZQSISL3DZM, 5683792]
[paragraph, [690.0, 990.0, 580.0, 36.0], shoonya_14sMZQSISL3DZM, 5683792]
[paragraph, [690.0, 1026.0, 580.0, 36.0], shoonya_14sMZQSISL3DZM, 5683792]
[paragraph, [105.0, 992.0, 567.0, 36.0], shoonya_8sS1WA3WO00GUC, 5683792]
[paragraph, [105.0, 1028.0, 567.0, 36.0], shoonya_8sS1WA3WO00GUC, 5683792]
[paragraph, [676.0, 1084.0, 137.0, 36.0], btY3hf18lJ, 5683792]
[paragraph, [100.0, 1085.0, 569.0, 36.0], shoonya_9sYUMNL7HUQ5BY, 5683792]
[paragraph, [100.0, 1121.0, 569.0, 36.0], shoonya_9sYUMNL7HUQ5BY, 5683792]
[author, [916.0, 1092.0, 350.0, 36.0], Bjf16sWOvY, 5683792]
[paragraph, [257.0, 1173.0, 430.0, 36.0], mVSM2g-9AA, 5683792]
[section-title, [584.0, 1252.0, 206.0, 49.5], qfpFugruqK, 5683792]
[sub-section-title, [598.0, 1341.0, 187.0, 36.0], mH6o45FB0p, 5683792]
[paragraph, [699.0, 1414.0, 584.0, 36.0], sHK9KmgemS, 5683792]
[paragraph, [699.0, 1450.0, 584.0, 36.0], sHK9KmgemS, 5683792]
[paragraph, [699.0, 1486.0, 584.0, 36.0], sHK9KmgemS, 5683792]
[paragraph, [699.0, 1522.0, 584.0, 36.0], sHK9KmgemS, 5683792]
[paragraph, [699.0, 1558.0, 584.0, 36.0], sHK9KmgemS, 5683792]
[paragraph, [699.0, 1594.0, 584.0, 36.0], sHK9KmgemS, 5683792]
[paragraph, [699.0, 1630.0, 584.0, 36.0], sHK9KmgemS, 5683792]
[paragraph, [699.0, 1666.0, 584.0, 36.0], sHK9KmgemS, 5683792]
[paragraph, [699.0, 1702.0, 584.0, 36.0], sHK9KmgemS, 5683792]
[paragraph, [75.0, 1419.0, 605.0, 36.0], jUhL8TYpmT, 5683792]
[paragraph, [75.0, 1455.0, 605.0, 36.0], jUhL8TYpmT, 5683792]
[paragraph, [75.0, 1491.0, 605.0, 36.0], jUhL8TYpmT, 5683792]
[paragraph, [75.0, 1527.0, 605.0, 36.0], jUhL8TYpmT, 5683792]
[paragraph, [75.0, 1563.0, 605.0, 36.0], jUhL8TYpmT, 5683792]
[paragraph, [75.0, 1599.0, 605.0, 36.0], jUhL8TYpmT, 5683792]
[paragraph, [75.0, 1635.0, 605.0, 36.0], jUhL8TYpmT, 5683792]
[paragraph, [75.0, 1671.0, 605.0, 36.0], jUhL8TYpmT, 5683792]
