[1031, 622]
[section-title, [253.0, 70.0, 109.0, 30.0], shoonya_2sSPGVLJQ7LL2U, 5710184]
[paragraph, [67.0, 114.0, 486.0, 18.0], shoonya_1sYBNWO3F6EKGC, 5710184]
[paragraph, [67.0, 132.0, 486.0, 18.0], shoonya_1sYBNWO3F6EKGC, 5710184]
[paragraph, [67.0, 150.0, 486.0, 18.0], shoonya_1sYBNWO3F6EKGC, 5710184]
[paragraph, [67.0, 168.0, 486.0, 18.0], shoonya_1sYBNWO3F6EKGC, 5710184]
[paragraph, [67.0, 186.0, 486.0, 18.0], shoonya_1sYBNWO3F6EKGC, 5710184]
[paragraph, [67.0, 204.0, 486.0, 18.0], shoonya_1sYBNWO3F6EKGC, 5710184]
[paragraph, [67.0, 222.0, 486.0, 18.0], shoonya_1sYBNWO3F6EKGC, 5710184]
[paragraph, [67.0, 240.0, 486.0, 18.0], shoonya_1sYBNWO3F6EKGC, 5710184]
[paragraph, [67.0, 258.0, 486.0, 18.0], shoonya_1sYBNWO3F6EKGC, 5710184]
[paragraph, [67.0, 276.0, 486.0, 18.0], shoonya_1sYBNWO3F6EKGC, 5710184]
[paragraph, [67.0, 294.0, 486.0, 18.0], shoonya_1sYBNWO3F6EKGC, 5710184]
[paragraph, [67.0, 312.0, 486.0, 18.0], shoonya_1sYBNWO3F6EKGC, 5710184]
[paragraph, [67.0, 330.0, 486.0, 18.0], shoonya_1sYBNWO3F6EKGC, 5710184]
[paragraph, [67.0, 348.0, 486.0, 18.0], shoonya_1sYBNWO3F6EKGC, 5710184]
[paragraph, [67.0, 366.0, 486.0, 18.0], shoonya_1sYBNWO3F6EKGC, 5710184]
[paragraph, [67.0, 384.0, 486.0, 18.0], shoonya_1sYBNWO3F6EKGC, 5710184]
[paragraph, [67.0, 402.0, 486.0, 18.0], shoonya_1sYBNWO3F6EKGC, 5710184]
[paragraph, [67.0, 420.0, 486.0, 18.0], shoonya_1sYBNWO3F6EKGC, 5710184]
[paragraph, [67.0, 438.0, 486.0, 18.0], shoonya_1sYBNWO3F6EKGC, 5710184]
[paragraph, [67.0, 456.0, 486.0, 18.0], shoonya_1sYBNWO3F6EKGC, 5710184]
[paragraph, [67.0, 474.0, 486.0, 18.0], shoonya_1sYBNWO3F6EKGC, 5710184]
[paragraph, [67.0, 492.0, 486.0, 18.0], shoonya_1sYBNWO3F6EKGC, 5710184]
[paragraph, [67.0, 510.0, 486.0, 18.0], shoonya_1sYBNWO3F6EKGC, 5710184]
[paragraph, [67.0, 528.0, 486.0, 18.0], shoonya_1sYBNWO3F6EKGC, 5710184]
[paragraph, [63.0, 551.0, 488.0, 18.0], shoonya_0sQIC1FNN8AE9C, 5710184]
[paragraph, [63.0, 569.0, 488.0, 18.0], shoonya_0sQIC1FNN8AE9C, 5710184]
[paragraph, [63.0, 587.0, 488.0, 18.0], shoonya_0sQIC1FNN8AE9C, 5710184]
[paragraph, [63.0, 605.0, 488.0, 18.0], shoonya_0sQIC1FNN8AE9C, 5710184]
[paragraph, [63.0, 623.0, 488.0, 18.0], shoonya_0sQIC1FNN8AE9C, 5710184]
[paragraph, [63.0, 641.0, 488.0, 18.0], shoonya_0sQIC1FNN8AE9C, 5710184]
[paragraph, [63.0, 659.0, 488.0, 18.0], shoonya_0sQIC1FNN8AE9C, 5710184]
[paragraph, [63.0, 677.0, 488.0, 18.0], shoonya_0sQIC1FNN8AE9C, 5710184]
[paragraph, [63.0, 695.0, 488.0, 18.0], shoonya_0sQIC1FNN8AE9C, 5710184]
[paragraph, [63.0, 713.0, 488.0, 18.0], shoonya_0sQIC1FNN8AE9C, 5710184]
[paragraph, [63.0, 731.0, 488.0, 18.0], shoonya_0sQIC1FNN8AE9C, 5710184]
[paragraph, [63.0, 749.0, 488.0, 18.0], shoonya_0sQIC1FNN8AE9C, 5710184]
[paragraph, [63.0, 767.0, 488.0, 18.0], shoonya_0sQIC1FNN8AE9C, 5710184]
[paragraph, [63.0, 785.0, 488.0, 18.0], shoonya_0sQIC1FNN8AE9C, 5710184]
[paragraph, [63.0, 803.0, 488.0, 18.0], shoonya_0sQIC1FNN8AE9C, 5710184]
[paragraph, [63.0, 821.0, 488.0, 18.0], shoonya_0sQIC1FNN8AE9C, 5710184]
[paragraph, [63.0, 839.0, 488.0, 18.0], shoonya_0sQIC1FNN8AE9C, 5710184]
[paragraph, [63.0, 857.0, 488.0, 18.0], shoonya_0sQIC1FNN8AE9C, 5710184]
[paragraph, [63.0, 875.0, 488.0, 18.0], shoonya_0sQIC1FNN8AE9C, 5710184]
[footnote, [67.0, 897.0, 483.0, 18.0], 07msZtuts2, 5710184]
[footnote, [67.0, 915.0, 483.0, 18.0], 07msZtuts2, 5710184]
[footnote, [67.0, 933.0, 483.0, 18.0], 07msZtuts2, 5710184]
